row_id,task,module,block,hook,spatial_region,imagined_timestep,task_variable,linear_score,nonlinear_gain,best_coordinate_frame,geometry,cross_trajectory_stability,regime_dependence,causal_patch_effect,specificity,manifold_distance,recommended_operator,field_status,sources
reach-wall/encoder/block-8/spatial-mean/reward_sum,reach-wall,encoder,8,block_residual_output,mean_of_256_spatial_tokens,,reward_sum,"{""metric"": ""r2"", ""score"": 0.9513555724962945, ""time_baseline"": 0.9142972039613033, ""delta_vs_time"": 0.037058368534991226}","{""knn_score"": 0.9101667098062678, ""linear_score"": 0.9513555724962945, ""nonlinear_gain"": -0.04118886269002675}",,"{""participation_ratio"": 6.38294246358392, ""top10_variance_fraction"": 0.7215729863808529, ""adjacent_timestep_cosine_mean"": 0.9982742650706785}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""measured_discovery_only"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[188]""}, {""path"": ""artifacts/geometry_map/reach_wall_v1/cached-geometry-v2/nonlinear_screen.json"", ""item"": ""rows[62]""}, {""path"": ""artifacts/geometry_map/reach_wall_v1/spatial-screen/spatial_screen.json"", ""item"": ""maps.encoder.block8.reward_sum""}]"
reach-wall/encoder/block-8/spatial-mean/wall_signed_distance,reach-wall,encoder,8,block_residual_output,mean_of_256_spatial_tokens,,wall_signed_distance,"{""metric"": ""r2"", ""score"": 0.9607325063128239, ""time_baseline"": 0.14228076564542247, ""delta_vs_time"": 0.8184517406674015}","{""knn_score"": 0.8505326540876067, ""linear_score"": 0.9607325063128239, ""nonlinear_gain"": -0.11019985222521722}",,"{""participation_ratio"": 6.38294246358392, ""top10_variance_fraction"": 0.7215729863808529, ""adjacent_timestep_cosine_mean"": 0.9982742650706785}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""measured_discovery_only"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[176]""}, {""path"": ""artifacts/geometry_map/reach_wall_v1/emergence-geometry/emergence_geometry.json"", ""item"": ""curves.encoder.wall_signed_distance.rows.layer=8""}, {""path"": ""artifacts/geometry_map/reach_wall_v1/cached-geometry-v2/nonlinear_screen.json"", ""item"": ""rows[50]""}, {""path"": ""artifacts/geometry_map/reach_wall_v1/spatial-screen/spatial_screen.json"", ""item"": ""maps.encoder.block8.wall_signed_distance""}]"
reach-wall/encoder/block-9/spatial-mean/action_chunk_frobenius_magnitude,reach-wall,encoder,9,block_residual_output,mean_of_256_spatial_tokens,,action_chunk_frobenius_magnitude,"{""metric"": ""r2"", ""score"": 0.47690553067742936, ""time_baseline"": 0.4725658231754639, ""delta_vs_time"": 0.00433970750196544}",,,"{""participation_ratio"": 6.364390235498244, ""top10_variance_fraction"": 0.7126235401683327, ""adjacent_timestep_cosine_mean"": 0.9976056307161628}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[204]""}]"
reach-wall/encoder/block-9/spatial-mean/action_dx,reach-wall,encoder,9,block_residual_output,mean_of_256_spatial_tokens,,action_dx,"{""metric"": ""r2"", ""score"": -0.03069175966177773, ""time_baseline"": 0.0033910809446688894, ""delta_vs_time"": -0.03408284060644662}",,,"{""participation_ratio"": 6.364390235498244, ""top10_variance_fraction"": 0.7126235401683327, ""adjacent_timestep_cosine_mean"": 0.9976056307161628}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[201]""}]"
reach-wall/encoder/block-9/spatial-mean/action_dy,reach-wall,encoder,9,block_residual_output,mean_of_256_spatial_tokens,,action_dy,"{""metric"": ""r2"", ""score"": 0.6193826722660867, ""time_baseline"": 0.6287213192564175, ""delta_vs_time"": -0.009338646990330823}",,,"{""participation_ratio"": 6.364390235498244, ""top10_variance_fraction"": 0.7126235401683327, ""adjacent_timestep_cosine_mean"": 0.9976056307161628}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[202]""}]"
reach-wall/encoder/block-9/spatial-mean/action_dz,reach-wall,encoder,9,block_residual_output,mean_of_256_spatial_tokens,,action_dz,"{""metric"": ""r2"", ""score"": 0.028427373285969115, ""time_baseline"": 0.02788791500905774, ""delta_vs_time"": 0.0005394582769113754}",,,"{""participation_ratio"": 6.364390235498244, ""top10_variance_fraction"": 0.7126235401683327, ""adjacent_timestep_cosine_mean"": 0.9976056307161628}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[203]""}]"
reach-wall/encoder/block-9/spatial-mean/cumulative_progress,reach-wall,encoder,9,block_residual_output,mean_of_256_spatial_tokens,,cumulative_progress,"{""metric"": ""r2"", ""score"": 0.9417591396262107, ""time_baseline"": 0.9222151817810877, ""delta_vs_time"": 0.019543957845122972}",,,"{""participation_ratio"": 6.364390235498244, ""top10_variance_fraction"": 0.7126235401683327, ""adjacent_timestep_cosine_mean"": 0.9976056307161628}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[190]""}, {""path"": ""artifacts/geometry_map/reach_wall_v1/emergence-geometry/emergence_geometry.json"", ""item"": ""curves.encoder.progress.rows.layer=9""}]"
reach-wall/encoder/block-9/spatial-mean/expert_detour_gate,reach-wall,encoder,9,block_residual_output,mean_of_256_spatial_tokens,,expert_detour_gate,"{""metric"": ""auroc"", ""score"": 0.9982588856868396, ""time_baseline"": 0.978149765850144, ""delta_vs_time"": 0.02010911983669561}",,,"{""participation_ratio"": 6.364390235498244, ""top10_variance_fraction"": 0.7126235401683327, ""adjacent_timestep_cosine_mean"": 0.9976056307161628}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[200]""}]"
reach-wall/encoder/block-9/spatial-mean/goal_distance,reach-wall,encoder,9,block_residual_output,mean_of_256_spatial_tokens,,goal_distance,"{""metric"": ""r2"", ""score"": 0.9264422827032335, ""time_baseline"": 0.908897827090231, ""delta_vs_time"": 0.01754445561300244}",,,"{""participation_ratio"": 6.364390235498244, ""top10_variance_fraction"": 0.7126235401683327, ""adjacent_timestep_cosine_mean"": 0.9976056307161628}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[189]""}]"
reach-wall/encoder/block-9/spatial-mean/goal_vector_x,reach-wall,encoder,9,block_residual_output,mean_of_256_spatial_tokens,,goal_vector_x,"{""metric"": ""r2"", ""score"": 0.06662438149524275, ""time_baseline"": 0.08054582471970773, ""delta_vs_time"": -0.01392144322446498}",,,"{""participation_ratio"": 6.364390235498244, ""top10_variance_fraction"": 0.7126235401683327, ""adjacent_timestep_cosine_mean"": 0.9976056307161628}",,,,,,none_validated,"{""linear_score"": ""measured_discovery_only"", ""nonlinear_gain"": ""pending_measurement"", ""best_coordinate_frame"": ""pending_measurement"", ""geometry"": ""descriptive_activation_geometry"", ""cross_trajectory_stability"": ""pending_measurement"", ""regime_dependence"": ""pending_measurement"", ""causal_patch_effect"": ""pending_measurement"", ""specificity"": ""pending_measurement"", ""manifold_distance"": ""pending_measurement"", ""recommended_operator"": ""not_yet_justified""}","[{""path"": ""artifacts/geometry_map/reach_wall_v1/discovery-screen/discovery_screen.json"", ""item"": ""rows[194]""}]"
