task,episode,bank,layer,mode,requested_l2_mean,delivered_l2_mean,max_relative_norm_error,zero_target_count
reach,0,original,0,permute,0.5641070951959974,0.5641070951959974,0.0,0
reach,0,original,0,random,0.5641070951959974,0.5641070951057288,1.8432043828950292e-08,0
reach,0,original,1,permute,0.5641070951959974,0.5641070951959974,0.0,0
reach,0,original,1,random,0.5641070951959974,0.5641070953009201,1.5362504205585164e-08,0
reach,0,original,2,permute,0.5641070951959974,0.5641070951959974,0.0,0
reach,0,original,2,random,0.5641070951959974,0.564107095309494,1.4138826669905849e-08,0
reach,0,original,3,permute,0.5641070951959974,0.5641070951959974,0.0,0
reach,0,original,3,random,0.5641070951959974,0.5641070951515468,1.1898842645028141e-08,0
reach,0,original,4,permute,0.5641070951959974,0.5641070951959974,0.0,0
reach,0,original,4,random,0.5641070951959974,0.5641070951599264,1.6585015384804428e-08,0
reach,0,original,5,permute,0.5641070951959974,0.5641070951959974,0.0,0
reach,0,original,5,random,0.5641070951959974,0.5641070950469531,1.5904033224296077e-08,0
reach,0,fresh,0,permute,0.5507533126736351,0.5507533126736351,0.0,0
reach,0,fresh,0,random,0.5507533126736351,0.5507533127619882,1.1033196551385576e-08,0
reach,0,fresh,1,permute,0.5507533126736351,0.5507533126736351,0.0,0
reach,0,fresh,1,random,0.5507533126736351,0.5507533126975326,1.5008225741598534e-08,0
reach,0,fresh,2,permute,0.5507533126736351,0.5507533126736351,0.0,0
reach,0,fresh,2,random,0.5507533126736351,0.5507533129255092,1.378563820181971e-08,0
reach,0,fresh,3,permute,0.5507533126736351,0.5507533126736351,0.0,0
reach,0,fresh,3,random,0.5507533126736351,0.5507533127259441,1.7398389265846657e-08,0
reach,0,fresh,4,permute,0.5507533126736351,0.5507533126736351,0.0,0
reach,0,fresh,4,random,0.5507533126736351,0.5507533126247774,1.3226725555140383e-08,0
reach,0,fresh,5,permute,0.5507533126736351,0.5507533126736351,0.0,0
reach,0,fresh,5,random,0.5507533126736351,0.5507533127115056,1.548501320621097e-08,0
reach,1,original,0,permute,0.558063820893864,0.558063820893864,0.0,0
reach,1,original,0,random,0.558063820893864,0.5580638207858524,1.5741774801879312e-08,0
reach,1,original,1,permute,0.558063820893864,0.558063820893864,0.0,0
reach,1,original,1,random,0.558063820893864,0.5580638208209217,1.2268945443832446e-08,0
reach,1,original,2,permute,0.558063820893864,0.558063820893864,0.0,0
reach,1,original,2,random,0.558063820893864,0.5580638208880834,1.3687237625689489e-08,0
reach,1,original,3,permute,0.558063820893864,0.558063820893864,0.0,0
reach,1,original,3,random,0.558063820893864,0.558063820622595,1.488549706779604e-08,0
reach,1,original,4,permute,0.558063820893864,0.558063820893864,0.0,0
reach,1,original,4,random,0.558063820893864,0.5580638211522656,1.1212347145898496e-08,0
reach,1,original,5,permute,0.558063820893864,0.558063820893864,0.0,0
reach,1,original,5,random,0.558063820893864,0.5580638209585622,1.3628418867562628e-08,0
reach,1,fresh,0,permute,0.5687712853216257,0.5687712853216257,0.0,0
reach,1,fresh,0,random,0.5687712853216257,0.5687712853534957,1.2308611038609278e-08,0
reach,1,fresh,1,permute,0.5687712853216257,0.5687712853216257,0.0,0
reach,1,fresh,1,random,0.5687712853216257,0.5687712852372713,1.329497706979788e-08,0
reach,1,fresh,2,permute,0.5687712853216257,0.5687712853216257,0.0,0
reach,1,fresh,2,random,0.5687712853216257,0.5687712854458646,1.2301587864489576e-08,0
reach,1,fresh,3,permute,0.5687712853216257,0.5687712853216257,0.0,0
reach,1,fresh,3,random,0.5687712853216257,0.5687712852146438,1.2870702432186029e-08,0
reach,1,fresh,4,permute,0.5687712853216257,0.5687712853216257,0.0,0
reach,1,fresh,4,random,0.5687712853216257,0.5687712852763095,1.194835127806112e-08,0
reach,1,fresh,5,permute,0.5687712853216257,0.5687712853216257,0.0,0
reach,1,fresh,5,random,0.5687712853216257,0.5687712853395838,1.6314753919383767e-08,0
reach,2,original,0,permute,0.5543751493543604,0.5543751493543604,0.0,0
reach,2,original,0,random,0.5543751493543604,0.554375149291963,2.7187194095111556e-08,0
reach,2,original,1,permute,0.5543751493543604,0.5543751493543604,0.0,0
reach,2,original,1,random,0.5543751493543604,0.5543751494826655,1.2689719187040884e-08,0
reach,2,original,2,permute,0.5543751493543604,0.5543751493543604,0.0,0
reach,2,original,2,random,0.5543751493543604,0.5543751493883905,1.248230344313286e-08,0
reach,2,original,3,permute,0.5543751493543604,0.5543751493543604,0.0,0
reach,2,original,3,random,0.5543751493543604,0.5543751495993119,1.1864879334540667e-08,0
reach,2,original,4,permute,0.5543751493543604,0.5543751493543604,0.0,0
reach,2,original,4,random,0.5543751493543604,0.554375149417859,1.8630874852085045e-08,0
reach,2,original,5,permute,0.5543751493543604,0.5543751493543604,0.0,0
reach,2,original,5,random,0.5543751493543604,0.5543751493207104,1.281924617424411e-08,0
reach,2,fresh,0,permute,0.5640629110706592,0.5640629110706592,0.0,0
reach,2,fresh,0,random,0.5640629110706592,0.5640629109012305,1.9831125605321873e-08,0
reach,2,fresh,1,permute,0.5640629110706592,0.5640629110706592,0.0,0
reach,2,fresh,1,random,0.5640629110706592,0.5640629110313993,1.4260314619544697e-08,0
reach,2,fresh,2,permute,0.5640629110706592,0.5640629110706592,0.0,0
reach,2,fresh,2,random,0.5640629110706592,0.5640629110938055,1.1819366933071812e-08,0
reach,2,fresh,3,permute,0.5640629110706592,0.5640629110706592,0.0,0
reach,2,fresh,3,random,0.5640629110706592,0.5640629111110712,1.3231022409881424e-08,0
reach,2,fresh,4,permute,0.5640629110706592,0.5640629110706592,0.0,0
reach,2,fresh,4,random,0.5640629110706592,0.5640629109700751,1.2792192943235038e-08,0
reach,2,fresh,5,permute,0.5640629110706592,0.5640629110706592,0.0,0
reach,2,fresh,5,random,0.5640629110706592,0.5640629109264419,1.2281690250695614e-08,0
reach,3,original,0,permute,0.57104728421075,0.57104728421075,0.0,0
reach,3,original,0,random,0.57104728421075,0.5710472841587967,1.8506746870465684e-08,0
reach,3,original,1,permute,0.57104728421075,0.57104728421075,0.0,0
reach,3,original,1,random,0.57104728421075,0.571047284155961,1.3367885073629063e-08,0
reach,3,original,2,permute,0.57104728421075,0.57104728421075,0.0,0
reach,3,original,2,random,0.57104728421075,0.571047284159494,1.3356651150855198e-08,0
reach,3,original,3,permute,0.57104728421075,0.57104728421075,0.0,0
reach,3,original,3,random,0.57104728421075,0.5710472842386575,1.22315613717912e-08,0
reach,3,original,4,permute,0.57104728421075,0.57104728421075,0.0,0
reach,3,original,4,random,0.57104728421075,0.5710472838591882,1.1050902887123087e-08,0
reach,3,original,5,permute,0.57104728421075,0.57104728421075,0.0,0
reach,3,original,5,random,0.57104728421075,0.5710472841943958,1.3832004205989958e-08,0
reach,3,fresh,0,permute,0.5737482193840098,0.5737482193840098,0.0,0
reach,3,fresh,0,random,0.5737482193840098,0.5737482194496379,1.2897104144989604e-08,0
reach,3,fresh,1,permute,0.5737482193840098,0.5737482193840098,0.0,0
reach,3,fresh,1,random,0.5737482193840098,0.5737482194774153,1.6948172769076898e-08,0
reach,3,fresh,2,permute,0.5737482193840098,0.5737482193840098,0.0,0
reach,3,fresh,2,random,0.5737482193840098,0.5737482192422193,1.4637028125426703e-08,0
reach,3,fresh,3,permute,0.5737482193840098,0.5737482193840098,0.0,0
reach,3,fresh,3,random,0.5737482193840098,0.5737482194407157,1.5764418339148345e-08,0
reach,3,fresh,4,permute,0.5737482193840098,0.5737482193840098,0.0,0
reach,3,fresh,4,random,0.5737482193840098,0.5737482192000675,1.3149343095600323e-08,0
reach,3,fresh,5,permute,0.5737482193840098,0.5737482193840098,0.0,0
reach,3,fresh,5,random,0.5737482193840098,0.5737482194266562,1.2105416745086725e-08,0
reach,4,original,0,permute,0.5689763540800583,0.5689763540800583,0.0,0
