task,episode,arm,iteration,proposal_mean_delta_l2,proposal_mean_delta_rms,proposal_std_delta_l2,proposal_std_delta_rms,native_proposal_entropy_nats,arm_proposal_entropy_nats,proposal_entropy_delta_nats,native_best_runnerup_margin,arm_best_runnerup_margin,best_runnerup_margin_delta,native_elite_boundary_margin,arm_elite_boundary_margin,elite_boundary_margin_delta,same_candidate_actions_verified,shared_population_elite_overlap_count,shared_population_cost_delta_mean,shared_population_cost_delta_rms
reach,0,fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.12440919876098633,0.12426674365997314,-0.0001424551010131836,0.0012960433959960938,0.002160787582397461,0.0008647441864013672,True,10.0,0.0006652398904164632,0.0007344402440182724
reach,0,fixed_rank4,1,0.0,0.0,0.0,0.0,162.9746060970802,162.9746060970802,0.0,0.0910499095916748,0.09080362319946289,-0.00024628639221191406,0.009011030197143555,0.008453607559204102,-0.0005574226379394531,,,,
reach,0,fixed_rank4,2,0.0,0.0,0.0,0.0,154.39472010233015,154.39472010233015,0.0,0.05587315559387207,0.05603682994842529,0.00016367435455322266,0.014153003692626953,0.016153931617736816,0.0020009279251098633,,,,
reach,0,fixed_rank4,3,0.0,0.0,0.0,0.0,142.23714372735978,142.23714372735978,0.0,0.028371214866638184,0.028137922286987305,-0.0002332925796508789,0.02317488193511963,0.02394723892211914,0.0007723569869995117,,,,
reach,0,fixed_rank4,4,0.0,0.0,0.0,0.0,139.75073303790262,139.75073303790262,0.0,0.07429772615432739,0.07319396734237671,-0.0011037588119506836,0.0001544952392578125,0.0011829137802124023,0.0010284185409545898,,,,
reach,0,fixed_rank4,5,1.5398426665953973,0.14056776058386766,1.2445963129670317,0.11361557926663379,133.12120464755327,133.69567162077595,0.5744669732226839,0.0016731619834899902,0.0005179643630981445,-0.0011551976203918457,0.004643261432647705,0.0058348774909973145,0.0011916160583496094,,,,
reach,0,fixed_rank4,6,1.8015654066607545,0.16445966867484388,1.1925907837167322,0.1088681456857365,127.57369718910464,128.14816385129188,0.5744666621872483,0.0007851719856262207,0.0016736984252929688,0.000888526439666748,0.0020992159843444824,0.0005853772163391113,-0.001513838768005371,,,,
reach,0,fixed_rank4,7,2.1516539361112996,0.1964182327921564,1.393144803587232,0.1271761391326385,115.5501991972526,117.87084734405398,2.320648146801389,0.0009235739707946777,0.012704193592071533,0.011780619621276855,0.002085745334625244,0.0010380744934082031,-0.001047670841217041,,,,
reach,0,fixed_rank4,8,3.75280555628157,0.3425827095176899,2.8117810922815676,0.256679321834855,109.12458221522661,114.85641023937812,5.731828024151511,0.014196038246154785,0.004614591598510742,-0.009581446647644043,0.00035691261291503906,0.00021541118621826172,-0.00014150142669677734,,,,
reach,0,fixed_rank4,9,4.8020214376013985,0.43836257716627874,3.2545643930772172,0.29709972215691705,93.24056635035191,95.3373648373533,2.0967984870013936,0.002401411533355713,0.01772618293762207,0.015324771404266357,0.001425623893737793,0.0005443096160888672,-0.0008813142776489258,,,,
reach,0,fixed_rank4,10,6.5436572461793165,0.5973514470524246,3.616746571726261,0.3301622803523249,73.35428600164427,80.66450075469575,7.310214753051483,0.0029184818267822266,0.006731808185577393,0.003813326358795166,0.0005815625190734863,0.0013930797576904297,0.0008115172386169434,,,,
reach,0,fixed_rank4,11,7.328247620509593,0.6689744214561104,3.5578295852435904,0.32478391993286065,56.84592970928691,58.401701249820114,1.5557715405332075,0.003853321075439453,0.0006704926490783691,-0.003182828426361084,0.0015919804573059082,0.00016987323760986328,-0.001422107219696045,,,,
reach,0,fixed_rank4,12,7.065618450476005,0.644999768008401,3.8443336665657717,0.3509380446257695,33.525965412004574,42.34698868830224,8.821023276297666,0.0011886358261108398,9.965896606445312e-05,-0.0010889768600463867,3.4332275390625e-05,0.001286327838897705,0.00125199556350708,,,,
reach,0,fixed_rank4,13,7.379631672190977,0.673665122156428,3.441739632597959,0.3141864056389075,17.619824785208603,24.996264142814198,7.376439357605594,0.0032575130462646484,0.0008627772331237793,-0.002394735813140869,0.0005823373794555664,0.0002582073211669922,-0.0003241300582885742,,,,
reach,0,fixed_rank4,14,8.12081218600518,0.7413253365896462,3.450190905525433,0.31495789777590916,4.858272853138801,12.323731207287375,7.465458354148574,0.0050563812255859375,0.004178762435913086,-0.0008776187896728516,0.00021606683731079102,1.5735626220703125e-05,-0.0002003312110900879,,,,
reach,0,matched_random_fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.12440919876098633,0.1244344711303711,2.5272369384765625e-05,0.0012960433959960938,0.0014998912811279297,0.00020384788513183594,True,10.0,0.0003023695945739746,0.00035781456484922477
reach,0,matched_random_fixed_rank4,1,0.0,0.0,0.0,0.0,162.9746060970802,162.9746060970802,0.0,0.0910499095916748,0.0909125804901123,-0.0001373291015625,0.009011030197143555,0.008105993270874023,-0.0009050369262695312,,,,
reach,0,matched_random_fixed_rank4,2,0.0,0.0,0.0,0.0,154.39472010233015,154.39472010233015,0.0,0.05587315559387207,0.05575835704803467,-0.00011479854583740234,0.014153003692626953,0.014693021774291992,0.0005400180816650391,,,,
reach,0,matched_random_fixed_rank4,3,0.0,0.0,0.0,0.0,142.23714372735978,142.23714372735978,0.0,0.028371214866638184,0.028399229049682617,2.8014183044433594e-05,0.02317488193511963,0.023483872413635254,0.000308990478515625,,,,
reach,0,matched_random_fixed_rank4,4,0.0,0.0,0.0,0.0,139.75073303790262,139.75073303790262,0.0,0.07429772615432739,0.07408463954925537,-0.00021308660507202148,0.0001544952392578125,0.0001569986343383789,2.5033950805664062e-06,,,,
reach,0,matched_random_fixed_rank4,5,1.5398426080765872,0.14056775524185558,1.2445962549939344,0.11361557397443828,133.12120464755327,133.69567227131108,0.5744676237578119,0.0016731619834899902,0.0003262758255004883,-0.001346886157989502,0.004643261432647705,0.005336761474609375,0.0006935000419616699,,,,
reach,0,matched_random_fixed_rank4,6,1.8015654616763543,0.16445967369705802,1.1925907166740162,0.10886813956560185,127.57369718910464,128.1481649833898,0.5744677942851553,0.0007851719856262207,0.0011753439903259277,0.00039017200469970703,0.0020992159843444824,0.0005348920822143555,-0.001564323902130127,,,,
reach,0,matched_random_fixed_rank4,7,2.1516539597982858,0.1964182349544725,1.3931449771402373,0.12717615497578783,115.5501991972526,117.87084809133553,2.320648894082936,0.0009235739707946777,0.012782156467437744,0.011858582496643066,0.002085745334625244,0.001355588436126709,-0.0007301568984985352,,,,
reach,0,matched_random_fixed_rank4,8,3.752805520684172,0.34258270626810683,2.8117810490888484,0.25667931789191717,109.12458221522661,114.85641070904698,5.731828493820373,0.014196038246154785,0.0044438838958740234,-0.009752154350280762,0.00035691261291503906,0.0005061626434326172,0.00014925003051757812,,,,
reach,0,matched_random_fixed_rank4,9,4.8020211086005995,0.4383625471327523,3.254564482685016,0.2970997303369526,93.24056635035191,95.33736457307893,2.096798222727017,0.002401411533355713,0.017244338989257812,0.0148429274559021,0.001425623893737793,0.00022369623184204102,-0.001201927661895752,,,,
reach,0,matched_random_fixed_rank4,10,6.543656965502038,0.5973514214302118,3.616746558884579,0.33016227918004515,73.35428600164427,80.66450026092014,7.310214259275867,0.0029184818267822266,0.00690382719039917,0.003985345363616943,0.0005815625190734863,0.0010278820991516113,0.000446319580078125,,,,
reach,0,matched_random_fixed_rank4,11,7.32824769656583,0.6689744283990631,3.5578297475763736,0.3247839347517485,56.84592970928689,58.40170171519127,1.5557720059043803,0.003853321075439453,0.0006943941116333008,-0.0031589269638061523,0.0015919804573059082,9.506940841674805e-05,-0.0014969110488891602,,,,
reach,0,matched_random_fixed_rank4,12,7.044133771811292,0.6430384941508323,4.12387045841579,0.3764561457172497,33.525965412004574,42.912545771779214,9.38658035977464,0.0011886358261108398,0.0007804036140441895,-0.0004082322120666504,3.4332275390625e-05,0.00038236379623413086,0.00034803152084350586,,,,
reach,0,matched_random_fixed_rank4,13,7.561225470617095,0.6902422921065998,3.330204218147291,0.3040046618963544,17.6198247852086,28.136327952828918,10.516503167620318,0.0032575130462646484,0.0017164945602416992,-0.0015410184860229492,0.0005823373794555664,0.0005286335945129395,-5.370378494262695e-05,,,,
reach,0,matched_random_fixed_rank4,14,8.193524839539357,0.7479630633491006,3.457182425401164,0.3155961333004398,4.858272853138801,17.63238417550974,12.774111322370938,0.0050563812255859375,0.0033521056175231934,-0.0017042756080627441,0.00021606683731079102,0.0010427236557006836,0.0008266568183898926,,,,
reach,1,fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.039246439933776855,0.039716362953186035,0.0004699230194091797,0.0017080307006835938,0.001850128173828125,0.00014209747314453125,True,10.0,-0.000378644863764445,0.0004779991809225562
reach,1,fixed_rank4,1,0.0,0.0,0.0,0.0,166.63492930941868,166.63492930941868,0.0,0.07771658897399902,0.07630419731140137,-0.0014123916625976562,0.00237119197845459,0.0018471479415893555,-0.0005240440368652344,,,,
reach,1,fixed_rank4,2,0.0,0.0,0.0,0.0,157.74887855673467,157.74887855673467,0.0,0.2018953561782837,0.20266449451446533,0.0007691383361816406,0.0001723766326904297,0.0001875162124633789,1.5139579772949219e-05,,,,
reach,1,fixed_rank4,3,1.5951298796033875,0.1456147695348792,1.6104945533585513,0.14701736593561432,150.05568140475827,148.7498147130736,-1.3058666916846846,0.01712965965270996,0.029963970184326172,0.012834310531616211,0.009004592895507812,0.00942087173461914,0.0004162788391113281,,,,
reach,1,fixed_rank4,4,1.8005003738980219,0.16436244493007204,1.9033271169905384,0.17374919938116534,141.4795435708063,140.17367656669867,-1.3058670041076255,0.00859147310256958,0.016158103942871094,0.007566630840301514,0.0006822347640991211,0.006455898284912109,0.005773663520812988,,,,
reach,1,fixed_rank4,5,2.9710129083980807,0.27121513142810977,2.5874549095134043,0.2362012367446633,135.46647742310498,134.79055202806066,-0.6759253950443167,0.005978822708129883,0.0001920461654663086,-0.005786776542663574,0.001275181770324707,0.005226016044616699,0.003950834274291992,,,,
reach,1,fixed_rank4,6,4.176975162540236,0.3813039197770158,2.737024835924981,0.24985504051466476,128.02554131003774,129.9009477427938,1.8754064327560513,0.0038503408432006836,0.0009784102439880371,-0.0028719305992126465,0.0002703070640563965,0.00016880035400390625,-0.00010150671005249023,,,,
reach,1,fixed_rank4,7,5.131728262235389,0.46846055470218484,3.28546219921584,0.29992029305684126,120.1273594388673,122.44303137993462,2.315671941067322,0.0002465248107910156,0.00762784481048584,0.007381319999694824,0.005528688430786133,0.0005356669425964355,-0.004993021488189697,,,,
reach,1,fixed_rank4,8,5.133477194046509,0.46862020960293294,3.5231144387197912,0.32161487512649706,109.70612505990897,109.98950022391575,0.28337516400678453,0.008279263973236084,0.016371488571166992,0.008092224597930908,0.000577092170715332,0.0009490251541137695,0.0003719329833984375,,,,
reach,1,fixed_rank4,9,6.482876939342316,0.5918029895346395,4.237325426464805,0.38681311992749534,103.09137638243912,101.43338121533777,-1.6579951671013475,0.0030741095542907715,0.008040964603424072,0.004966855049133301,0.002149045467376709,0.0001760721206665039,-0.001972973346710205,,,,
