task,arm,metric,n,mean,marginal_95_low,marginal_95_high
reach,fixed_rank4,selected_prefix_delta_l2,4,3.8925522689381555,0.7301959331350099,7.054908604741302
reach,fixed_rank4,selected_prefix_delta_rms,4,0.5025263370613124,0.09426788961667593,0.9107847845059489
reach,matched_random_fixed_rank4,selected_prefix_delta_l2,4,2.4081540013500042,0.5359138360150676,4.739779989158448
reach,matched_random_fixed_rank4,selected_prefix_delta_rms,4,0.3108913447443773,0.06918617872961631,0.6119029654232613
reach-wall,fixed_rank4,selected_prefix_delta_l2,4,1.909891327677096,1.5885837793168245,2.3206325791687874
reach-wall,fixed_rank4,selected_prefix_delta_rms,4,0.24656591017197887,0.20508528404497667,0.299592377726236
reach-wall,matched_random_fixed_rank4,selected_prefix_delta_l2,4,0.868608876984212,8.176566685605037e-07,1.7372169363117553
reach-wall,matched_random_fixed_rank4,selected_prefix_delta_rms,4,0.112136923830926,1.0555902200834228e-07,0.22427374210283
