task,episode,arm,selected_prefix_delta_l2,selected_prefix_delta_rms,cohort,native_comparator,final_mean_delta_l2,final_mean_delta_rms,selected_prefix_coordinates,proposal_coordinates,first_candidate_divergence_iteration
reach,25,fixed_rank4,10.044531163268076,1.2967433971932891,extension56,same_receiving_gpu,15.785369859149556,1.4410005250697266,60,120,1.0
reach,25,matched_random_fixed_rank4,10.044530769010354,1.296743346294836,extension56,same_receiving_gpu,15.785370198107408,1.4410005560122034,60,120,1.0
reach,26,fixed_rank4,8.211296324777269,1.0600737972212178,extension56,same_receiving_gpu,11.614224478532364,1.0602287891368083,60,120,2.0
reach,26,matched_random_fixed_rank4,4.938731243243231,0.6375874618825094,extension56,same_receiving_gpu,7.981009298047153,0.7285631373664828,60,120,7.0
reach,27,fixed_rank4,9.224694271622935,1.1909029095950194,extension56,same_receiving_gpu,13.312239090156183,1.2152356067634316,60,120,2.0
reach,27,matched_random_fixed_rank4,9.243498684271682,1.1933305488291461,extension56,same_receiving_gpu,12.795784009481386,1.1680899238261424,60,120,2.0
reach,28,fixed_rank4,2.840498090424024e-06,3.6670672663820715e-07,extension56,same_receiving_gpu,3.4887092248783217e-06,3.184741231737033e-07,60,120,5.0
reach,28,matched_random_fixed_rank4,1.8178325863791743e-06,2.3468117777465657e-07,extension56,same_receiving_gpu,2.7834760424609975e-06,2.5409543612184934e-07,60,120,7.0
reach,29,fixed_rank4,2.5140753293275004,0.3245657293865446,extension56,same_receiving_gpu,3.609939989232355,0.3295409272237529,60,120,8.0
reach,29,matched_random_fixed_rank4,1.8898299319789345,0.24397599512395698,extension56,same_receiving_gpu,2.9377574919899456,0.2681793411404493,60,120,9.0
reach,30,fixed_rank4,5.761561299841821,0.7438143654146844,extension56,same_receiving_gpu,7.837222338833732,0.7154372438604386,60,120,1.0
reach,30,matched_random_fixed_rank4,3.4246850797421975,0.4421249426615518,extension56,same_receiving_gpu,5.023783275971697,0.4586065707111499,60,120,1.0
reach,31,fixed_rank4,2.702881128739951,0.3489404532796045,extension56,same_receiving_gpu,3.8498132835618724,0.351438262931645,60,120,4.0
reach,31,matched_random_fixed_rank4,0.8552880010439956,0.11041720614181422,extension56,same_receiving_gpu,1.1488820750831412,0.10487810473939674,60,120,6.0
reach-wall,4,fixed_rank4,4.139327902689611,0.5343849343869513,extension56,same_receiving_gpu,7.103395288678969,0.6484483057475654,60,120,3.0
reach-wall,4,matched_random_fixed_rank4,1.7470181692339648e-06,2.255390758321639e-07,extension56,same_receiving_gpu,2.0471328192182385e-06,1.8687680388249572e-07,60,120,3.0
reach-wall,5,fixed_rank4,6.042805410534506,0.7801228239790737,extension56,same_receiving_gpu,7.340388197407892,0.6700826994274978,60,120,5.0
reach-wall,5,matched_random_fixed_rank4,3.7357643649650414,0.482285105695491,extension56,same_receiving_gpu,5.973442631915597,0.5452982125772002,60,120,3.0
reach-wall,6,fixed_rank4,3.503927333218908e-06,4.5235507359592657e-07,extension56,same_receiving_gpu,3.91429965120808e-06,3.5732503596687824e-07,60,120,4.0
reach-wall,6,matched_random_fixed_rank4,2.7493349088202977e-06,3.549376105002567e-07,extension56,same_receiving_gpu,2.937173473400878e-06,2.6812602778124347e-07,60,120,8.0
reach-wall,7,fixed_rank4,2.972403637494411,0.38373565954074007,extension56,same_receiving_gpu,3.969969187979762,0.3624069461428305,60,120,10.0
reach-wall,7,matched_random_fixed_rank4,1.3267052040725635,0.17127690535665838,extension56,same_receiving_gpu,1.5346651971445089,0.14009512444902675,60,120,12.0
reach-wall,8,fixed_rank4,1.1289916189820688,0.14575219127751005,extension56,same_receiving_gpu,1.4719094650102678,0.13436633609858079,60,120,1.0
reach-wall,8,matched_random_fixed_rank4,0.37092162211535246,0.04788577550670003,extension56,same_receiving_gpu,0.7325619033105939,0.06687344653535511,60,120,1.0
reach-wall,9,fixed_rank4,7.675934275009213,0.9909588537897797,extension56,same_receiving_gpu,11.289583799593194,1.030593285313679,60,120,3.0
reach-wall,9,matched_random_fixed_rank4,1.2000755424321225e-06,1.549290863343481e-07,extension56,same_receiving_gpu,3.326732210243772e-06,3.0368771238825545e-07,60,120,11.0
reach-wall,10,fixed_rank4,2.835152044857354,0.3660165551232812,extension56,same_receiving_gpu,4.165880185721686,0.380291091597263,60,120,4.0
reach-wall,10,matched_random_fixed_rank4,1.1320178964277601e-06,1.4614288201578224e-07,extension56,same_receiving_gpu,1.7281465201951348e-06,1.5775747196415538e-07,60,120,13.0
reach-wall,11,fixed_rank4,2.7347589259539688e-06,3.5305585920372675e-07,extension56,same_receiving_gpu,3.942316510132295e-06,3.5988261357075035e-07,60,120,2.0
reach-wall,11,matched_random_fixed_rank4,5.253525815338683,0.6782272663892487,extension56,same_receiving_gpu,10.491310691178176,0.9577212538922338,60,120,2.0
reach-wall,12,fixed_rank4,1.9442589501902683e-06,2.5100275116005417e-07,extension56,same_receiving_gpu,2.2786386060655334e-06,2.0801029415737012e-07,60,120,8.0
reach-wall,12,matched_random_fixed_rank4,2.13256952332376,0.2753135416154137,extension56,same_receiving_gpu,3.388076042105632,0.30928761246734626,60,120,1.0
reach-wall,13,fixed_rank4,2.862514627159029,0.3695490493087351,extension56,same_receiving_gpu,3.7823165832157923,0.3452766853755259,60,120,3.0
reach-wall,13,matched_random_fixed_rank4,1.0405236631689126e-06,1.3433102729293113e-07,extension56,same_receiving_gpu,3.217707230388257e-06,2.9373513892185346e-07,60,120,4.0
reach-wall,14,fixed_rank4,8.053384564135499,1.0396874765833557,extension56,same_receiving_gpu,9.88557177294989,0.9024251089801655,60,120,6.0
reach-wall,14,matched_random_fixed_rank4,2.52318782301245e-06,3.257421472626855e-07,extension56,same_receiving_gpu,3.3231745424981875e-06,3.0336294324219464e-07,60,120,7.0
reach-wall,15,fixed_rank4,8.591064501732964,1.1091016580468493,extension56,same_receiving_gpu,15.329967564213302,1.3994281734570253,60,120,5.0
reach-wall,15,matched_random_fixed_rank4,2.510069669402759e-06,3.240486009139081e-07,extension56,same_receiving_gpu,3.2626381889147845e-06,2.978367555077382e-07,60,120,7.0
reach-wall,16,fixed_rank4,3.074805209947489,0.3969556456986142,extension56,same_receiving_gpu,4.448826245382703,0.4061204148361866,60,120,1.0
reach-wall,16,matched_random_fixed_rank4,3.630092305463233e-06,4.6864290147515963e-07,extension56,same_receiving_gpu,4.459193591740996e-06,4.0706681974650433e-07,60,120,1.0
reach-wall,17,fixed_rank4,3.0735573035970716,0.396794541681521,extension56,same_receiving_gpu,4.588748728267353,0.4188935315325288,60,120,1.0
reach-wall,17,matched_random_fixed_rank4,1.6461947814870973e-06,2.1252283244376954e-07,extension56,same_receiving_gpu,2.3565074585831288e-06,2.1511871533252508e-07,60,120,1.0
reach-wall,18,fixed_rank4,3.1149045593428903,0.4021324494453522,extension56,same_receiving_gpu,4.026703050655798,0.36758601553650794,60,120,2.0
reach-wall,18,matched_random_fixed_rank4,1.6937129744928798e-06,2.186574047822117e-07,extension56,same_receiving_gpu,2.969507972393385e-06,2.710777501952142e-07,60,120,2.0
reach-wall,19,fixed_rank4,2.5858130613227764e-06,3.3382703076362433e-07,extension56,same_receiving_gpu,3.8089750943993747e-06,3.477102633629845e-07,60,120,1.0
reach-wall,19,matched_random_fixed_rank4,11.556547635047794,1.4919438843397603,extension56,same_receiving_gpu,15.837724684272274,1.445779844855385,60,120,1.0
reach-wall,20,fixed_rank4,2.6891358227571027,0.3471659419076013,extension56,same_receiving_gpu,5.145847381309194,0.4697494480369889,60,120,8.0
reach-wall,20,matched_random_fixed_rank4,1.2093387696529334e-06,1.561249638262926e-07,extension56,same_receiving_gpu,1.4937519907498274e-06,1.3636027677532142e-07,60,120,13.0
reach-wall,21,fixed_rank4,6.448182917000825,0.8324568350281119,extension56,same_receiving_gpu,9.374579627812674,0.8557781215468976,60,120,1.0
reach-wall,21,matched_random_fixed_rank4,6.12433462399741,0.7906482001781143,extension56,same_receiving_gpu,9.822528646854996,0.8966700852705295,60,120,1.0
reach-wall,22,fixed_rank4,4.789724461549662e-06,6.18350769083471e-07,extension56,same_receiving_gpu,5.285243636049254e-06,4.824745268958002e-07,60,120,7.0
reach-wall,22,matched_random_fixed_rank4,2.8946588190130145e-06,3.7369884663299446e-07,extension56,same_receiving_gpu,3.391966644269112e-06,3.09642774228549e-07,60,120,10.0
reach-wall,23,fixed_rank4,1.332115050665569,0.1719753135486666,extension56,same_receiving_gpu,1.9260125976091356,0.17582009095827403,60,120,3.0
reach-wall,23,matched_random_fixed_rank4,2.1260019912273616e-06,2.7446567686757925e-07,extension56,same_receiving_gpu,2.560922359005351e-06,2.337791573410957e-07,60,120,3.0
reach-wall,24,fixed_rank4,6.958042995359277,0.8982794881073883,extension56,same_receiving_gpu,10.223528055679449,0.933276155563761,60,120,5.0
reach-wall,24,matched_random_fixed_rank4,4.545641288270877,0.5868397669101979,extension56,same_receiving_gpu,6.8994953912303885,0.6298348768633025,60,120,5.0
reach-wall,25,fixed_rank4,9.180001723810149,1.185133126482403,extension56,same_receiving_gpu,10.822418619994874,0.9879471341558539,60,120,2.0
reach-wall,25,matched_random_fixed_rank4,1.276770562451348e-06,1.6483037084339824e-07,extension56,same_receiving_gpu,1.5076967700886351e-06,1.376332551425376e-07,60,120,
reach-wall,26,fixed_rank4,2.5752927856608774,0.3324688690157562,extension56,same_receiving_gpu,3.9346533335213203,0.3591830644554208,60,120,4.0
reach-wall,26,matched_random_fixed_rank4,1.3033347011251068e-06,1.6825978639972532e-07,extension56,same_receiving_gpu,1.997200849798831e-06,1.8231865955055115e-07,60,120,5.0
reach-wall,27,fixed_rank4,6.000139051912127,0.7746146207661475,extension56,same_receiving_gpu,8.737979759807091,0.7976647702449863,60,120,3.0
reach-wall,27,matched_random_fixed_rank4,4.513534729787275e-06,5.826948280331636e-07,extension56,same_receiving_gpu,5.303255610843835e-06,4.841187877125012e-07,60,120,2.0
reach-wall,28,fixed_rank4,1.4075169579496025,0.18170965792144456,extension56,same_receiving_gpu,1.8731822212299074,0.17099735948087544,60,120,7.0
reach-wall,28,matched_random_fixed_rank4,2.776661061417966e-06,3.584654016311464e-07,extension56,same_receiving_gpu,3.05717455433182e-06,2.7908057760639016e-07,60,120,8.0
reach-wall,29,fixed_rank4,9.781562621393022,1.2627943044180048,extension56,same_receiving_gpu,14.386993961572607,1.3133468545739884,60,120,4.0
reach-wall,29,matched_random_fixed_rank4,4.149804734445963,0.5357374875507304,extension56,same_receiving_gpu,8.184897780196705,0.7471755241812827,60,120,7.0
reach-wall,30,fixed_rank4,7.603347539318475,0.9815879465069198,extension56,same_receiving_gpu,10.393310995947514,0.948775146607823,60,120,2.0
reach-wall,30,matched_random_fixed_rank4,7.22253754297833,0.932425587377097,extension56,same_receiving_gpu,10.099017835222245,0.9219099794997022,60,120,2.0
reach-wall,31,fixed_rank4,0.8688941016839574,0.11217374618132737,extension56,same_receiving_gpu,1.347124676409174,0.12297509550685869,60,120,4.0
reach-wall,31,matched_random_fixed_rank4,0.6737051451872821,0.08697496025215312,extension56,same_receiving_gpu,0.9623426274483614,0.08784946085037629,60,120,14.0
reach,0,fixed_rank4,5.915682708282993,0.7637113536875739,initial8,archived_initial_native,8.944625937469288,0.8165288990662871,60,120,5.0
reach,0,matched_random_fixed_rank4,5.735079647647023,0.7403955988170007,initial8,archived_initial_native,8.821620857531782,0.805300122904704,60,120,5.0
reach,1,fixed_rank4,8.19413450119961,1.057858215324324,initial8,archived_initial_native,10.692647481967937,0.9761007042207753,60,120,3.0
reach,1,matched_random_fixed_rank4,1.753881013692723,0.22642506524204328,initial8,archived_initial_native,2.2730913673451316,0.2075039028608651,60,120,4.0
reach,2,fixed_rank4,0.4531131342434288,0.058496654095754844,initial8,archived_initial_native,0.9690169385695189,0.08845873930985389,60,120,5.0
reach,2,matched_random_fixed_rank4,2.1436553440602704,0.27674471491846525,initial8,archived_initial_native,3.7377819717904814,0.34121125016429754,60,120,12.0
reach,3,fixed_rank4,1.0072787320265908,0.130039125137597,initial8,archived_initial_native,1.4037671014034192,0.12814581782038242,60,120,2.0
reach,3,matched_random_fixed_rank4,0.0,0.0,initial8,archived_initial_native,0.0,0.0,60,120,
reach-wall,0,fixed_rank4,1.5070117018508375,0.19455437412693305,initial8,archived_initial_native,2.604338055074507,0.23774245002223984,60,120,8.0
reach-wall,0,matched_random_fixed_rank4,1.6353133371210074e-06,2.1111804401668456e-07,initial8,archived_initial_native,2.2964429973225948e-06,2.0963560527639348e-07,60,120,12.0
reach-wall,1,fixed_rank4,1.9249395987772886,0.2485086336173209,initial8,archived_initial_native,3.2982661247871743,0.30108912620018075,60,120,2.0
reach-wall,1,matched_random_fixed_rank4,0.0,0.0,initial8,archived_initial_native,0.0,0.0,60,120,
reach-wall,2,fixed_rank4,2.5374581532974463,0.3275844389806412,initial8,archived_initial_native,3.729903099120594,0.3404920107827962,60,120,3.0
reach-wall,2,matched_random_fixed_rank4,2.175962879166534,0.2809155997659176,initial8,archived_initial_native,3.592321639869798,0.3279325993284397,60,120,3.0
reach-wall,3,fixed_rank4,1.6701558567828114,0.2156161939630203,initial8,archived_initial_native,2.777135558611506,0.25351663178353867,60,120,4.0
reach-wall,3,matched_random_fixed_rank4,1.298470993456977,0.16763188443974236,initial8,archived_initial_native,1.9737753454014066,0.18018021335398351,60,120,6.0
