task,episode,condition,layer,linear_center_mse,linear_gram_recomputed_mse,cubic_center_mse,cubic_gram_recomputed_mse,r0.05_first_derivative_rms,r0.05_second_derivative_rms,r0.1_first_derivative_rms,r0.1_second_derivative_rms,ratio_status,ratio,log_ratio,donor_response_rms_mean,exact_unchanged_fraction_mean
reach,0,float32,0,3.8908494087757406e-10,3.8908494080508429e-10,1.8043831713460969e-12,1.8043830965349822e-12,0.050262425890969034,0.0064189808057183544,0.050262833313051813,0.00629539191588713,both_positive,0.0046375045183613206,-5.3735788767393409,0.0037697568342802009,5.6152343750000002e-05
reach,0,float32_field_bfloat16_roundtrip,0,3.4026494200169939e-05,3.4026494200169939e-05,3.1755030519999014e-05,3.1755030519998899e-05,0.1108135682596126,4.2861789000587356,0.079727384402042703,1.4314052760257991,both_positive,0.93324426351981982,-0.069088307983918185,0.0092097532168392317,0.72176269531250004
reach,0,float32,1,1.5265616074737138e-09,1.5265616072995482e-09,3.7600537465246884e-12,3.7600535692738854e-12,0.081932361462150313,0.012599853380016096,0.081931612495480685,0.012489256716350157,both_positive,0.0024630868011590772,-6.00633991841881,0.0061450060273043981,2.9296874999999999e-05
reach,0,float32_field_bfloat16_roundtrip,1,5.4945091676540162e-05,5.4945091676540162e-05,5.1795850320687717e-05,5.1795850320688002e-05,0.14529335854784559,5.4267518554064065,0.11153905439843412,1.8438720217649203,both_positive,0.94268384564008156,-0.059024316994939596,0.012204074677234838,0.65501953125000001
reach,0,float32,2,9.7556362676663218e-09,9.7556362668533902e-09,7.3459045127669045e-12,7.3459034017170327e-12,0.14267088429011265,0.031672893535143569,0.14266488261191859,0.031598374976635653,both_positive,0.00075299081589520376,-7.191457526925074,0.010700374719216057,1.4648437499999999e-05
reach,0,float32_field_bfloat16_roundtrip,2,0.00015354632970686146,0.00015354632970686149,0.00014553172144165521,0.00014553172144165605,0.24254855040594564,9.0275513187098753,0.19163384458372051,3.1237867153972583,both_positive,0.94780332242061982,-0.053608264052156684,0.020611920024041611,0.59316650390624992
reach,0,float32,3,1.4455266543015784e-08,1.4455266535116206e-08,1.5968327857751009e-11,1.59683208857698e-11,0.19571754926194379,0.038555992427734914,0.19570977553358679,0.038467943785571883,both_positive,0.0011046719761432747,-6.8082068422513267,0.014678830117158443,1.4648437499999999e-05
reach,0,float32_field_bfloat16_roundtrip,3,0.00016124336279089646,0.00016124336279089649,0.00015956652273680657,0.00015956652273680776,0.27657951464474029,9.3554027957403658,0.23281104235686959,3.2011013271448041,both_positive,0.98960056386156836,-0.0104538881166647,0.023173598254741357,0.58760498046874998
reach,0,float32,4,6.581949619520785e-08,6.5819496187879387e-08,5.570501830788553e-11,5.570501225368988e-11,0.35553081936218034,0.082157458901240446,0.35550985456479067,0.082106298546625101,both_positive,0.00084633006218515043,-7.0746011300177045,0.026664758314779907,2.685546875e-05
reach,0,float32_field_bfloat16_roundtrip,4,0.00056617080273127019,0.0005661708027312703,0.00056028070030402074,0.00056028070030402681,0.52340412323555385,17.770479127256088,0.42509497940633656,5.8191572472679773,both_positive,0.98959659806045286,-0.01045789560130661,0.042902493223889525,0.56049316406249994
reach,0,float32,5,4.9018459004822793e-07,4.9018458976475543e-07,3.0050848114846824e-10,3.0050820512550563e-10,0.847364072861572,0.22454188044611681,0.84733129768027282,0.22396539937732807,both_positive,0.00061305166920670034,-7.397061336499112,0.063553583684610379,1.7089843750000002e-05
reach,0,float32_field_bfloat16_roundtrip,5,0.0033761855038960151,0.0033761855038960142,0.0032716859376399387,0.0032716859376399408,1.2167813726214787,42.516052844659299,1.0019703463290082,14.690454201157294,both_positive,0.96904803775281689,-0.0314410937558387,0.10246878179440014,0.53869140625000012
reach,0,bfloat16,0,6.8540241948469659e-05,6.8540241948469632e-05,8.3541880401563005e-05,8.3541880401565594e-05,0.1375257470525135,6.8164208823364056,0.079039546664559479,1.781086170579314,both_positive,1.218873438824041,0.19792702133880447,0.01137110150656368,0.09100341796875
reach,0,bfloat16,1,0.00011961216525029864,0.00011961216525029856,0.00013908546593541116,0.00013908546593541297,0.16877716693961031,8.7698340944779698,0.11135954877683028,2.4692130706403002,both_positive,1.1628036800802242,0.15083405454124943,0.015214991126908661,0.02783203125
reach,0,bfloat16,2,0.00021040013155921005,0.00021040013155920973,0.00026769181924089373,0.00026769181924089509,0.23420058566206145,11.945472226261897,0.15634515797010587,3.2452197379876702,both_positive,1.2722987255621598,0.24082528448571949,0.020749082348837662,0.014389648437499999
reach,0,bfloat16,3,0.00043268346574340527,0.00043268346574340451,0.00056393561056948072,0.00056393561056947671,0.34506522066396977,17.080240588080333,0.24993651015073973,4.8013740678561625,both_positive,1.3033444890263315,0.26493364464777436,0.031018945930410956,0.0088159179687499999
reach,0,bfloat16,4,0.0014525393776182143,0.0014525393776182135,0.0019369135118549191,0.0019369135118549215,0.63149947374307813,31.597944839039652,0.46263726875228534,8.7048999808118275,both_positive,1.3334671277765646,0.28778241324989828,0.057028945044015025,0.0051904296875000004
reach,0,bfloat16,5,0.0087682194931288353,0.0087682194931288059,0.011445595858093576,0.011445595858093519,1.5304206948353445,76.828189588883916,1.1633292179809176,21.697288264362758,both_positive,1.3053500618982967,0.26647125146831474,0.14078018412493112,0.0027441406249999996
reach,1,float32,0,4.181909116963608e-10,4.1819091160443788e-10,1.8141247674281976e-12,1.8141246666072981e-12,0.052793849312312596,0.0066284276691962194,0.052794542986509901,0.0065326135917371537,both_positive,0.0043380301118198222,-5.4403349251954083,0.0039596276776512236,4.6386718750000001e-05
