source_id,task,precision,modality,horizon,source_n,native_mse,metric,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high,missing_reason
S01,reach,bfloat16,proprio,1,33,0.0002275826288211528,factorial_from_arm_losses,0.0,0.0,0.0,33,0.0,0.0,0.0,
S01,reach,bfloat16,proprio,1,33,0.0002275826288211528,output_interaction_mse,0.0,0.0,0.0,33,0.0,0.0,0.0,
S01,reach,bfloat16,proprio,1,33,0.0002275826288211528,additive_quadratic_cross,0.0,0.0,0.0,33,0.0,0.0,0.0,
S01,reach,bfloat16,proprio,1,33,0.0002275826288211528,nonadditive_mse_remainder,0.0,0.0,0.0,33,0.0,0.0,0.0,
S01,reach,bfloat16,proprio,2,33,0.0003022944126727948,factorial_from_arm_losses,0.0,0.0,0.0,33,0.0,0.0,0.0,
S01,reach,bfloat16,proprio,3,33,0.00041403000616470554,factorial_from_arm_losses,2.27726915835947e-07,-1.4143803780072762e-08,4.841840624673339e-07,33,0.055002514901143384,-0.0033716525871466656,0.11749921568972134,
S01,reach,bfloat16,proprio,3,33,0.00041403000616470554,output_interaction_mse,3.6120262220697213e-06,3.1835819684239147e-06,4.060039735965949e-06,33,0.8724068710693444,0.7589760142362242,0.998726711585551,
S01,reach,bfloat16,proprio,3,33,0.00041403000616470554,additive_quadratic_cross,1.6883469191415884e-06,1.5448843940427423e-06,1.8275048768903703e-06,33,0.40778370987680207,0.36523957931650913,0.4515927179938664,
S01,reach,bfloat16,proprio,3,33,0.00041403000616470554,nonadditive_mse_remainder,-1.4606179994443651e-06,-1.7361615014068096e-06,-1.185618595767181e-06,33,-0.3527807109862748,-0.4242342549725581,-0.28300238262579935,
S01,reach,bfloat16,proprio,4,33,0.0005330005390762858,factorial_from_arm_losses,6.752539371113686e-08,-2.294012295746591e-07,3.5855430825096755e-07,33,0.012668916588369956,-0.04195807029235358,0.06788627089073566,
S01,reach,bfloat16,proprio,5,33,0.000684695057448566,factorial_from_arm_losses,2.389560996571348e-07,-2.3332058665827254e-07,7.359221883987942e-07,33,0.03489963846790074,-0.034256844531953316,0.1061449075223539,
S01,reach,bfloat16,proprio,6,33,0.0008585703183038129,factorial_from_arm_losses,5.469989106370595e-07,-4.988865371022199e-08,1.1513895793596679e-06,33,0.06371043803583935,-0.005678315328773488,0.13383329301125058,
S01,reach,bfloat16,proprio,6,33,0.0008585703183038129,output_interaction_mse,3.5982196626112754e-06,3.2699517433307435e-06,3.933890303767211e-06,33,0.4190943462522557,0.35947451886400694,0.4932792122296488,
S01,reach,bfloat16,proprio,6,33,0.0008585703183038129,additive_quadratic_cross,1.8358551620460894e-06,1.676101898667591e-06,1.9844657771792877e-06,33,0.21382700087664286,0.18501689081445613,0.24855443916887798,
S01,reach,bfloat16,proprio,6,33,0.0008585703183038129,nonadditive_mse_remainder,-1.2888545991845352e-06,-1.8856678534464736e-06,-6.896090952460498e-07,33,-0.1501163704017616,-0.22569746105394003,-0.0789188441573812,
S01,reach,bfloat16,visual,1,33,0.12173197127483558,factorial_from_arm_losses,0.0,0.0,0.0,33,0.0,0.0,0.0,
