task,episode,bank,layer,mode,modality,spearman,top10_overlap_count,centered_cost_change_rms,cost_change_mean,cost_change_rms
reach,0,fresh,3,permute,official,0.9990395448838321,10,0.004312093199978203,-0.0001782687505086263,0.004315776582807103
reach,0,fresh,3,random,visual,0.9990693229924777,10,0.0043302551555652715,-0.00011799852053324382,0.004331862574360785
reach,0,fresh,3,random,proprio,0.9988622095801064,10,0.00317517779164992,2.6363059878349303e-05,0.003175287234174731
reach,0,fresh,3,random,official,0.9991039900443338,10,0.004541468601540295,-0.00011535207430521647,0.004542933321084834
reach,0,fresh,4,permute,visual,0.98776164179602,8,0.017706703328136356,0.0006324847539265951,0.017717995928281074
reach,0,fresh,4,permute,proprio,0.9868540761564017,7,0.012149320500870172,0.00016600437462329864,0.01215045456290662
reach,0,fresh,4,permute,official,0.9883478705318948,8,0.01872226156877542,0.0006490933895111084,0.018733510094959566
reach,0,fresh,4,random,visual,0.997514639051545,9,0.007142056936406017,-0.0007601420084635417,0.007182394667232947
reach,0,fresh,4,random,proprio,0.9954763941821576,10,0.006181691226756369,0.0004983286062876384,0.0062017447402163564
reach,0,fresh,4,random,official,0.9974589714840195,9,0.0074903292578376735,-0.0007103121280670166,0.007523933526427395
reach,0,fresh,5,permute,visual,0.9998235535950399,10,0.0014524263679836695,9.762247403462727e-05,0.001455703438840094
reach,0,fresh,5,permute,proprio,0.9998191091012122,10,0.0010944716049290403,-7.101620237032572e-06,0.0010944946445761807
reach,0,fresh,5,permute,official,0.9998573317481305,10,0.0015219665521360713,9.691238403320313e-05,0.0015250489159367839
reach,0,fresh,5,random,visual,0.9994591051011678,9,0.003204520772043649,-0.00020164807637532552,0.0032108589699899764
reach,0,fresh,5,random,proprio,0.9994146601628907,10,0.00216074613950195,-0.00033831074833869936,0.0021870706531372216
reach,0,fresh,5,random,official,0.9994542161579573,9,0.0033396014380129165,-0.00023546934127807617,0.00334789240798743
reach,1,original,0,permute,visual,0.9978324203602262,10,0.007532436057655648,-0.0003463021914164225,0.0075403924414085225
reach,1,original,0,permute,proprio,0.9991391015455727,10,0.0022670109151863896,-0.0001099893699089686,0.0022696775434116636
reach,1,original,0,permute,official,0.9979924221380237,8,0.007566977579580638,-0.0003572992483774821,0.0075754084010545035
reach,1,original,0,random,visual,0.9996968855209503,10,0.0026138456488896218,-0.00013785243034362794,0.002617478246093146
reach,1,original,0,random,proprio,0.9996035511505683,10,0.0013073499240333225,-0.00018827661871910096,0.0013208375785940646
reach,1,original,0,random,official,0.9996719963555151,9,0.002642252271792531,-0.0001566759745279948,0.0026468933542526957
reach,1,original,1,permute,visual,0.9900483338703764,9,0.016926575124740082,-0.0008758604526519775,0.016949220542136722
reach,1,original,1,permute,proprio,0.9928132534805942,9,0.007418150965425763,-0.0006376113742589951,0.007445502804406941
reach,1,original,1,permute,official,0.9903656707296747,7,0.017256106111546037,-0.0009396223227183024,0.017281669139359395
reach,1,original,1,random,visual,0.9994066600740008,9,0.003780255912930895,-0.00026776591936747234,0.003789727345710203
reach,1,original,1,random,proprio,0.9991897687752086,9,0.0019700476628103794,-5.1386989653110505e-05,0.0019707177414460568
reach,1,original,1,random,official,0.999414215713508,10,0.003827934971205249,-0.000272906223932902,0.0038376508375355676
reach,1,original,2,permute,visual,0.9969781886465405,9,0.009118285574695097,-0.0003289047876993815,0.009124215592644898
reach,1,original,2,permute,proprio,0.9975586395404393,9,0.004151337845561176,-0.00013313534359137217,0.004153472153235375
reach,1,original,2,permute,official,0.9971390793231036,8,0.009342264667482373,-0.00034222682317097984,0.009348530810549175
reach,1,original,2,random,visual,0.9995017722419138,9,0.0031064503794296632,3.1249523162841795e-05,0.0031066075536759713
reach,1,original,2,random,proprio,0.9994146601628907,10,0.0017170084348540476,0.00019022231300671894,0.001727513384528633
reach,1,original,2,random,official,0.9995311059011767,9,0.003139325185205919,5.027413368225098e-05,0.0031397277122364735
reach,1,original,3,permute,visual,0.9993368815209058,10,0.004099477954404079,0.00012249231338500976,0.004101307579965622
reach,1,original,3,permute,proprio,0.9992515472394138,9,0.0019334522500437197,5.096666514873505e-05,0.0019341238854208654
reach,1,original,3,permute,official,0.9992737697085523,9,0.004169925475002017,0.00012759049733479817,0.004171877011859403
reach,1,original,3,random,visual,0.9994959943999377,9,0.0034689617803123716,0.00017940004666646323,0.003473597588957579
reach,1,original,3,random,proprio,0.998963988488761,10,0.002548673422973293,5.432441830635071e-06,0.002548679212532375
reach,1,original,3,random,official,0.9995617729085878,9,0.003457751560196853,0.00017993847529093425,0.0034624303179896336
reach,1,original,4,permute,visual,0.9963461816242403,9,0.009320564662918921,-0.0005801256497701009,0.009338601148200629
reach,1,original,4,permute,proprio,0.9902407804531161,7,0.00800499838469587,-9.668099383513133e-05,0.008005582199537549
reach,1,original,4,permute,official,0.9967941866020733,9,0.009515173885478878,-0.0005897982915242513,0.009533435692109331
reach,1,original,4,random,visual,0.9988586539850443,9,0.0053453215493845145,0.00020412961641947427,0.0053492178275532975
reach,1,original,4,random,proprio,0.9958279536439294,10,0.00554054062016654,0.0006516663357615471,0.005578732775181143
reach,1,original,4,random,official,0.998932877031967,9,0.0053826027953732865,0.00026929775873819987,0.005389335222049352
reach,1,original,5,permute,visual,0.9998791097678863,10,0.001563603886956877,7.084210713704427e-06,0.0015636199350699297
reach,1,original,5,permute,proprio,0.9997066634073712,10,0.0011294786976049746,-2.604288359483083e-05,0.0011297788987803602
reach,1,original,5,permute,official,0.999891554350604,9,0.0016170902818890655,4.48465347290039e-06,0.0016170965004899459
reach,1,original,5,random,visual,0.9996924410271225,9,0.002675184790685315,0.0001967446009318034,0.002682409756601301
reach,1,original,5,random,proprio,0.999346214957944,10,0.0019781150355661172,2.9727133611838023e-05,0.0019783383927947
reach,1,original,5,random,official,0.9996204402271136,9,0.002758220014715725,0.00019971847534179686,0.002765441215967403
reach,1,fresh,0,permute,visual,0.997239080434227,10,0.00860966353900188,-0.00017649571100870768,0.008611472405507832
reach,1,fresh,0,permute,proprio,0.9989577661974022,10,0.002301696366905966,0.00010361014554897944,0.0023040271759874713
reach,1,fresh,0,permute,official,0.9972106356737297,10,0.00867036859769665,-0.0001661348342895508,0.008671960124625148
reach,1,fresh,0,random,visual,0.9995951066122957,10,0.003082287382411422,-0.00011042952537536621,0.003084264934769269
reach,1,fresh,0,random,proprio,0.9995706618962433,10,0.001392067771200516,-0.00018939442932605744,0.0014048924974797592
reach,1,fresh,0,random,official,0.9995631062567362,10,0.0031132625230972212,-0.0001293786366780599,0.0031159496737512226
reach,1,fresh,1,permute,visual,0.9861451793908821,9,0.019580583558260856,-0.0009985597928365072,0.019606029025325475
reach,1,fresh,1,permute,proprio,0.9926710296781075,10,0.006898686016014092,-3.816260645786921e-05,0.0068987915704186945
reach,1,fresh,1,permute,official,0.9863194035489283,9,0.01988543098404402,-0.0010023732980092366,0.019910678482908103
reach,1,fresh,1,random,visual,0.9992884365381838,10,0.004012960543554474,-8.838057518005371e-05,0.004013933662904032
reach,1,fresh,1,random,proprio,0.9993142146023845,10,0.0019502563039148764,9.262550622224808e-05,0.0019524546436121488
reach,1,fresh,1,random,official,0.9993351037233748,10,0.004058510343969924,-7.912516593933105e-05,0.004059281587177194
reach,1,fresh,2,permute,visual,0.9949306103401149,10,0.011669536852593167,-0.0007121046384175618,0.01169124387608461
reach,1,fresh,2,permute,proprio,0.9966011840799609,10,0.004279395542742903,-8.774922539790472e-05,0.004280295099383424
reach,1,fresh,2,permute,official,0.9948452760586228,10,0.011908507775755165,-0.0007208804289499919,0.011930307038717168
reach,1,fresh,2,random,visual,0.9994711052345026,10,0.0032715331646105865,-9.804050127665201e-05,0.0032730018617528364
reach,1,fresh,2,random,proprio,0.9994271047456083,10,0.0016666287158976524,0.00010809704661369324,0.0016701306081086176
reach,1,fresh,2,random,official,0.9994417715752397,10,0.0033157610746630587,-8.723258972167969e-05,0.0033169083540188853
reach,1,fresh,3,permute,visual,0.999338214869054,10,0.004107472080373984,8.550286293029785e-05,0.004108361915730048
reach,1,fresh,3,permute,proprio,0.9992333248147202,10,0.00184861322719739,0.00014841113239526748,0.0018545610607332388
reach,1,fresh,3,permute,official,0.9993768819653551,10,0.004189334568653326,0.00010033686955769856,0.004190535958025702
reach,1,fresh,3,random,visual,0.9992515472394138,10,0.003969243375492089,2.6233593622843424e-05,0.003969330066311215
reach,1,fresh,3,random,proprio,0.9990391004344493,10,0.0022596366715160986,3.6420834561189016e-05,0.002259930168047342
reach,1,fresh,3,random,official,0.9992599917776864,10,0.003944938736683087,2.987106641133626e-05,0.003945051826882798
reach,1,fresh,4,permute,visual,0.996271069678552,10,0.010051562416518028,-0.0012409897645314534,0.01012788045984102
reach,1,fresh,4,permute,proprio,0.9888754319492439,9,0.008038926731629894,0.00011643794675668081,0.008039769946457337
reach,1,fresh,4,permute,official,0.9959412882365359,10,0.010200696393143456,-0.0012293573220570882,0.010274508568801978
reach,1,fresh,4,random,visual,0.9988462094023267,10,0.005051165310372866,-0.0005206215381622314,0.0050779245542556676
reach,1,fresh,4,random,proprio,0.9952475027500306,8,0.0054222720107559306,0.0007679795970519384,0.005476388081583995
reach,1,fresh,4,random,official,0.9989626551406127,9,0.0049923738252422795,-0.00044382373491923016,0.005012063040170374
reach,1,fresh,5,permute,visual,0.9998484427604751,10,0.0014588710851914607,-4.675745964050293e-05,0.0014596201914332863
reach,1,fresh,5,permute,proprio,0.9997986644296047,10,0.0009246834237747343,-2.8976996739705402e-05,0.0009251373414492671
reach,1,fresh,5,permute,official,0.9998488872098579,10,0.0014974796766158483,-4.9660603205362953e-05,0.0014983028924046786
reach,1,fresh,5,random,visual,0.999650662785142,10,0.0029887625598014325,7.961153984069825e-05,0.0029898226763717304
reach,1,fresh,5,random,proprio,0.9993808820098001,10,0.0018062095233376963,5.582605799039205e-05,0.0018070720491852378
reach,1,fresh,5,random,official,0.9996244402715586,10,0.0030548203224188782,8.518656094868978e-05,0.0030560078456099626
reach,2,original,0,permute,visual,0.9982026466960744,10,0.00700537272846897,0.0007967448234558105,0.007050535396583753
reach,2,original,0,permute,proprio,0.9987306525628062,8,0.002364321746453053,-4.687453309694926e-05,0.0023647863629943132
reach,2,original,0,permute,official,0.9984079823109145,10,0.007090127109615678,0.0007920638720194499,0.007134232096579534
reach,2,original,0,random,visual,0.9994986610962344,10,0.003258879057221063,-0.0004714012145996094,0.003292796959230865
reach,2,original,0,random,proprio,0.9995315503505594,9,0.001367217598414821,-0.00013482483724753063,0.00137384922686371
reach,2,original,0,random,official,0.9995217724641385,10,0.0033340866220475072,-0.0004848821957906087,0.0033691607778660367
reach,2,original,1,permute,visual,0.9928483649818332,8,0.015183538920505838,0.0017169809341430664,0.015280310130318898
reach,2,original,1,permute,proprio,0.9944852720585784,8,0.005729251904748366,-0.00019051464895407358,0.0057324186186573
reach,2,original,1,permute,official,0.9931221458016201,8,0.015530821884714711,0.0016979384422302246,0.015623361461872941
reach,2,original,1,random,visual,0.999410215669063,10,0.004347525355419305,-0.00047003587086995443,0.004372860669621001
reach,2,original,1,random,proprio,0.9993062145134946,8,0.001756666486943147,-0.00016613016525904339,0.0017645045701720852
reach,2,original,1,random,official,0.9993817709085656,10,0.00445167082169135,-0.0004866464932759603,0.0044781913664018345
reach,2,original,2,permute,visual,0.9976728630318115,9,0.009453499907392828,0.0006636619567871094,0.009476766731958887
reach,2,original,2,permute,proprio,0.9979844220491338,9,0.0036463206935899864,-4.172024627526601e-05,0.0036465593618439603
reach,2,original,2,permute,official,0.9977470860787342,9,0.009711981425671028,0.000659494400024414,0.009734347234213634
reach,2,original,2,random,visual,0.9994048822764697,10,0.0036039588793871104,-0.00014790852864583333,0.0036069927276277357
reach,2,original,2,random,proprio,0.9995244391604351,9,0.0013906468969770475,5.9196849664052326e-05,0.001391906268066223
reach,2,original,2,random,official,0.9995057722863587,9,0.0036700235338892623,-0.00014198621114095051,0.0036727690947642205
reach,2,original,3,permute,visual,0.9992551028344759,10,0.004746708749521243,-7.549365361531575e-05,0.004747309052981249
reach,2,original,3,permute,proprio,0.9990702118912432,8,0.0020900198314671133,-8.245738844076793e-05,0.0020916457914365643
reach,2,original,3,permute,official,0.9993239924888054,10,0.004901432440198026,-8.373419443766276e-05,0.004902147629472586
reach,2,original,3,random,visual,0.9993555483949822,10,0.004730408174572609,0.0002524479230244954,0.004737139585435787
reach,2,original,3,random,proprio,0.9986119845776065,8,0.0024722061441247514,-6.371058523654938e-05,0.002473026942376357
reach,2,original,3,random,official,0.9993693263258481,10,0.004853171996087006,0.0002460781733194987,0.004859406639805666
reach,2,original,4,permute,visual,0.9892412137912644,9,0.020944455791441816,0.0005633815129597982,0.02095203157521498
reach,2,original,4,permute,proprio,0.9863998488872099,8,0.00917972446883823,-0.00012700068453947702,0.009180602948481153
reach,2,original,4,permute,official,0.9890403226702519,9,0.021650388378281316,0.0005506849288940429,0.02165739067434786
reach,2,original,4,random,visual,0.9979221991355459,9,0.008104365919145826,-9.127219518025716e-05,0.008104879861233318
reach,2,original,4,random,proprio,0.995628840320448,8,0.004898098129185615,0.0004727026571830114,0.004920854914061123
reach,2,original,4,random,official,0.9980662007355637,8,0.00826552730128327,-4.4002532958984376e-05,0.008265644426852991
reach,2,original,5,permute,visual,0.999824331361947,10,0.0022296990053271783,2.0608107248942057e-05,0.0022297942390367303
reach,2,original,5,permute,proprio,0.9997484416493516,9,0.0009058497867429021,-2.434365451335907e-05,0.0009061768313399029
reach,2,original,5,permute,official,0.9997484416493516,10,0.002297710106667614,1.8181800842285157e-05,0.002297782041918765
reach,2,original,5,random,visual,0.9994568828542539,10,0.003834408315326771,-8.859634399414063e-05,0.0038354317150506296
reach,2,original,5,random,proprio,0.9991542128245869,10,0.0019307360196683062,7.209827502568562e-06,0.0019307494812267154
reach,2,original,5,random,official,0.9994342159357327,10,0.003942373460924867,-8.787075678507487e-05,0.003943352606007063
reach,2,fresh,0,permute,visual,0.9983195368837432,9,0.007192710179206155,0.0004644083976745605,0.007207687207550456
reach,2,fresh,0,permute,proprio,0.9992239913776819,10,0.002076328536007915,-0.0001704408476750056,0.0020833123318400788
reach,2,fresh,0,permute,official,0.9984186490961011,9,0.007253385838287728,0.00044736385345458987,0.0072671686740057645
reach,2,fresh,0,random,visual,0.9996226624740275,10,0.003139161201690968,-0.0005848749478658041,0.0031931820735502867
reach,2,fresh,0,random,proprio,0.9996444404937833,10,0.0012141551946510429,-0.00018148874243100485,0.0012276444926473213
reach,2,fresh,0,random,official,0.9995639951555018,10,0.0032022462313674124,-0.000603029727935791,0.0032585312303369304
reach,2,fresh,1,permute,visual,0.9927012522361359,8,0.014749702501546554,0.0016852784156799316,0.014845668971874771
reach,2,fresh,1,permute,proprio,0.9943661596239958,10,0.005559683521891924,-0.0004420645038286845,0.005577230664867815
reach,2,fresh,1,permute,official,0.9932194802164469,8,0.015064190113756237,0.001641065279642741,0.015153313797167932
reach,2,fresh,1,random,visual,0.9993653262814032,10,0.004390336182927967,-0.00036393086115519207,0.004405394133426392
reach,2,fresh,1,random,proprio,0.9993559928443649,10,0.0018268955548947695,4.113617042700449e-05,0.001827358627366743
reach,2,fresh,1,random,official,0.9992368804097823,10,0.00448690421111126,-0.00035982529322306316,0.004501309103064465
reach,2,fresh,2,permute,visual,0.9980990899898887,9,0.008703112844300207,0.0008701316515604655,0.008746502287867454
reach,2,fresh,2,permute,proprio,0.9980822009133434,10,0.0032193651693148504,-0.00020592893163363138,0.0032259446396801987
reach,2,fresh,2,permute,official,0.9981777575306392,9,0.008897833630491247,0.0008495378494262695,0.008938297258063688
reach,2,fresh,2,random,visual,0.9992777697529972,10,0.0038675798897303874,-0.00015453974405924478,0.0038706661876143247
reach,2,fresh,2,random,proprio,0.999377326414738,10,0.001609625041143262,-0.00012042971948782603,0.0016141239389871412
reach,2,fresh,2,random,official,0.9992719919110212,10,0.003972620599261778,-0.00016658703486124675,0.00397611187793589
reach,2,fresh,3,permute,visual,0.9994071045233835,9,0.00441686283018275,-7.506529490152995e-05,0.0044175006575153586
reach,2,fresh,3,permute,proprio,0.9992697696641074,10,0.0019179971626583283,-0.00011215632160504659,0.0019212735766780775
reach,2,fresh,3,permute,official,0.9993244369381882,9,0.0045324984078867125,-8.628527323404949e-05,0.0045333196408231195
reach,2,fresh,3,random,visual,0.9989448771653019,10,0.0057605311945681335,0.0004170544942220052,0.005775608547568242
reach,2,fresh,3,random,proprio,0.9987386526516961,10,0.002621446342476669,5.0855055451393125e-05,0.002621939580377334
reach,2,fresh,3,random,official,0.9988137645973845,10,0.005916271987067016,0.0004221399625142415,0.005931313208127304
reach,2,fresh,4,permute,visual,0.9891812131245903,10,0.01960447975066697,0.001210641860961914,0.019641824762730794
reach,2,fresh,4,permute,proprio,0.9844900498894432,10,0.00877711807498202,8.83524864912033e-05,0.008777562751928649
reach,2,fresh,4,permute,official,0.9890006543406826,9,0.020281390179711048,0.0012194681167602538,0.02031801885296582
reach,2,fresh,4,random,visual,0.9984799831109235,9,0.0074507499617563885,-0.00027887662251790366,0.007455967218490156
reach,2,fresh,4,random,proprio,0.9964390715452394,10,0.004429760757039931,0.00036685581008593244,0.004444925595553292
reach,2,fresh,4,random,official,0.9984946499405549,9,0.0076033981940160445,-0.00024219036102294923,0.007607254450045619
reach,2,fresh,5,permute,visual,0.9998124423604706,10,0.0022348619785983372,0.00010473728179931641,0.002237314899960036
reach,2,fresh,5,permute,proprio,0.9998071089678774,10,0.0008581282178024613,-6.909022728602092e-06,0.0008581560305584835
reach,2,fresh,5,permute,official,0.99977866420738,10,0.002296419708123645,0.00010403951009114583,0.0022987752598979073
reach,2,fresh,5,random,visual,0.9992888809875665,9,0.004132967610561107,-0.0001568301518758138,0.004135942089353353
reach,2,fresh,5,random,proprio,0.999415993511039,10,0.0016939554251304213,1.4566580454508463e-05,0.0016940180540935578
reach,2,fresh,5,random,official,0.999400437782642,9,0.004233660737440282,-0.00015538374582926433,0.0042365112236616735
reach,3,original,0,permute,visual,0.9983343146406483,9,0.006830115480863841,0.0001202543576558431,0.0068311740273887854
reach,3,original,0,permute,proprio,0.9992551028344759,10,0.0026267476264564453,-0.00012533711890379588,0.002629736200927704
reach,3,original,0,permute,official,0.9984319825775841,9,0.007004977270138907,0.00010772625605265299,0.007005805556922477
reach,3,original,0,random,visual,0.9996238846680453,9,0.0027088226908295893,0.00012468020121256512,0.0027116905286052946
reach,3,original,0,random,proprio,0.9997315525728063,10,0.0016086202371150432,-4.48453426361084e-05,0.0016092452181107166
reach,3,original,0,random,official,0.9996648851653908,9,0.0028108346151880844,0.00012020270029703776,0.002813403618945964
reach,3,original,1,permute,visual,0.9921686898930816,8,0.016126700774776202,0.00012041409810384115,0.016127150319699683
reach,3,original,1,permute,proprio,0.9938230424782497,10,0.008028713079355558,-0.00046794429421424864,0.008042338315011542
reach,3,original,1,permute,official,0.9925123612484583,7,0.01674540594460745,7.36220677693685e-05,0.016745567785493486
reach,3,original,1,random,visual,0.9993563261098881,9,0.0038199918519640328,-0.00014124552408854166,0.0038226022611758405
reach,3,original,1,random,proprio,0.9995528839209324,10,0.002088299712630124,-0.00012562401592731477,0.0020920748273302184
reach,3,original,1,random,official,0.9994266602962255,9,0.0039383902414787805,-0.00015381177266438802,0.003941392616269717
reach,3,original,2,permute,visual,0.9978458647147103,9,0.00830827123197305,0.00018773555755615233,0.00831039201864761
reach,3,original,2,permute,proprio,0.9982870920788008,10,0.004029064214575624,0.00011533776919047038,0.004030714731431105
reach,3,original,2,permute,official,0.9979981999799997,8,0.008599421271885298,0.000199276606241862,0.00860172990607986
reach,3,original,2,random,visual,0.9995429948713931,9,0.0031077159911694387,-0.00025124231974283853,0.003117855254016775
reach,3,original,2,random,proprio,0.9994942166024067,10,0.001949504899847051,-0.00011283454795678457,0.001952767520658891
reach,3,original,2,random,official,0.9996213291258792,9,0.003233275523318663,-0.00026252587636311847,0.0032439159122042292
reach,3,original,3,permute,visual,0.9992878808973362,9,0.003930493533054068,8.41371218363444e-05,0.0039313939599906235
reach,3,original,3,permute,proprio,0.9993982155357282,10,0.0022619854679497607,-3.928917149702708e-05,0.0022623266555059683
reach,3,original,3,permute,official,0.9993617706863409,9,0.0040988813455944744,8.020559946695964e-05,0.004099665989254274
reach,3,original,3,random,visual,0.9989618772388508,9,0.0051776194418787485,0.0003163933753967285,0.005187277499123769
reach,3,original,3,random,proprio,0.9989319881332015,10,0.003038122168351558,0.00039347872138023376,0.003063496664598836
reach,3,original,3,random,official,0.9988919876887521,9,0.005413156810136535,0.0003557483355204264,0.005424833963298148
reach,3,original,4,permute,visual,0.9867668514946729,9,0.019798189000558675,0.0008783427874247234,0.019817663175916163
reach,3,original,4,permute,proprio,0.9839891554350604,10,0.012651160075652692,0.0003026045362154643,0.012654778574322302
reach,3,original,4,permute,official,0.9871696352181691,8,0.020891295651711862,0.0009086132049560547,0.02091104521451416
reach,3,original,4,random,visual,0.9981499790330959,9,0.007486418660951184,-3.6478042602539064e-06,0.007486419549658839
reach,3,original,4,random,proprio,0.9980808675651952,10,0.00450596102660299,0.00014027155935764313,0.0045081438401663385
reach,3,original,4,random,official,0.9980742008244536,9,0.007802374745913248,1.0383923848470052e-05,0.007802381655721495
reach,3,original,5,permute,visual,0.9998072200588091,10,0.0018626833806331701,6.577173868815104e-05,0.0018638442258131654
