task,episode,bank,arm,modality,horizon,numerator_mse_mean,denominator_mse_mean,donor_reconstruction,zero_denominator_candidates,native_spearman,spearman_loss,native_top10_overlap,cost_change_mean,cost_change_rms,centered_cost_change_rms
reach,0,original,native,visual,3,0.040517912780778015,0.040517912780778015,0,0,1,0,10,0,0,0
reach,0,original,native,visual,4,0.1470230994375272,0.1470230994375272,0,0,1,0,10,0,0,0
reach,0,original,native,visual,6,0.16613103894885894,0.16613103894885894,0,0,1,0,10,0,0,0
reach,0,original,native,proprio,3,0.0010070478170892338,0.0010070478170892338,0,0,1,0,10,0,0,0
reach,0,original,native,proprio,4,0.0035842047453587657,0.0035842047453587657,0,0,1,0,10,0,0,0
reach,0,original,native,proprio,6,0.0037783091381756464,0.0037783091381756464,0,0,1,0,10,0,0,0
reach,0,original,native,official,3,0.040618617562486942,0.040618617562486942,0,0,1,0,10,0,0,0
reach,0,original,native,official,4,0.14738151991206308,0.14738151991206308,0,0,1,0,10,0,0,0
reach,0,original,native,official,6,0.16650886986267652,0.16650886986267652,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,visual,3,0.040517912780778015,0.040517912780778015,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,visual,4,0.1470230994375272,0.1470230994375272,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,visual,6,0.16613103894885894,0.16613103894885894,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,proprio,3,0.0010070478170892338,0.0010070478170892338,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,proprio,4,0.0035842047453587657,0.0035842047453587657,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,proprio,6,0.0037783091381756464,0.0037783091381756464,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,official,3,0.040618617562486942,0.040618617562486942,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,official,4,0.14738151991206308,0.14738151991206308,0,0,1,0,10,0,0,0
reach,0,original,zero_capture,official,6,0.16650886986267652,0.16650886986267652,0,0,1,0,10,0,0,0
reach,0,original,coherent_raw_h3,visual,3,0,0.040517912780778015,1,0,0.72406360070667453,0.27593639929332547,6,-0.0039632701873779297,0.08657738070088894,0.086486619418546462
reach,0,original,coherent_raw_h3,visual,4,0,0.1470230994375272,1,0,0.72406360070667453,0.27593639929332547,6,-0.0039632701873779297,0.08657738070088894,0.086486619418546462
reach,0,original,coherent_raw_h3,visual,6,0,0.16613103894885894,1,0,0.72406360070667453,0.27593639929332547,6,-0.0039632701873779297,0.08657738070088894,0.086486619418546462
reach,0,original,coherent_raw_h3,proprio,3,0,0.0010070478170892338,1,0,0.76639518216869074,0.23360481783130926,7,-0.00025392820437749225,0.052170374901712051,0.052169756927286988
reach,0,original,coherent_raw_h3,proprio,4,0,0.0035842047453587657,1,0,0.76639518216869074,0.23360481783130926,7,-0.00025392820437749225,0.052170374901712051,0.052169756927286988
reach,0,original,coherent_raw_h3,proprio,6,0,0.0037783091381756464,1,0,0.76639518216869074,0.23360481783130926,7,-0.00025392820437749225,0.052170374901712051,0.052169756927286988
reach,0,original,coherent_raw_h3,official,3,0,0.040618617562486942,1,0,0.72891921021344686,0.27108078978655314,7,-0.0039886717001597089,0.090849547198554897,0.090761945352944032
reach,0,original,coherent_raw_h3,official,4,0,0.14738151991206308,1,0,0.72891921021344686,0.27108078978655314,7,-0.0039886717001597089,0.090849547198554897,0.090761945352944032
