task,bank,arm,modality,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,horizon
reach,fresh,all_blocks_persistent_donor,proprio,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,visual,reference_spearman,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,visual,reference_top10_overlap,100,100,10.0,10.0,10.000000000000004,
reach,fresh,all_blocks_persistent_donor,visual,winner_changed,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,visual,selected_in_reference_minimum_set,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,visual,excess_reference_cost,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,visual,excess_reference_cost_percent,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,visual,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,visual,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,visual,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,visual,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,official,reference_spearman,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,official,reference_top10_overlap,100,100,10.0,10.0,10.000000000000004,
reach,fresh,coherent_raw_h3,official,winner_changed,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,official,selected_in_reference_minimum_set,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,official,excess_reference_cost,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,official,excess_reference_cost_percent,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,proprio,reference_spearman,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,proprio,reference_top10_overlap,100,100,10.0,10.0,10.000000000000004,
reach,fresh,coherent_raw_h3,proprio,winner_changed,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,proprio,selected_in_reference_minimum_set,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,proprio,excess_reference_cost,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,proprio,excess_reference_cost_percent,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,proprio,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,proprio,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,proprio,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,proprio,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,visual,reference_spearman,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,visual,reference_top10_overlap,100,100,10.0,10.0,10.000000000000004,
reach,fresh,coherent_raw_h3,visual,winner_changed,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,visual,selected_in_reference_minimum_set,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,coherent_raw_h3,visual,excess_reference_cost,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,visual,excess_reference_cost_percent,100,100,0.0,0.0,0.0,
reach,fresh,coherent_raw_h3,visual,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
