task,episode,layer,horizon,head,T,H,W,action_tokens,spatial_distance_patches,temporal_distance_frames,conditioning_mass,visual_mass
reach,0,4,3,1,2,16,16,0,6.616788148880005,0.0012900660440209322,0.0,1.0
reach,0,4,3,2,2,16,16,0,0.9727584193759293,0.4616026242196755,0.0,0.9999999925494194
reach,0,4,3,3,2,16,16,0,7.115804725258087,0.0012523436400981146,0.0,0.9999999925494194
reach,0,4,3,4,2,16,16,0,6.830974578857422,0.0005917236230743583,0.0,1.0
reach,0,4,3,5,2,16,16,0,6.456643617997224,0.0027462148691429177,0.0,0.9999999850988388
reach,0,4,3,6,2,16,16,0,2.3344476521015167,0.38453876227140427,0.0,1.0
reach,0,4,3,7,2,16,16,0,7.760918257839369,0.04311321824314608,0.0,0.9999999925494194
reach,0,4,3,8,2,16,16,0,6.972535073757172,0.004611657539498992,0.0,1.0
reach,0,4,3,9,2,16,16,0,7.323706954287303,0.0013961240516639822,0.0,0.9999999552965164
reach,0,4,3,10,2,16,16,0,6.137785824206261,0.0011327542475183196,0.0,0.9999999850988388
reach,0,4,3,11,2,16,16,0,6.6676095724105835,0.022092870203778148,0.0,1.0
reach,0,4,3,12,2,16,16,0,5.9136636697773906,0.0013672737943131387,0.0,0.9999999925494194
reach,0,4,3,13,2,16,16,0,3.335589975118637,0.4029029980301857,0.0,1.0
reach,0,4,3,14,2,16,16,0,6.839470854695669,0.21471889477013717,0.0,0.9999999925494194
reach,0,4,3,15,2,16,16,0,9.54010808467865,0.0009277282679249765,0.0,1.0
reach,0,5,3,0,2,16,16,0,7.529737945867613,0.04924432224962355,0.0,0.9999999925494194
reach,0,5,3,1,2,16,16,0,4.1836951998426795,0.4010874539775767,0.0,0.9999999850988388
reach,0,5,3,2,2,16,16,0,5.047131852017817,0.0011282702348449488,0.0,0.9999999850988388
reach,0,5,3,3,2,16,16,0,7.14340000706464,0.042531146053456856,0.0,0.9999999925494194
reach,0,5,3,4,2,16,16,0,7.1106805072826225,0.0021981129284666914,0.0,0.9999999850988388
reach,0,5,3,5,2,16,16,0,7.374280860636843,0.012867888860298528,0.0,0.9999999850988388
reach,0,5,3,6,2,16,16,0,7.173785924911499,0.004428492917213589,0.0,1.0
reach,0,5,3,7,2,16,16,0,7.388381710475411,0.0022107607548797242,0.0,0.9999999850988388
reach,0,5,3,8,2,16,16,0,4.926529205788144,0.027468041721493315,0.0,0.9999999925494194
reach,0,5,3,9,2,16,16,0,5.432317039852098,0.15286921006246224,0.0,0.9999999850988388
reach,0,5,3,10,2,16,16,0,5.111014723777771,0.0034876493737101555,0.0,1.0
reach,0,5,3,11,2,16,16,0,7.1714441776275635,0.00320949504384771,0.0,1.0
reach,0,5,3,12,2,16,16,0,7.218991452597018,0.000799092295479717,0.0,0.9999999925494194
reach,0,5,3,13,2,16,16,0,7.271817326545715,0.0003070625534746796,0.0,1.0
reach,0,5,3,14,2,16,16,0,6.0313910695269035,0.014352376796136624,0.0,0.9999999925494194
reach,0,5,3,15,2,16,16,0,6.919258348042208,0.013616909141592004,0.0,0.9999999925494194
reach,0,0,4,0,2,16,16,0,8.075038314424742,0.12749903744085905,0.0,0.9999999925494194
reach,0,0,4,1,2,16,16,0,7.6899575567987375,0.24007259115630827,0.0,0.9999999925494194
reach,0,0,4,2,2,16,16,0,7.024475872516632,0.1480239424854517,0.0,1.0
reach,0,0,4,3,2,16,16,0,7.8948527566705105,0.10549795706196097,0.0,0.9999999925494194
reach,0,0,4,4,2,16,16,0,8.27878958194546,0.05831786707653006,0.0,0.9999999925494194
reach,0,0,4,5,2,16,16,0,7.47394859790802,0.13323103822767735,0.0,1.0
reach,0,0,4,6,2,16,16,0,7.897509097289362,0.2275537679162157,0.0,0.9999999925494194
reach,0,0,4,7,2,16,16,0,8.12689322327743,0.24563998539477575,0.0,0.9999999925494194
reach,0,0,4,8,2,16,16,0,7.259359180927277,0.06477074790745974,0.0,1.0
reach,0,0,4,9,2,16,16,0,7.007495276685769,0.0480029437542181,0.0,0.9999999925494194
reach,0,0,4,10,2,16,16,0,7.5851746263329,0.09954685569484747,0.0,1.0000000149011612
reach,0,0,4,11,2,16,16,0,7.531159755074678,0.20938645831783456,0.0,0.9999999925494194
reach,0,0,4,12,2,16,16,0,7.864819168037319,0.12570491899330108,0.0,0.9999999925494194
