task,episode,arm,predicted_H3_own_minus_native,actual_H3_own_minus_native,preference_reversal,predicted_tie,actual_tie,predicted_preference_sign,actual_preference_sign,reverse_direction_disagreement,non_tied_agreement,either_tie
reach,30,fixed_rank4,0.029994515329599514,-0.014872193336486816,False,False,False,1,-1,True,False,False
reach,30,matched_random_fixed_rank4,0.005685408040881024,-0.04162965267896679,False,False,False,1,-1,True,False,False
reach,31,fixed_rank4,-0.04886549934744844,-0.028537898510694548,False,False,False,-1,-1,False,True,False
reach,31,matched_random_fixed_rank4,-0.0050662543624639955,0.013098681718111127,True,False,False,-1,1,False,False,False
reach-wall,4,fixed_rank4,0.01034706411883235,-0.01985741853714007,False,False,False,1,-1,True,False,False
reach-wall,4,matched_random_fixed_rank4,1.862645593320167e-10,0.0,False,False,True,1,0,False,False,True
reach-wall,5,fixed_rank4,-0.004014330543577582,0.015493154525756836,True,False,False,-1,1,False,False,False
reach-wall,5,matched_random_fixed_rank4,-0.031762932613491834,0.03796829581260708,True,False,False,-1,1,False,False,False
reach-wall,6,fixed_rank4,1.197680830067327e-07,1.3352930545718067e-05,False,False,False,1,1,False,True,False
reach-wall,6,matched_random_fixed_rank4,3.725291186640334e-10,0.0,False,False,True,1,0,False,False,True
reach-wall,7,fixed_rank4,-0.011046621482819319,0.005406062304973425,True,False,False,-1,1,False,False,False
reach-wall,7,matched_random_fixed_rank4,-0.0004252661019563675,-0.011116986721753985,False,False,False,-1,-1,False,True,False
reach-wall,8,fixed_rank4,0.00013043172657489777,-0.007603475451469333,False,False,False,1,-1,True,False,False
reach-wall,8,matched_random_fixed_rank4,-0.0010212678462266922,0.01103499084711057,True,False,False,-1,1,False,False,False
reach-wall,9,fixed_rank4,0.0004325656220316443,-0.015040931105613442,False,False,False,1,-1,True,False,False
reach-wall,9,matched_random_fixed_rank4,-2.397224305727974e-07,0.0,False,False,True,-1,0,False,False,True
reach-wall,10,fixed_rank4,0.026121349073946476,-0.019288125634193687,False,False,False,1,-1,True,False,False
reach-wall,10,matched_random_fixed_rank4,-3.5781413321167577e-07,0.0,False,False,True,-1,0,False,False,True
reach-wall,11,fixed_rank4,1.1920928955078125e-07,0.0,False,False,True,1,0,False,False,True
reach-wall,11,matched_random_fixed_rank4,-0.002312129735946522,-0.010639101266860962,False,False,False,-1,-1,False,True,False
reach-wall,12,fixed_rank4,-2.406537533694575e-07,-3.0994415283203125e-06,False,False,False,-1,-1,False,True,False
reach-wall,12,matched_random_fixed_rank4,-0.01573156416416177,-0.017867276072502047,False,False,False,-1,-1,False,True,False
reach-wall,13,fixed_rank4,0.011217576451599598,0.06061880737543124,False,False,False,1,1,False,True,False
reach-wall,13,matched_random_fixed_rank4,-3.7252889661942845e-10,0.0,False,False,True,-1,0,False,False,True
reach-wall,14,fixed_rank4,-0.06367344073951253,0.024054227769374936,True,False,False,-1,1,False,False,False
reach-wall,14,matched_random_fixed_rank4,-5.587934559514451e-10,0.0,False,False,True,-1,0,False,False,True
reach-wall,15,fixed_rank4,0.07354866219684486,-0.055080953240394415,False,False,False,1,-1,True,False,False
reach-wall,15,matched_random_fixed_rank4,6.010755897456477e-07,0.0,False,False,True,1,0,False,False,True
reach-wall,16,fixed_rank4,0.02978317923843843,0.016851501166820437,False,False,False,1,1,False,True,False
reach-wall,16,matched_random_fixed_rank4,-7.450580152834618e-10,0.0,False,False,True,-1,0,False,False,True
reach-wall,17,fixed_rank4,-0.0184085201472044,-0.04664310514926928,False,False,False,-1,-1,False,True,False
reach-wall,17,matched_random_fixed_rank4,2.3916363689480136e-07,1.1920929132713809e-08,False,False,False,1,1,False,True,False
reach-wall,18,fixed_rank4,-0.003385269641876132,0.018058447539806455,True,False,False,-1,1,False,False,False
reach-wall,18,matched_random_fixed_rank4,-7.450580152834618e-10,0.0,False,False,True,-1,0,False,False,True
reach-wall,19,fixed_rank4,-2.980232505223057e-09,-6.198883056640625e-06,False,False,False,-1,-1,False,True,False
reach-wall,19,matched_random_fixed_rank4,0.0072889119386672085,-0.038609535992145894,False,False,False,1,-1,True,False,False
reach-wall,20,fixed_rank4,0.004197694361209869,-0.025049676001071663,False,False,False,1,-1,True,False,False
reach-wall,20,matched_random_fixed_rank4,2.3879110822022653e-07,1.4901160305669237e-09,False,False,False,1,1,False,True,False
reach-wall,21,fixed_rank4,0.022381510958075612,-0.06479553729295695,False,False,False,1,-1,True,False,False
reach-wall,21,matched_random_fixed_rank4,0.002248144522309481,-0.043931697309016915,False,False,False,1,-1,True,False,False
reach-wall,22,fixed_rank4,-5.587936779960501e-10,0.0,False,False,True,-1,0,False,False,True
reach-wall,22,matched_random_fixed_rank4,5.587934559514451e-10,0.0,False,False,True,1,0,False,False,True
reach-wall,23,fixed_rank4,-0.00033378060907129914,0.003680361807346433,True,False,False,-1,1,False,False,False
reach-wall,23,matched_random_fixed_rank4,3.5874545578629125e-07,-1.4901160305669237e-09,False,False,False,1,-1,True,False,False
reach-wall,24,fixed_rank4,-0.07650860603898768,-0.1317357316613199,False,False,False,-1,-1,False,True,False
reach-wall,24,matched_random_fixed_rank4,0.02724379785358888,-0.03326490223407763,False,False,False,1,-1,True,False,False
reach-wall,25,fixed_rank4,0.03827462121844283,-0.009211172163486214,False,False,False,1,-1,True,False,False
