task,model_arm,plan_arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
reach,fixed_rank4,fixed_rank4,actual_endpoint_mse_visual,28,1.1449293153626579,0.1958810964506342,0.037018047696216784,1.0717807796916792,1.2139798258032115,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,actual_endpoint_mse_proprio,28,0.05847857320415122,0.025458160964742786,0.0048111401964115435,0.049418417533992655,0.06788844086695459,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,actual_endpoint_mse_weighted,28,1.150777172683073,0.19798568839662212,0.03741577818909918,1.0769766216229513,1.2207134228558942,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,predicted_goal_cost_visual,28,1.664673468896321,0.338873013629402,0.0640409800067428,1.544142818876675,1.7910078697970935,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,predicted_goal_cost_proprio,28,0.03107086954904454,0.018518978704005637,0.003499758013264296,0.024783563627196206,0.03806352642464584,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,predicted_goal_cost_weighted,28,1.6677805558512253,0.34021388919292045,0.06429438166961089,1.5468967206355384,1.7945337344997097,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,actual_goal_cost_visual,28,2.200177435364042,0.29922010912798397,0.05654728543016096,2.089811795737062,2.306703604544912,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,actual_goal_cost_proprio,28,0.15317481463508947,0.04303101434859395,0.008132097330659404,0.13761320377566985,0.16900776846866516,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,actual_goal_cost_weighted,28,2.2154949168275513,0.3028236921626246,0.05722829861147743,2.1036685441913345,2.323696368014706,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,predicted_minus_actual_goal_cost_visual,28,-0.5355039664677211,0.14402424986992263,0.027218024851317284,-0.5860452155981745,-0.48229795630489075,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,predicted_minus_actual_goal_cost_proprio,28,-0.12210394508604493,0.03733376779065131,0.007055418934221192,-0.13602908117297505,-0.10881795645857761,,,,descriptive_only
reach,fixed_rank4,fixed_rank4,predicted_minus_actual_goal_cost_weighted,28,-0.5477143609763256,0.14456769463274327,0.027320726258011848,-0.598520779477133,-0.4942781663692691,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,actual_endpoint_mse_visual,28,1.1548418636832918,0.21583361063573098,0.0407887184508064,1.073918284901551,1.2300710493432623,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,actual_endpoint_mse_proprio,28,0.059500062838196754,0.026752372016898687,0.0050557230955569545,0.05006374897036169,0.06944651051723798,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,actual_endpoint_mse_weighted,28,1.1607918699671114,0.21801882657432575,0.04120168544612757,1.0790139461415154,1.2366411417674474,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,predicted_goal_cost_visual,28,1.664987427847726,0.335095842159229,0.06332716169464808,1.545792867881911,1.7897849601294311,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,predicted_goal_cost_proprio,28,0.031899582561371584,0.01889985971609501,0.003571737758771087,0.025445241481897283,0.03898346291888238,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,predicted_goal_cost_weighted,28,1.6681773861038633,0.3363786229811538,0.06356958448332066,1.5484788603767186,1.7934808063329128,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,actual_goal_cost_visual,28,2.2095989201750075,0.28380156184986316,0.053633453881889566,2.105283450654574,2.311660858775888,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,actual_goal_cost_proprio,28,0.15399217339498655,0.04166052966016823,0.007873100069145381,0.1389889738588993,0.1693311030909951,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,actual_goal_cost_weighted,28,2.224998137514506,0.287334544001779,0.0543011247504895,2.1193497850227034,2.328461676704298,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,predicted_minus_actual_goal_cost_visual,28,-0.5446114923272815,0.14978211153706228,0.028306158426657516,-0.5973831247006143,-0.48963484561869075,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,predicted_minus_actual_goal_cost_proprio,28,-0.12209259083361498,0.037044347476726844,0.0070007236360058785,-0.13578887401797277,-0.10892249186124123,,,,descriptive_only
reach,fixed_rank4,matched_random_fixed_rank4,predicted_minus_actual_goal_cost_weighted,28,-0.5568207514106429,0.15036425092047614,0.028416172429292487,-0.6098219498145461,-0.5017871744473398,,,,descriptive_only
reach,fixed_rank4,native,actual_endpoint_mse_visual,28,1.1442947004522597,0.20297945974925424,0.03835951226791226,1.0698994871228933,1.2173083935465132,,,,descriptive_only
reach,fixed_rank4,native,actual_endpoint_mse_proprio,28,0.05617777956649661,0.02363185039031653,0.004465999939504444,0.047717183231309586,0.06476637673664039,,,,descriptive_only
reach,fixed_rank4,native,actual_endpoint_mse_weighted,28,1.1499124784089092,0.205011367353996,0.038743506711427095,1.074871099055412,1.2236462681318099,,,,descriptive_only
reach,fixed_rank4,native,predicted_goal_cost_visual,28,1.6621877891676766,0.3356678981791036,0.06343527012068992,1.5431222945451735,1.7869806412075246,,,,descriptive_only
reach,fixed_rank4,native,predicted_goal_cost_proprio,28,0.03136487338425858,0.01741041241161884,0.0032902586760154115,0.025434076812650475,0.037984864445336684,,,,descriptive_only
reach,fixed_rank4,native,predicted_goal_cost_weighted,28,1.6653242765061023,0.33697360007088645,0.06368202458440735,1.5457128450673605,1.7904743969711538,,,,descriptive_only
reach,fixed_rank4,native,actual_goal_cost_visual,28,2.204130130154746,0.29687784329064504,0.056104638793732294,2.096735211036035,2.311395503154823,,,,descriptive_only
reach,fixed_rank4,native,actual_goal_cost_proprio,28,0.1509401902024235,0.03876039317341978,0.007325025789711028,0.13684974572222147,0.16510396053615425,,,,descriptive_only
reach,fixed_rank4,native,actual_goal_cost_weighted,28,2.2192241491749884,0.30016441999994886,0.0567257434107005,2.1107461077799754,2.3279055295838043,,,,descriptive_only
reach,fixed_rank4,native,predicted_minus_actual_goal_cost_visual,28,-0.5419423409870693,0.1500846028052855,0.028363323903049457,-0.5954919188150337,-0.48747624446238785,,,,descriptive_only
reach,fixed_rank4,native,predicted_minus_actual_goal_cost_proprio,28,-0.11957531681816493,0.0338257003085343,0.006392456495641611,-0.13196794078519036,-0.10739127536570388,,,,descriptive_only
reach,fixed_rank4,native,predicted_minus_actual_goal_cost_weighted,28,-0.5538998726688857,0.1513129729786565,0.02859546404566867,-0.6078815713340215,-0.4988858040832981,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,actual_endpoint_mse_visual,28,1.1475066308464323,0.19638586014794254,0.03711343906864045,1.0741808124950953,1.2168149097157375,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,actual_endpoint_mse_proprio,28,0.05869599312011685,0.025499919396347912,0.004819031798209205,0.04961714853333043,0.06814249723684042,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,actual_endpoint_mse_weighted,28,1.1533762301584438,0.19849211915960338,0.037511484607322114,1.0793808150700557,1.2235175503314737,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,predicted_goal_cost_visual,28,1.6629357423101152,0.339235999282105,0.0641095778472097,1.5423222720623018,1.7893237294895308,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,predicted_goal_cost_proprio,28,0.030955583256270205,0.018507559113321352,0.0034975999134768125,0.02468102081579023,0.03794163532189224,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,predicted_goal_cost_weighted,28,1.6660313006357423,0.34057902764657794,0.06436338635121693,1.5449566823849452,1.7929339324067612,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,actual_goal_cost_visual,28,2.200177435364042,0.29922010912798397,0.05654728543016096,2.089811795737062,2.306703604544912,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,actual_goal_cost_proprio,28,0.15317481463508947,0.04303101434859395,0.008132097330659404,0.13761320377566985,0.16900776846866516,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,actual_goal_cost_weighted,28,2.2154949168275513,0.3028236921626246,0.05722829861147743,2.1036685441913345,2.323696368014706,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,predicted_minus_actual_goal_cost_visual,28,-0.5372416930539268,0.144266496728433,0.02726380520442479,-0.5878258250653744,-0.4840004479246481,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,predicted_minus_actual_goal_cost_proprio,28,-0.12221923137881927,0.03732243830479115,0.0070532778626448914,-0.13613972962734155,-0.10893694507789667,,,,descriptive_only
reach,matched_random_fixed_rank4,fixed_rank4,predicted_minus_actual_goal_cost_weighted,28,-0.5494636161918087,0.1448066331139855,0.02736588138658402,-0.6003190351651781,-0.49591426578150793,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,actual_endpoint_mse_visual,28,1.1574102405990874,0.21640149524722177,0.04089603855476248,1.076264228033168,1.23275118502123,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,actual_endpoint_mse_proprio,28,0.05971122453255313,0.026799486285111074,0.0050646268553350094,0.05025627982935735,0.06967263416819539,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,actual_endpoint_mse_weighted,28,1.1633813630523426,0.218588436253362,0.04130933155720651,1.0813812198607982,1.2393661596787362,,,,descriptive_only
reach,matched_random_fixed_rank4,matched_random_fixed_rank4,predicted_goal_cost_visual,28,1.6633335607392448,0.33545791101211786,0.06339558627623568,1.5439932192010535,1.7882059113255566,,,,descriptive_only
