task,episode,bank,site,comparison,spearman,elite_overlap,winner_agreement,winner_mismatch,left_winner,right_winner,left_minimum_ties,right_minimum_ties,minimum_sets_disjoint,left_cutoff_ties,right_cutoff_ties,left_cutoff_ambiguous,right_cutoff_ambiguous
reach,1,original,B0,h3_vs_counterfactual,0.76916187957643978,4,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B0,persistent_vs_counterfactual,0.80446493849931666,4,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B0,persistent_vs_h3,0.9954043933821487,8,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B1,h3_vs_counterfactual,0.81316147957199525,5,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B1,persistent_vs_counterfactual,0.93830998122201359,7,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B1,persistent_vs_h3,0.94830964788497651,7,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B2,h3_vs_counterfactual,0.77397571084123162,5,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B2,persistent_vs_counterfactual,0.79505416726852518,5,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B2,persistent_vs_h3,0.99850087223191364,10,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B3,h3_vs_counterfactual,0.75531817020189118,4,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B3,persistent_vs_counterfactual,0.76631829242547145,4,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B3,persistent_vs_h3,0.99955332837031519,8,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B4,h3_vs_counterfactual,0.76455116167957426,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B4,persistent_vs_counterfactual,0.76570628562539589,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B4,persistent_vs_h3,0.99995644396048844,10,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B5,h3_vs_counterfactual,0.75116656851742802,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B5,persistent_vs_counterfactual,0.75107767864087382,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B5,persistent_vs_h3,0.99999466660740677,10,1,0,205,205,1,1,0,1,1,False,False
reach,1,fresh,reference,native_vs_counterfactual,0.68142934921499132,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,all_blocks,h3_vs_counterfactual,0.85650640562672919,7,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,all_blocks,persistent_vs_counterfactual,1,10,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,all_blocks,persistent_vs_h3,0.85650640562672919,7,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B0,h3_vs_counterfactual,0.71013455705063389,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B0,persistent_vs_counterfactual,0.76339514883498705,6,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B0,persistent_vs_h3,0.99231058122868032,9,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B1,h3_vs_counterfactual,0.76586273180813125,6,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B1,persistent_vs_counterfactual,0.9355797286636518,7,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B1,persistent_vs_h3,0.91742397137745979,8,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B2,h3_vs_counterfactual,0.71766664074045272,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B2,persistent_vs_counterfactual,0.74342026022511365,6,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B2,persistent_vs_h3,0.99786530961455122,9,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B3,h3_vs_counterfactual,0.69091523239147101,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B3,persistent_vs_counterfactual,0.7044860498449983,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B3,persistent_vs_h3,0.99953155035055941,10,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B4,h3_vs_counterfactual,0.70500738897098858,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B4,persistent_vs_counterfactual,0.70781364237380417,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B4,persistent_vs_h3,0.99994177713085697,10,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B5,h3_vs_counterfactual,0.68496716630184784,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B5,persistent_vs_counterfactual,0.6848898321092457,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B5,persistent_vs_h3,0.99999288880987569,10,1,0,149,149,1,1,0,1,1,False,False
reach,2,original,reference,native_vs_counterfactual,0.7551986133179257,4,0,1,184,78,1,1,1,1,1,False,False
reach,2,original,all_blocks,h3_vs_counterfactual,0.88185824286936521,6,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,all_blocks,persistent_vs_counterfactual,1,10,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,all_blocks,persistent_vs_h3,0.88185824286936521,6,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B0,h3_vs_counterfactual,0.76978010866787405,4,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B0,persistent_vs_counterfactual,0.7901261125123612,5,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B0,persistent_vs_h3,0.99672929699218882,9,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B1,h3_vs_counterfactual,0.80607517861309574,5,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B1,persistent_vs_counterfactual,0.93441527128079205,8,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B1,persistent_vs_h3,0.94050156112845695,6,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B2,h3_vs_counterfactual,0.77302947810531231,5,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B2,persistent_vs_counterfactual,0.79519905776730848,5,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B2,persistent_vs_h3,0.99844976055289503,10,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B3,h3_vs_counterfactual,0.75346570517450195,4,0,1,184,78,1,1,1,1,1,False,False
reach,2,original,B3,persistent_vs_counterfactual,0.7627302525583618,5,0,1,184,78,1,1,1,1,1,False,False
reach,2,original,B3,persistent_vs_h3,0.99953199479994226,9,1,0,184,184,1,1,0,1,1,False,False
reach,2,original,B4,h3_vs_counterfactual,0.80448893876598626,4,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B4,persistent_vs_counterfactual,0.80735785953177253,4,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B4,persistent_vs_h3,0.9998999988888766,10,1,0,78,78,1,1,0,1,1,False,False
reach,2,original,B5,h3_vs_counterfactual,0.76075600840009339,4,0,1,184,78,1,1,1,1,1,False,False
reach,2,original,B5,persistent_vs_counterfactual,0.76051956132845921,4,0,1,184,78,1,1,1,1,1,False,False
reach,2,original,B5,persistent_vs_h3,0.99999466660740677,10,1,0,184,184,1,1,0,1,1,False,False
reach,2,fresh,reference,native_vs_counterfactual,0.72126268069645216,2,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,all_blocks,h3_vs_counterfactual,0.84526005844509389,5,0,1,216,213,1,1,1,1,1,False,False
reach,2,fresh,all_blocks,persistent_vs_counterfactual,1,10,1,0,213,213,1,1,0,1,1,False,False
reach,2,fresh,all_blocks,persistent_vs_h3,0.84526005844509389,5,0,1,213,216,1,1,1,1,1,False,False
reach,2,fresh,B0,h3_vs_counterfactual,0.73412860142890479,3,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B0,persistent_vs_counterfactual,0.75575417504638942,4,0,1,15,213,1,1,1,1,1,False,False
reach,2,fresh,B0,persistent_vs_h3,0.99680929788108752,8,0,1,15,59,1,1,1,1,1,False,False
reach,2,fresh,B1,h3_vs_counterfactual,0.76657473971933021,4,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B1,persistent_vs_counterfactual,0.92518005755619503,6,0,1,216,213,1,1,1,1,1,False,False
reach,2,fresh,B1,persistent_vs_h3,0.92423604706718965,7,0,1,216,59,1,1,1,1,1,False,False
reach,2,fresh,B2,h3_vs_counterfactual,0.73647973866376293,3,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B2,persistent_vs_counterfactual,0.7608840098223314,4,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B2,persistent_vs_h3,0.99850087223191364,9,1,0,59,59,1,1,0,1,1,False,False
reach,2,fresh,B3,h3_vs_counterfactual,0.71922132468138533,2,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B3,persistent_vs_counterfactual,0.72872454138379317,2,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B3,persistent_vs_h3,0.99959999555550616,10,1,0,59,59,1,1,0,1,1,False,False
reach,2,fresh,B4,h3_vs_counterfactual,0.76836706723042592,3,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B4,persistent_vs_counterfactual,0.77140768230758117,3,0,1,15,213,1,1,1,1,1,False,False
reach,2,fresh,B4,persistent_vs_h3,0.9998963321699561,10,0,1,15,59,1,1,1,1,1,False,False
reach,2,fresh,B5,h3_vs_counterfactual,0.72723874709718994,2,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B5,persistent_vs_counterfactual,0.72720852453916152,2,0,1,59,213,1,1,1,1,1,False,False
reach,2,fresh,B5,persistent_vs_h3,0.99999155546172735,10,1,0,59,59,1,1,0,1,1,False,False
reach,3,original,reference,native_vs_counterfactual,0.65739397104412267,2,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,all_blocks,h3_vs_counterfactual,0.83656085067611863,6,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,all_blocks,persistent_vs_counterfactual,1,10,1,0,111,111,1,1,0,1,1,False,False
reach,3,original,all_blocks,persistent_vs_h3,0.83656085067611863,6,0,1,111,78,1,1,1,1,1,False,False
reach,3,original,B0,h3_vs_counterfactual,0.68264269602995586,2,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B0,persistent_vs_counterfactual,0.72672229691441015,3,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B0,persistent_vs_h3,0.99528705874509715,9,1,0,78,78,1,1,0,1,1,False,False
reach,3,original,B1,h3_vs_counterfactual,0.72507027855865069,4,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B1,persistent_vs_counterfactual,0.92293469927443639,6,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B1,persistent_vs_h3,0.91299458882876472,7,1,0,78,78,1,1,0,1,1,False,False
reach,3,original,B2,h3_vs_counterfactual,0.68123601373348597,3,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B2,persistent_vs_counterfactual,0.71654529494772168,3,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B2,persistent_vs_h3,0.99785464282936476,10,1,0,78,78,1,1,0,1,1,False,False
reach,3,original,B3,h3_vs_counterfactual,0.65968021866909632,2,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B3,persistent_vs_counterfactual,0.67356259513994599,2,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B3,persistent_vs_h3,0.99949554995055501,10,1,0,78,78,1,1,0,1,1,False,False
reach,3,original,B4,h3_vs_counterfactual,0.73158546206068953,3,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B4,persistent_vs_counterfactual,0.73593173257480637,3,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B4,persistent_vs_h3,0.99987777641973796,10,1,0,78,78,1,1,0,1,1,False,False
reach,3,original,B5,h3_vs_counterfactual,0.66222913587928756,3,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B5,persistent_vs_counterfactual,0.6621166901854465,3,0,1,78,111,1,1,1,1,1,False,False
reach,3,original,B5,persistent_vs_h3,0.99999333325925843,10,1,0,78,78,1,1,0,1,1,False,False
reach,3,fresh,reference,native_vs_counterfactual,0.71816042400471114,6,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,all_blocks,h3_vs_counterfactual,0.84150135001500015,8,1,0,112,112,1,1,0,1,1,False,False
reach,3,fresh,all_blocks,persistent_vs_counterfactual,1,10,1,0,112,112,1,1,0,1,1,False,False
reach,3,fresh,all_blocks,persistent_vs_h3,0.84150135001500015,8,1,0,112,112,1,1,0,1,1,False,False
reach,3,fresh,B0,h3_vs_counterfactual,0.734244602717808,6,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B0,persistent_vs_counterfactual,0.77053700596673291,8,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B0,persistent_vs_h3,0.99471727463638482,8,1,0,113,113,1,1,0,1,1,False,False
reach,3,fresh,B1,h3_vs_counterfactual,0.76669549291609196,7,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B1,persistent_vs_counterfactual,0.92919832442582695,9,1,0,112,112,1,1,0,1,1,False,False
reach,3,fresh,B1,persistent_vs_h3,0.91924120481797089,8,0,1,112,113,1,1,1,1,1,False,False
reach,3,fresh,B2,h3_vs_counterfactual,0.73581847974072168,6,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B2,persistent_vs_counterfactual,0.75987644307158964,7,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B2,persistent_vs_h3,0.99852676124477124,9,1,0,113,113,1,1,0,1,1,False,False
reach,3,fresh,B3,h3_vs_counterfactual,0.72285603173368596,6,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B3,persistent_vs_counterfactual,0.73578906432293689,6,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B3,persistent_vs_h3,0.99951866131845912,10,1,0,113,113,1,1,0,1,1,False,False
reach,3,fresh,B4,h3_vs_counterfactual,0.75887109856776191,7,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B4,persistent_vs_counterfactual,0.76064267380748674,7,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B4,persistent_vs_h3,0.99990399893332149,10,1,0,113,113,1,1,0,1,1,False,False
reach,3,fresh,B5,h3_vs_counterfactual,0.72145201613351262,6,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B5,persistent_vs_counterfactual,0.72162757363970709,6,0,1,113,112,1,1,1,1,1,False,False
reach,3,fresh,B5,persistent_vs_h3,0.99999155546172735,10,1,0,113,113,1,1,0,1,1,False,False
reach,4,original,reference,native_vs_counterfactual,0.74010644562717365,5,0,1,19,268,1,1,1,1,1,False,False
reach,4,original,all_blocks,h3_vs_counterfactual,0.89220502450027217,7,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,all_blocks,persistent_vs_counterfactual,1,10,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,all_blocks,persistent_vs_h3,0.89220502450027217,7,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,B0,h3_vs_counterfactual,0.75923732485916506,5,0,1,19,268,1,1,1,1,1,False,False
reach,4,original,B0,persistent_vs_counterfactual,0.78746697185524284,5,0,1,19,268,1,1,1,1,1,False,False
reach,4,original,B0,persistent_vs_h3,0.99685596506627849,10,1,0,19,19,1,1,0,1,1,False,False
reach,4,original,B1,h3_vs_counterfactual,0.80376004177824201,5,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,B1,persistent_vs_counterfactual,0.93023522483583154,6,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,B1,persistent_vs_h3,0.94798253313925707,7,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,B2,h3_vs_counterfactual,0.76874276380848672,5,0,1,19,268,1,1,1,1,1,False,False
reach,4,original,B2,persistent_vs_counterfactual,0.79012522361359572,5,0,1,19,268,1,1,1,1,1,False,False
reach,4,original,B2,persistent_vs_h3,0.99863954043933822,10,1,0,19,19,1,1,0,1,1,False,False
reach,4,original,B3,h3_vs_counterfactual,0.73711930132557024,5,0,1,19,268,1,1,1,1,1,False,False
reach,4,original,B3,persistent_vs_counterfactual,0.74438427093634374,5,0,1,19,268,1,1,1,1,1,False,False
reach,4,original,B3,persistent_vs_h3,0.99973999711107897,10,1,0,19,19,1,1,0,1,1,False,False
reach,4,original,B4,h3_vs_counterfactual,0.8059818442427138,5,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,B4,persistent_vs_counterfactual,0.8086623184702052,5,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,B4,persistent_vs_h3,0.99992088800986678,10,1,0,268,268,1,1,0,1,1,False,False
reach,4,original,B5,h3_vs_counterfactual,0.74409848998322203,5,0,1,19,268,1,1,1,1,1,False,False
reach,4,original,B5,persistent_vs_counterfactual,0.74384604273380817,5,0,1,19,268,1,1,1,1,1,False,False
