task,episode,arm,iteration,proposal_mean_delta_l2,proposal_mean_delta_rms,proposal_std_delta_l2,proposal_std_delta_rms,native_proposal_entropy_nats,arm_proposal_entropy_nats,proposal_entropy_delta_nats,native_best_runnerup_margin,arm_best_runnerup_margin,best_runnerup_margin_delta,native_elite_boundary_margin,arm_elite_boundary_margin,elite_boundary_margin_delta,same_candidate_actions_verified,shared_population_elite_overlap_count,shared_population_cost_delta_mean,shared_population_cost_delta_rms,cohort,native_comparator
reach,4,matched_random_fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.07408356666564941,0.07396936416625977,-0.00011420249938964844,0.0011756420135498047,0.00045478343963623047,-0.0007208585739135742,True,9.0,0.0005514693260192872,0.0006526428225343306,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,1,1.48708542658331,0.1357517055128119,1.1548793991497979,0.10542558301872614,166.22942115853658,165.35859819378305,-0.870822964753529,0.1731811761856079,0.15838420391082764,-0.014796972274780273,0.007417201995849609,0.001613616943359375,-0.005803585052490234,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,2,2.7506174877446874,0.25109587418432583,1.8813681858042413,0.17174463238959228,159.08938928906565,155.08010593461736,-4.009283354448286,0.013236165046691895,0.01637446880340576,0.003138303756713867,0.0015006065368652344,0.002467513084411621,0.0009669065475463867,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,3,3.8810254218731424,0.35428752830182064,2.361082665062078,0.21553637263148584,147.89598973740175,141.6098798602028,-6.286109877198953,0.007713019847869873,0.006254255771636963,-0.0014587640762329102,0.002034425735473633,0.001906752586364746,-0.00012767314910888672,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,4,5.711050488332818,0.5213451965851297,3.3564427815920608,0.30639990407555956,138.92987606184852,128.86323801268372,-10.066638049164794,0.039703965187072754,0.05176013708114624,0.012056171894073486,0.0114554762840271,0.013525784015655518,0.002070307731628418,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,5,5.832308290970009,0.5324144688814464,3.7335583908252805,0.3408256917362825,123.85737185325468,116.10534022131982,-7.752031631934855,0.017230838537216187,0.0060572028160095215,-0.011173635721206665,0.0023466944694519043,0.01607614755630493,0.013729453086853027,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,6,6.278047109103246,0.5731046697893243,3.5576263693947183,0.32476536894878233,114.66174464333946,109.15292331235537,-5.508821330984091,0.001679837703704834,0.00278627872467041,0.0011064410209655762,0.0022056400775909424,0.00022834539413452148,-0.001977294683456421,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,7,7.201706612908324,0.6574228607373357,4.158425829638988,0.37961060510090144,106.26001648380603,97.23934185982604,-9.020674623979986,0.002416253089904785,0.01582157611846924,0.013405323028564453,0.0004519820213317871,0.001038670539855957,0.0005866885185241699,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,8,8.768355389024956,0.8004376731318258,4.295231326236033,0.39209918118038445,101.95689199163098,90.59527596721057,-11.361616024420414,0.0035101473331451416,0.007232844829559326,0.0037226974964141846,0.0012150704860687256,0.0008343160152435303,-0.0003807544708251953,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,9,9.870270468028693,0.9010282973360648,4.228708620651054,0.3860265167745231,86.11687624249606,79.91630085655808,-6.200575385937981,0.00225067138671875,0.0016280412673950195,-0.0006226301193237305,0.00027629733085632324,0.0007990896701812744,0.0005227923393249512,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,10,10.513427412855108,0.9597402251189869,4.554701521202578,0.41578546097762437,70.9543867125073,72.00962642980511,1.055239717297809,0.0009967684745788574,0.0011552870273590088,0.00015851855278015137,0.0004042685031890869,0.0005061328411102295,0.00010186433792114258,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,11,12.473327007119623,1.1386537614896366,4.3320126104453704,0.3954568376896282,54.64438687114487,63.567993193460154,8.923606322315287,0.0010018646717071533,0.005452960729598999,0.004451096057891846,0.0006999075412750244,0.0017569661140441895,0.001057058572769165,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,12,14.320654768479875,1.307290942490058,4.193367154633737,0.3828002970823587,46.301122519444505,53.77582855114011,7.474706031695604,0.0010460913181304932,0.005469650030136108,0.004423558712005615,0.00011345744132995605,2.300739288330078e-05,-9.045004844665527e-05,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,13,15.208498108213949,1.388339579940571,4.2197764436182785,0.38521112429977633,31.663955017964167,36.62791851638466,4.963963498420494,0.0005132555961608887,0.001909404993057251,0.0013961493968963623,4.2825937271118164e-05,2.5331974029541016e-06,-4.029273986816406e-05,,,,,extension56,same_receiving_gpu
reach,4,matched_random_fixed_rank4,14,15.820123895752609,1.4441731200383685,4.033997088075405,0.3682518670081756,12.707103375402115,22.581423148350336,9.87431977294822,0.00047132372856140137,0.0018092691898345947,0.0013379454612731934,0.00011816620826721191,4.073977470397949e-05,-7.742643356323242e-05,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.045953989028930664,0.045648932456970215,-0.0003050565719604492,0.017545700073242188,0.017241477966308594,-0.00030422210693359375,True,10.0,0.0005422373612721761,0.0006382953299314761,extension56,same_receiving_gpu
reach,5,fixed_rank4,1,0.0,0.0,0.0,0.0,167.51646107673335,167.51646107673335,0.0,0.03142118453979492,0.03168344497680664,0.00026226043701171875,0.026633858680725098,0.025147438049316406,-0.0014864206314086914,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,2,0.0,0.0,0.0,0.0,163.3146868476236,163.3146868476236,0.0,0.011502981185913086,0.013608336448669434,0.0021053552627563477,0.013704299926757812,0.015439748764038086,0.0017354488372802734,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,3,0.0,0.0,0.0,0.0,156.43001746898847,156.43001746898847,0.0,0.08197164535522461,0.0821276307106018,0.00015598535537719727,0.0033074617385864258,0.004179477691650391,0.0008720159530639648,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,4,0.0,0.0,0.0,0.0,142.2855947646787,142.2855947646787,0.0,0.0043621063232421875,0.003688037395477295,-0.0006740689277648926,0.004284322261810303,0.0036681294441223145,-0.0006161928176879883,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,5,0.0,0.0,0.0,0.0,132.70679980932346,132.70679980932346,0.0,0.001394033432006836,0.001433730125427246,3.9696693420410156e-05,0.004228413105010986,0.003517746925354004,-0.0007106661796569824,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,6,0.0,0.0,0.0,0.0,127.04484011354847,127.04484011354847,0.0,0.0006911754608154297,0.00025200843811035156,-0.0004391670227050781,0.004041731357574463,0.005027592182159424,0.000985860824584961,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,7,9.784473373268896e-07,8.931961299746734e-08,6.539555864778665e-07,5.969770438674132e-08,119.7531894305059,119.7531892497756,-1.807302965062263e-07,0.006767451763153076,0.0061948299407958984,-0.0005726218223571777,0.0010835528373718262,0.0010352730751037598,-4.8279762268066406e-05,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,8,1.2474049873138957e-06,1.1387197498271104e-07,1.0689441224611375e-06,9.758080143075494e-08,108.02310410988598,108.02310406092118,-4.896479310900759e-08,0.004255890846252441,0.004168093204498291,-8.779764175415039e-05,0.004058837890625,0.004183351993560791,0.00012451410293579102,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,9,1.7798663590992525e-06,1.6247882570387518e-07,1.0965523456818082e-06,1.0010107586918816e-07,102.44665929974988,102.44665831352992,-9.862199590315868e-07,0.0015519261360168457,0.0011100172996520996,-0.0004419088363647461,0.00044268369674682617,0.0005043745040893555,6.16908073425293e-05,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,10,2.1511672619627037e-06,1.9637380572393292e-07,1.2736843256357073e-06,1.1627093938190541e-07,84.26870160189839,84.2687014770471,-1.2485128308981075e-07,0.008591055870056152,0.008896291255950928,0.0003052353858947754,0.0017426609992980957,0.0020797252655029297,0.000337064266204834,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,11,1.915194169410611e-06,1.748325080980937e-07,1.4991458723341474e-06,1.3685266854469542e-07,68.72505287097246,68.72505285684102,-1.4131444459053455e-08,0.0003394484519958496,8.636713027954102e-05,-0.0002530813217163086,0.0020061731338500977,0.001965761184692383,-4.0411949157714844e-05,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,12,2.2791227402914744e-06,2.0805448936343814e-07,1.2875338391696198e-06,1.1753522121073823e-07,52.19273872230673,52.19273892274192,2.0043518844659047e-07,0.002222597599029541,0.002111375331878662,-0.0001112222671508789,4.935264587402344e-05,4.410743713378906e-05,-5.245208740234375e-06,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,13,2.5886988406897926e-06,2.363147916055453e-07,1.2104442173787386e-06,1.1049793374333699e-07,34.734581838327074,34.734578127578615,-3.7107484587295403e-06,0.0031346678733825684,0.0029352307319641113,-0.00019943714141845703,1.0728836059570312e-05,1.3113021850585938e-05,2.384185791015625e-06,,,,,extension56,same_receiving_gpu
reach,5,fixed_rank4,14,0.7948270830690617,0.07255745378549294,0.6811404893099338,0.0621793351375262,27.560851408513912,28.047167898575594,0.4863164900616823,0.0004668235778808594,0.00041669607162475586,-5.0127506256103516e-05,0.00035381317138671875,0.0020213723182678223,0.0016675591468811035,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.045953989028930664,0.046187520027160645,0.00023353099822998047,0.017545700073242188,0.017418861389160156,-0.00012683868408203125,True,10.0,0.0004269476731618245,0.0005118285837198606,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,1,0.0,0.0,0.0,0.0,167.51646107673335,167.51646107673335,0.0,0.03142118453979492,0.031362175941467285,-5.900859832763672e-05,0.026633858680725098,0.026350975036621094,-0.0002828836441040039,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,2,0.0,0.0,0.0,0.0,163.3146868476236,163.3146868476236,0.0,0.011502981185913086,0.011689305305480957,0.0001863241195678711,0.013704299926757812,0.014653801918029785,0.0009495019912719727,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,3,0.0,0.0,0.0,0.0,156.43001746898847,156.43001746898847,0.0,0.08197164535522461,0.08221405744552612,0.00024241209030151367,0.0033074617385864258,0.003596186637878418,0.0002887248992919922,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,4,0.0,0.0,0.0,0.0,142.2855947646787,142.2855947646787,0.0,0.0043621063232421875,0.004403650760650635,4.1544437408447266e-05,0.004284322261810303,0.004232823848724365,-5.14984130859375e-05,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,5,0.0,0.0,0.0,0.0,132.70679980932346,132.70679980932346,0.0,0.001394033432006836,0.0011979937553405762,-0.00019603967666625977,0.004228413105010986,0.003998994827270508,-0.00022941827774047852,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,6,0.0,0.0,0.0,0.0,127.04484011354847,127.04484011354847,0.0,0.0006911754608154297,0.0006420016288757324,-4.9173831939697266e-05,0.004041731357574463,0.004239320755004883,0.00019758939743041992,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,7,0.0,0.0,0.0,0.0,119.7531894305059,119.7531894305059,0.0,0.006767451763153076,0.006845414638519287,7.796287536621094e-05,0.0010835528373718262,0.0010175704956054688,-6.598234176635742e-05,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,8,0.0,0.0,0.0,0.0,108.02310410988598,108.02310410988598,0.0,0.004255890846252441,0.0043441057205200195,8.821487426757812e-05,0.004058837890625,0.004193723201751709,0.00013488531112670898,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,9,0.0,0.0,0.0,0.0,102.44665929974988,102.44665929974988,0.0,0.0015519261360168457,0.0014022588729858398,-0.00014966726303100586,0.00044268369674682617,0.000402987003326416,-3.9696693420410156e-05,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,10,0.0,0.0,0.0,0.0,84.26870160189839,84.26870160189839,0.0,0.008591055870056152,0.008664250373840332,7.319450378417969e-05,0.0017426609992980957,0.00193101167678833,0.00018835067749023438,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,11,0.0,0.0,0.0,0.0,68.72505287097246,68.72505287097246,0.0,0.0003394484519958496,0.00037235021591186523,3.2901763916015625e-05,0.0020061731338500977,0.0019406676292419434,-6.55055046081543e-05,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,12,5.983238373075083e-07,5.4619243731062234e-08,4.3604996359920256e-07,3.980573354376497e-08,52.19273872230673,52.19273850536187,-2.1694485496936977e-07,0.002222597599029541,0.002142190933227539,-8.040666580200195e-05,4.935264587402344e-05,0.00010192394256591797,5.257129669189453e-05,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,13,9.530920620529284e-07,8.700500362758373e-08,4.2968603537369415e-07,3.9224789036522503e-08,34.734581838327074,34.73458266103995,8.227128773796721e-07,0.0031346678733825684,0.0030504465103149414,-8.422136306762695e-05,1.0728836059570312e-05,3.4570693969726562e-06,-7.271766662597656e-06,,,,,extension56,same_receiving_gpu
reach,5,matched_random_fixed_rank4,14,0.7948269422793977,0.07255744093321378,0.6811404593003582,0.06217933239803928,27.560851408513912,28.047176354224984,0.4863249457110719,0.0004668235778808594,0.00023543834686279297,-0.0002313852310180664,0.00035381317138671875,0.001674652099609375,0.0013208389282226562,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.06014358997344971,0.05972743034362793,-0.00041615962982177734,0.037203192710876465,0.03693056106567383,-0.0002726316452026367,True,10.0,0.0008173819382985433,0.0009102577662763474,extension56,same_receiving_gpu
reach,6,fixed_rank4,1,0.0,0.0,0.0,0.0,164.86298892905006,164.86298892905006,0.0,0.07534337043762207,0.07668381929397583,0.0013404488563537598,0.02913224697113037,0.026850640773773193,-0.0022816061973571777,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,2,0.0,0.0,0.0,0.0,157.98209789615316,157.98209789615316,0.0,0.09497925639152527,0.09746655821800232,0.0024873018264770508,0.0066759586334228516,0.00897449254989624,0.0022985339164733887,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,3,6.732579783254231e-07,6.145976362485974e-08,5.372690074837192e-07,4.9045725807874154e-08,150.27539709156272,150.2753966017538,-4.898089116522897e-07,1.2516975402832031e-06,6.267428398132324e-05,6.142258644104004e-05,0.0003445744514465332,0.0008518099784851074,0.0005072355270385742,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,4,1.5372886628750406,0.1403346130089357,1.1899287390194337,0.1086251353641036,148.82430544011274,149.24462399073332,0.42031855062057843,0.00010728836059570312,0.0007742047309875488,0.0006669163703918457,0.0023037195205688477,0.000167161226272583,-0.0021365582942962646,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,5,3.56629902349882,0.32555707032982506,2.508024119809732,0.22895023086447164,130.88186682468768,130.49805090027553,-0.38381592441214707,0.0005777478218078613,0.005849957466125488,0.005272209644317627,0.0008661448955535889,1.1116266250610352e-05,-0.0008550286293029785,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,6,4.861271874801734,0.44377137733238986,2.9673335952308397,0.2708792576251391,112.96936540072565,111.77762672499091,-1.1917386757347401,0.0061300694942474365,0.000958174467086792,-0.0051718950271606445,0.002393394708633423,0.0012077093124389648,-0.001185685396194458,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,7,5.948236331487874,0.5429972026879476,3.791039020512684,0.34607293131951455,99.63212936810912,91.15205610023129,-8.480073267877827,0.0017198622226715088,0.005778312683105469,0.00405845046043396,0.0020406246185302734,0.002034097909927368,-6.5267086029052734e-06,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,8,6.323683902654709,0.5772707200027146,4.9709492272879325,0.45378350399974593,85.6545050596758,81.0991582405701,-4.555346819105694,0.0008895397186279297,0.001907050609588623,0.0010175108909606934,0.0005244910717010498,0.00023499131202697754,-0.00028949975967407227,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,9,7.411677471056048,0.67659048997504,4.829846456163718,0.4409026422212092,63.69276840226598,64.83882360864713,1.146055206381149,0.011261135339736938,0.00249326229095459,-0.008767873048782349,1.0013580322265625e-05,0.00019302964210510254,0.00018301606178283691,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,10,8.155779271919124,0.7445173802105275,4.181373026001891,0.38170538794747855,38.96883201966432,51.148348043970174,12.179516024305855,0.009964287281036377,0.0027054250240325928,-0.007258862257003784,0.00010722875595092773,0.0009192526340484619,0.0008120238780975342,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,11,9.109763216831688,0.8316038012315902,4.272173673654344,0.3899943151066997,24.109044349002467,39.28031485386203,15.171270504859564,0.001017153263092041,0.0043166279792785645,0.0032994747161865234,0.0014355182647705078,4.330277442932129e-05,-0.0013922154903411865,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,12,9.983284737713497,0.9113450414737879,3.691789437974278,0.33701272545630523,9.920839689171896,25.945917035784532,16.025077346612637,0.004786282777786255,0.0008738934993743896,-0.003912389278411865,0.0009183585643768311,0.0008712410926818848,-4.711747169494629e-05,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,13,10.418070467824569,0.9510353668176523,3.682466298226969,0.33616164313190955,-4.74844484315663,13.709251401152734,18.457696244309364,0.00010663270950317383,0.004372209310531616,0.004265576601028442,0.0004989802837371826,1.3619661331176758e-05,-0.00048536062240600586,,,,,extension56,same_receiving_gpu
reach,6,fixed_rank4,14,10.511027269490247,0.9595211230086236,3.607064683781826,0.3292784489479242,-20.86125015048404,0.8766632065363884,21.737913357020428,0.00010800361633300781,0.0009942948818206787,0.0008862912654876709,0.0008646845817565918,6.633996963500977e-05,-0.000798344612121582,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.06014358997344971,0.059313297271728516,-0.0008302927017211914,0.037203192710876465,0.037363648414611816,0.00016045570373535156,True,10.0,0.0005567975838979086,0.0006593259001747897,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,1,0.0,0.0,0.0,0.0,164.86298892905006,164.86298892905006,0.0,0.07534337043762207,0.07597130537033081,0.0006279349327087402,0.02913224697113037,0.028737127780914307,-0.00039511919021606445,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,2,0.0,0.0,0.0,0.0,157.98209789615316,157.98209789615316,0.0,0.09497925639152527,0.09568414092063904,0.0007048845291137695,0.0066759586334228516,0.007134437561035156,0.0004584789276123047,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,3,0.0,0.0,0.0,0.0,150.27539709156272,150.27539709156272,0.0,1.2516975402832031e-06,0.0001302659511566162,0.000129014253616333,0.0003445744514465332,0.00014507770538330078,-0.00019949674606323242,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,4,5.5382301074839e-07,5.0556892642053203e-08,5.446573162823041e-07,4.972018303967396e-08,148.82430544011274,148.8243056741807,2.3406795435221284e-07,0.00010728836059570312,0.00012254714965820312,1.52587890625e-05,0.0023037195205688477,0.002507418394088745,0.00020369887351989746,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,5,9.510560386328081e-07,8.681914096844895e-08,6.712142008277898e-07,6.127319311853054e-08,130.88186682468768,130.88186717252964,3.478419614566519e-07,0.0005777478218078613,0.00033539533615112305,-0.00024235248565673828,0.0008661448955535889,0.0006678104400634766,-0.0001983344554901123,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,6,1.1206634231875468e-06,1.0230210604179624e-07,7.8539156634238e-07,7.169611289333945e-08,112.96936540072565,112.96936625583501,8.551093628739181e-07,0.0061300694942474365,0.006016790866851807,-0.00011327862739562988,0.002393394708633423,0.002003580331802368,-0.0003898143768310547,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,7,1.407141192356322e-06,1.2845382877471225e-07,8.73753319240327e-07,7.976240044048997e-08,99.63212936810912,99.63213102867724,1.660568116790273e-06,0.0017198622226715088,0.002004295587539673,0.00028443336486816406,0.0020406246185302734,0.0017551779747009277,-0.0002854466438293457,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,8,1.5200901348664781e-06,1.3876460938457336e-07,1.1248402864469514e-06,1.026833997462613e-07,85.6545050596758,85.65450673882377,1.6791479708899715e-06,0.0008895397186279297,0.0010120272636413574,0.00012248754501342773,0.0005244910717010498,0.00025579333305358887,-0.00026869773864746094,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,9,1.7372718661360611e-06,1.5859049826696933e-07,1.020974239547972e-06,9.320177027201787e-08,63.69276840226598,63.69276973711919,1.3348532093004906e-06,0.011261135339736938,0.010895073413848877,-0.0003660619258880615,1.0013580322265625e-05,1.3530254364013672e-05,3.516674041748047e-06,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,10,1.0509962649418023,0.09594239369371685,0.9265791377260889,0.08458471584104416,38.96883201966432,42.13574683915114,3.16691481948682,0.009964287281036377,0.010370433330535889,0.0004061460494995117,0.00010722875595092773,8.225440979003906e-06,-9.900331497192383e-05,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,11,1.6263313536053956,0.1484630613912643,1.2092087773652604,0.11038515401603258,24.109044349002467,25.605584089864394,1.4965397408619268,0.001017153263092041,0.002456068992614746,0.001438915729522705,0.0014355182647705078,0.001389145851135254,-4.6372413635253906e-05,,,,,extension56,same_receiving_gpu
reach,6,matched_random_fixed_rank4,12,1.7892182613125869,0.16333253367017944,1.4137696193813751,0.12905891860844534,9.920839689171896,10.424199929789411,0.5033602406175159,0.004786282777786255,0.0011637508869171143,-0.0036225318908691406,0.0009183585643768311,0.0003307163715362549,-0.0005876421928405762,,,,,extension56,same_receiving_gpu
