source_id,task,precision,lineage_group,arm,omitted_activation_mse,endpoint_line_valid,common_energy_edit_eligible,recorded_proprio_mse_h1,recorded_proprio_mse_h2,recorded_proprio_mse_h3,recorded_proprio_mse_h4,recorded_proprio_mse_h5,recorded_proprio_mse_h6,raw_native_proprio_fidelity_mse_h3,delivered_native_proprio_fidelity_mse_h3,raw_native_proprio_fidelity_mse_h6,delivered_native_proprio_fidelity_mse_h6,recorded_visual_mse_h1,recorded_visual_mse_h2,recorded_visual_mse_h3,recorded_visual_mse_h4,recorded_visual_mse_h5,recorded_visual_mse_h6,raw_native_visual_fidelity_mse_h3,delivered_native_visual_fidelity_mse_h3,raw_native_visual_fidelity_mse_h6,delivered_native_visual_fidelity_mse_h6
S03,reach,bfloat16,metaworld:state-action:0a28f2891539bcff403d70fb59ba370626069f3e2c52a864e046452d8d8536f8,equal_anchor_linear,0.0006432513393519912,1.0,1.0,0.0002873045673065159,0.0004566495928277921,0.0006690643831461784,0.0009899174374974487,0.0013509868234298967,0.0016800260462332516,1.0996510212635258e-06,1.055617059838217e-06,1.8489784110897744e-06,1.8630409362193253e-06,0.1317091368759672,0.15318285996715228,0.17762739869455496,0.2032299041748047,0.2310570627450943,0.2567555462320646,6.205617974046618e-05,6.038475636766331e-05,0.00010647456711012637,0.00010407102727185701
S03,reach,bfloat16,metaworld:state-action:0a28f2891539bcff403d70fb59ba370626069f3e2c52a864e046452d8d8536f8,cubic,0.0009379961168936765,1.0,1.0,0.0002873045673065159,0.0004566495928277921,0.0006697500230075093,0.000990031356923282,0.001352281277164972,0.001676741850193745,1.166581132849842e-06,1.0563350412458779e-06,1.8117085659241638e-06,1.7975568861553863e-06,0.1317091368759672,0.15318285996715228,0.17759217626104754,0.20323843229562044,0.23106553107500077,0.2567237817992767,6.666007808841338e-05,6.05284599866233e-05,0.00010782386101103233,0.00010407843431797422
S03,reach,bfloat16,metaworld:state-action:0a28f2891539bcff403d70fb59ba370626069f3e2c52a864e046452d8d8536f8,projected_cubic,0.0008122156791311379,1.0,1.0,0.0002873045673065159,0.0004566495928277921,0.0006685425129641468,0.000988969830602097,0.0013497083491529338,0.0016763903263684672,1.14502197613812e-06,1.0593924846110288e-06,1.8470161795865654e-06,1.7955062565041166e-06,0.1317091368759672,0.15318285996715228,0.17763270232826472,0.2032643713677923,0.23109860233962537,0.25675564582149185,6.437186348193791e-05,6.120470849661312e-05,0.00010630800801057679,0.00010259978334943298
S03,reach,bfloat16,metaworld:state-action:0a28f2891539bcff403d70fb59ba370626069f3e2c52a864e046452d8d8536f8,reflected_curvature,0.0025319012590140724,1.0,1.0,0.0002873045673065159,0.0004566495928277921,0.0006680859135182497,0.0009888390753379401,0.0013510028591554146,0.0016795585710497108,1.5587175099085471e-06,1.0441437190422675e-06,1.8435990658834574e-06,1.8727613986394923e-06,0.1317091368759672,0.15318285996715228,0.17762503810226918,0.20328569530198973,0.2312043653180202,0.25685668749113877,8.836345471839498e-05,5.9893173147429477e-05,0.00011849948781067118,0.00010846892467573829
S03,reach,bfloat16,metaworld:state-action:241672b17fbbd253d8cfea61a1b1dab284a98d6d6e94fec798a7efded33df166,equal_anchor_linear,0.0004926167346032647,1.0,1.0,0.0001925975982885575,0.0002487785282331364,0.00035014345351858843,0.0004511338527663611,0.0005715396536591773,0.0007016547007272796,1.0505125501936164e-06,1.077197609807475e-06,1.4644484195969199e-06,1.4652866004401707e-06,0.11424898132681846,0.13165894790242116,0.14297322283188502,0.1569173612942298,0.17071260350445908,0.18767313323915005,5.759963532909751e-05,5.869670994798071e-05,9.104105113995804e-05,9.145385101874126e-05
S03,reach,bfloat16,metaworld:state-action:241672b17fbbd253d8cfea61a1b1dab284a98d6d6e94fec798a7efded33df166,cubic,0.0007214321298912789,1.0,1.0,0.0001925975982885575,0.0002487785282331364,0.00035023490054300057,0.000451339254505001,0.0005713354354763093,0.0007006507798602494,1.1071064993946796e-06,1.0542428583448782e-06,1.5185875355427924e-06,1.4883719567630275e-06,0.11424898132681846,0.13165894790242116,0.14296579534808795,0.15693367185691992,0.17069459930062295,0.18762773734827837,6.184913487838155e-05,5.879493316266841e-05,9.399290920555358e-05,9.483679174688101e-05
S03,reach,bfloat16,metaworld:state-action:241672b17fbbd253d8cfea61a1b1dab284a98d6d6e94fec798a7efded33df166,projected_cubic,0.0006196670112937378,1.0,1.0,0.0001925975982885575,0.0002487785282331364,0.00035012769076274707,0.0004510593758216904,0.0005719202483305708,0.0007024890883864525,1.1274341375155928e-06,1.103264942040975e-06,1.4826441542936664e-06,1.5037494146478517e-06,0.11424898132681846,0.13165894790242116,0.14299887331823508,0.15687163472175597,0.1706906769424677,0.18774983398616313,6.003525768392137e-05,5.8863570241859024e-05,9.306225923258657e-05,9.218651060412715e-05
S03,reach,bfloat16,metaworld:state-action:241672b17fbbd253d8cfea61a1b1dab284a98d6d6e94fec798a7efded33df166,reflected_curvature,0.0019209518320470428,1.0,1.0,0.0001925975982885575,0.0002487785282331364,0.00035036228042978714,0.00045093246105049425,0.0005712725420986923,0.000701725860562874,1.513392301433214e-06,1.1201955193958687e-06,1.5594381466144114e-06,1.457006575833475e-06,0.11424898132681846,0.13165894790242116,0.14298483033974965,0.15686005366345246,0.17068932180603344,0.1877435203641653,7.827140422402105e-05,5.843631309592941e-05,9.741863905219362e-05,9.47824655668228e-05
S03,reach,bfloat16,metaworld:state-action:277b660c7cfae199b6daf6c4b967da1cfd0eb4dd050d75d285460d10c1431b1f,equal_anchor_linear,0.0005704605115170125,1.0,1.0,0.00020312679638057792,0.0003166346468788106,0.00048190823436016216,0.000628950751949257,0.0008159509127532753,0.00107047356965874,1.088138526010122e-06,1.0651169754775462e-06,1.5961201834594854e-06,1.5803054869441742e-06,0.11664000625411669,0.13407692089676856,0.14809839141865572,0.16615731219450633,0.1869669396430254,0.21498564320305982,6.094078838335311e-05,6.0350230948339835e-05,9.831301091859738e-05,9.694326242121557e-05
S03,reach,bfloat16,metaworld:state-action:277b660c7cfae199b6daf6c4b967da1cfd0eb4dd050d75d285460d10c1431b1f,cubic,0.0008403058323892765,1.0,1.0,0.00020312679638057792,0.0003166346468788106,0.0004811134022020269,0.0006288461304696587,0.0008152578035757566,0.0010708020558619562,1.1310432564452336e-06,1.0512797805025306e-06,1.6020627678396219e-06,1.5623933810123467e-06,0.11664000625411669,0.13407692089676856,0.14806790581593912,0.16618444205572208,0.18694571492572626,0.2150821428745985,6.523478129262609e-05,6.027735289535485e-05,0.00010048094239512769,9.736533847899409e-05
