task,precision,arm,endpoint,horizon,n,native_mean,learned_mean,random_mean,reduction_vs_native_percent,advantage_vs_random_percent,source_sha256
reach,bfloat16,single_block0,proprio_mse,4,33,0.0005330005390762858,0.0005147801480555731,0.000531659146587907,3.4184563963649146,3.1667882665908835,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,proprio_mse,4,33,0.0005330005390762858,0.0005156732198847382,0.0005322974488815891,3.25090087555572,3.118989152555353,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,proprio_mse,4,33,0.0005330005390762858,0.0005191884330611863,0.0005322512968981609,2.5913868753372324,2.4508162523837473,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,proprio_mse,4,33,0.0005330005390762858,0.0005212853271972782,0.0005329355795049305,2.197973739259371,2.1857862147461824,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,proprio_mse,4,33,0.0005330005390762858,0.0005259036534081326,0.0005327193887650437,1.3314969025082908,1.2787483045932848,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,proprio_mse,4,33,0.0005330005390762858,0.0005305732068070093,0.000532860237911915,0.45540897078324993,0.4290860772616093,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,proprio_mse,4,33,0.0005330005390762858,0.0005155564349681502,0.0005323385438558292,3.27281171954668,3.1486101152473904,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,proprio_mse,4,33,0.0005330005390762858,0.0005186594900787712,0.0005329045034839033,2.690625608440914,2.6726076918832713,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,proprio_mse,5,33,0.0006846950574485659,0.000659683864825932,0.000682107899114951,3.652895161217479,3.275039602677947,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,proprio_mse,5,33,0.0006846950574485659,0.0006605579156482667,0.0006825879318388284,3.5252396724234214,3.2174930943205493,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,proprio_mse,5,33,0.0006846950574485659,0.0006656039316011528,0.000683154732563928,2.7882669284270647,2.5633018336916416,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,proprio_mse,5,33,0.0006846950574485659,0.0006683894283758657,0.0006835356605605363,2.38144395746935,2.2121135562320475,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,proprio_mse,5,33,0.0006846950574485659,0.0006746086451562176,0.0006840703855020981,1.47312474109776,1.3818911416037614,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,proprio_mse,5,33,0.0006846950574485659,0.0006811258269968823,0.0006843423373548013,0.5212876028321138,0.46977268536229205,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,proprio_mse,5,33,0.0006846950574485659,0.0006607151407231206,0.0006811655503759428,3.5022768843700365,2.9867908976922037,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
