task,episode,arm,metric,edited,native,effect
reach,4,fixed_rank4,terminal_ee_distance,0.18078814840032278,0.18106908606322455,-0.00028093766290177014
reach,4,fixed_rank4,actual_weighted_goal_cost,1.9477724015712738,1.8916493356227875,0.05612306594848637
reach,4,fixed_rank4,same_native_prefix_forecast_weighted_mse,0.8998018395155668,0.9018103316426277,-0.00200849212706089
reach,4,matched_random_fixed_rank4,terminal_ee_distance,0.16793934674130664,0.18106908606322455,-0.01312973932191791
reach,4,matched_random_fixed_rank4,actual_weighted_goal_cost,2.0332961440086366,1.8916493356227875,0.1416468083858491
reach,4,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,0.9016755558550358,0.9018103316426277,-0.000134775787591912
reach,5,fixed_rank4,terminal_ee_distance,0.19696703186987213,0.19679899329478426,0.00016803857508787545
reach,5,fixed_rank4,actual_weighted_goal_cost,2.3321797311306,2.322114336490631,0.010065394639969139
reach,5,fixed_rank4,same_native_prefix_forecast_weighted_mse,1.2218615744262933,1.2251364756375551,-0.003274901211261838
reach,5,matched_random_fixed_rank4,terminal_ee_distance,0.19696703186987213,0.19679899329478426,0.00016803857508787545
reach,5,matched_random_fixed_rank4,actual_weighted_goal_cost,2.3321797311306,2.322114336490631,0.010065394639969139
reach,5,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,1.2248445957899095,1.2251364756375551,-0.00029187984764567076
reach,6,fixed_rank4,terminal_ee_distance,0.12982539767570012,0.13468201660403747,-0.004856618928337358
reach,6,fixed_rank4,actual_weighted_goal_cost,1.970493146777153,1.9637463510036468,0.00674679577350612
reach,6,fixed_rank4,same_native_prefix_forecast_weighted_mse,0.8880538938567042,0.890027804300189,-0.0019739104434848276
reach,6,matched_random_fixed_rank4,terminal_ee_distance,0.13463493843833976,0.13468201660403747,-4.7078165697711505e-05
reach,6,matched_random_fixed_rank4,actual_weighted_goal_cost,1.9819743171334268,1.9637463510036468,0.01822796612977995
reach,6,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,0.890016357973218,0.890027804300189,-1.1446326971031873e-05
reach,7,fixed_rank4,terminal_ee_distance,0.22240625613376494,0.21935838613926903,0.003047869994495911
reach,7,fixed_rank4,actual_weighted_goal_cost,2.153744474053383,2.19618017077446,-0.042435696721077054
reach,7,fixed_rank4,same_native_prefix_forecast_weighted_mse,1.3123308762907981,1.3153596505522729,-0.0030287742614747426
reach,7,matched_random_fixed_rank4,terminal_ee_distance,0.21935838613926903,0.21935838613926903,0.0
reach,7,matched_random_fixed_rank4,actual_weighted_goal_cost,2.19618017077446,2.19618017077446,0.0
reach,7,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,1.3152757063508034,1.3153596505522729,-8.39442014695102e-05
reach,8,fixed_rank4,terminal_ee_distance,0.1755441345051573,0.17858426791477053,-0.0030401334096132326
reach,8,fixed_rank4,actual_weighted_goal_cost,1.9637679412961007,2.09013524800539,-0.12636730670928942
reach,8,fixed_rank4,same_native_prefix_forecast_weighted_mse,1.2589390315115452,1.262332161515951,-0.0033931300044058865
reach,8,matched_random_fixed_rank4,terminal_ee_distance,0.17655888904963177,0.17858426791477053,-0.0020253788651387605
reach,8,matched_random_fixed_rank4,actual_weighted_goal_cost,2.1004864096641542,2.09013524800539,0.010351161658764152
reach,8,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,1.2623048350214958,1.262332161515951,-2.7326494455248707e-05
reach,9,fixed_rank4,terminal_ee_distance,0.2013925653119012,0.20440476720020007,-0.003012201888298871
reach,9,fixed_rank4,actual_weighted_goal_cost,2.2567491620779037,2.221464140713215,0.035285021364688696
reach,9,fixed_rank4,same_native_prefix_forecast_weighted_mse,1.219752448797226,1.2221376325935125,-0.002385183796286494
reach,9,matched_random_fixed_rank4,terminal_ee_distance,0.20281676655489836,0.20440476720020007,-0.001588000645301707
reach,9,matched_random_fixed_rank4,actual_weighted_goal_cost,2.232230173051357,2.221464140713215,0.010766032338142217
reach,9,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,1.22197127006948,1.2221376325935125,-0.00016636252403245955
reach,10,fixed_rank4,terminal_ee_distance,0.1625563072694254,0.1665606882548551,-0.004004380985429684
reach,10,fixed_rank4,actual_weighted_goal_cost,2.009828920662403,1.921086535602808,0.08874238505959497
reach,10,fixed_rank4,same_native_prefix_forecast_weighted_mse,1.026725848019123,1.0286963734775783,-0.001970525458455219
reach,10,matched_random_fixed_rank4,terminal_ee_distance,0.1658729406875076,0.1665606882548551,-0.0006877475673474909
reach,10,matched_random_fixed_rank4,actual_weighted_goal_cost,1.9805099606513976,1.921086535602808,0.05942342504858966
reach,10,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,1.0285656169056892,1.0286963734775783,-0.00013075657188910128
reach,11,fixed_rank4,terminal_ee_distance,0.18605421417000118,0.18379928858700617,0.0022549255829950043
reach,11,fixed_rank4,actual_weighted_goal_cost,2.4630222499370573,2.4397270515561105,0.023295198380946847
reach,11,fixed_rank4,same_native_prefix_forecast_weighted_mse,1.1765218466520309,1.179184596799314,-0.0026627501472831216
reach,11,matched_random_fixed_rank4,terminal_ee_distance,0.1861035770434131,0.18379928858700617,0.0023042884564069277
reach,11,matched_random_fixed_rank4,actual_weighted_goal_cost,2.4369606912136077,2.4397270515561105,-0.0027663603425027716
reach,11,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,1.1790207482874393,1.179184596799314,-0.00016384851187467575
reach,12,fixed_rank4,terminal_ee_distance,0.20122529676969728,0.1999269758753966,0.0012983208943006808
