source_id,task,category,precision,arm,endpoint,lineage_weighted_mean,clip_weighted_mean,error_reduction_percent_vs_native,realized_energy_match_fraction
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_l1_h1,0.00915005694289287,0.009150056942892872,0.0,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_l1_h2,0.010492816679955769,0.01049281667995577,0.0,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_l1_h3,0.012096204052707463,0.012096204052707463,1.053373695009574,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_l1_h4,0.013773045936632299,0.013773045936632299,0.46645190629249766,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_l1_h5,0.015592162176082384,0.015592162176082381,0.4502533723049207,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_l1_h6,0.0174744716144609,0.017474471614460904,0.33588906271690977,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_mse_h1,0.0002275826288211528,0.00022758262882115275,0.0,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_mse_h2,0.0003022944126727948,0.00030229441267279485,0.0,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_mse_h3,0.0004055602209528025,0.0004055602209528025,2.045693569497875,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_mse_h4,0.0005280045142456521,0.0005280045142456521,0.9373395455269273,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_mse_h5,0.0006784327276299606,0.0006784327276299603,0.9146158936711557,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,proprio_mse_h6,0.0008527404254919293,0.0008527404254919295,0.6790233353746844,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_l1_h1,0.2438088998198509,0.24380889981985093,0.0,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_l1_h2,0.26015580035746094,0.260155800357461,0.0,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_l1_h3,0.2727305912647885,0.27273059126478855,-0.038072657511345476,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_l1_h4,0.2840531369389006,0.28405313693890066,-0.015017066386668887,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_l1_h5,0.29504652657367364,0.29504652657367364,0.004218478767548106,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_l1_h6,0.3059078993896644,0.30590789938966434,0.008865547642589178,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_mse_h1,0.12173197127483558,0.1217319712748356,0.0,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_mse_h2,0.13744648757644679,0.13744648757644676,0.0,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_mse_h3,0.15186076903847434,0.1518607690384743,-0.1012398246855506,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_mse_h4,0.1663074323399501,0.16630743233995005,-0.04576985684092705,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_mse_h5,0.18170207971424768,0.18170207971424768,0.004329372579181534,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,action_condition_only,visual_mse_h6,0.19803926437114824,0.19803926437114827,0.022371490549222273,0.20252525252525252
S01,reach,vision_action_coupling,bfloat16,joint,proprio_l1_h1,0.00915005694289287,0.009150056942892872,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_l1_h2,0.010492816679955769,0.01049281667995577,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_l1_h3,0.012035127896980167,0.012035127896980167,1.552975018743985,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_l1_h4,0.013628018925770782,0.013628018925770778,1.5145173107705578,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_l1_h5,0.015381042360365766,0.015381042360365768,1.7981693268294352,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_l1_h6,0.017267912517141812,0.017267912517141815,1.5139806951573687,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_mse_h1,0.0002275826288211528,0.00022758262882115275,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_mse_h2,0.0003022944126727948,0.00030229441267279485,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_mse_h3,0.0004016129028160423,0.0004016129028160423,2.999082956254051,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_mse_h4,0.0005169393080050765,0.0005169393080050764,3.013361130749348,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_mse_h5,0.000660877653987854,0.0006608776539878542,3.478541753969233,1.0
S01,reach,vision_action_coupling,bfloat16,joint,proprio_mse_h6,0.0008338671891477944,0.0008338671891477942,2.8772400616902116,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_l1_h1,0.2438088998198509,0.24380889981985093,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_l1_h2,0.26015580035746094,0.260155800357461,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_l1_h3,0.2723627419709557,0.2723627419709557,0.09685512676397279,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_l1_h4,0.2835135012300628,0.28351350123006286,0.17498849106172276,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_l1_h5,0.29439781586630165,0.29439781586630176,0.22407646156828998,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_l1_h6,0.3052935975142802,0.30529359751428015,0.20966043243775268,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_mse_h1,0.12173197127483558,0.1217319712748356,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_mse_h2,0.13744648757644679,0.13744648757644676,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_mse_h3,0.15119817386560064,0.15119817386560067,0.3355194432047903,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_mse_h4,0.16534497555759217,0.16534497555759217,0.5332164722132826,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_mse_h5,0.1805235438105283,0.18052354381052835,0.6529102156617062,1.0
S01,reach,vision_action_coupling,bfloat16,joint,visual_mse_h6,0.19687587225790878,0.19687587225790878,0.6096953471471545,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_l1_h1,0.00915005694289287,0.009150056942892872,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_l1_h2,0.010492816679955769,0.01049281667995577,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_l1_h3,0.012086331828455015,0.012086331828455017,1.1341282259061836,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_l1_h4,0.013689004439822959,0.013689004439822954,1.0737938408961756,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_l1_h5,0.01546266308710487,0.01546266308710487,1.277053488327573,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_l1_h6,0.017345884343082405,0.017345884343082405,1.0692752481500367,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_mse_h1,0.0002275826288211528,0.00022758262882115275,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_mse_h2,0.0003022944126727948,0.00030229441267279485,0.0,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_mse_h3,0.00040494298157709905,0.0004049429815770991,2.194774400962518,1.0
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,proprio_mse_h4,0.0005215817326266789,0.0005215817326266786,2.142363020757221,1.0
