population,task,arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
extension56,reach,fixed_rank4,selected_prefix_delta_l2,28,5.402113242201518,3.3082538851700436,0.625201218144512,4.229295108947535,6.615772702221335,,,,descriptive_only
extension56,reach,fixed_rank4,selected_prefix_delta_rms,28,0.6974098207124345,0.42709374007631873,0.08071313019674284,0.5459996507716762,0.8540925832665627,,,,descriptive_only
extension56,reach,fixed_rank4,final_mean_delta_l2,28,7.55033777422548,4.468180806624001,0.844406801942792,5.944616525850469,9.154549673546521,,,,descriptive_only
extension56,reach,fixed_rank4,final_mean_delta_rms,28,0.6892483859544407,0.407887236466599,0.07708344218914408,0.5426667611543823,0.8356922266671644,,,,descriptive_only
extension56,reach,matched_random_fixed_rank4,selected_prefix_delta_l2,28,4.474740261060776,3.7344424030244596,0.705743277421226,3.1750181012727983,5.876433556811985,,,,descriptive_only
extension56,reach,matched_random_fixed_rank4,selected_prefix_delta_rms,28,0.5776864836564071,0.4821144411428179,0.09111106533834162,0.4098930743378881,0.7586443100209079,,,,descriptive_only
extension56,reach,matched_random_fixed_rank4,final_mean_delta_l2,28,6.544179657322419,5.202286304159987,0.9831397006974749,4.70801134847878,8.478627096321668,,,,descriptive_only
extension56,reach,matched_random_fixed_rank4,final_mean_delta_rms,28,0.5973991364469863,0.4749015932314344,0.08974796520848075,0.4297806694253572,0.7739892195549841,,,,descriptive_only
extension56,reach-wall,fixed_rank4,selected_prefix_delta_l2,28,3.8717533136241364,3.153932905204768,0.5960372942110906,2.7541191433237966,5.04477023282673,,,,descriptive_only
extension56,reach-wall,fixed_rank4,selected_prefix_delta_rms,28,0.4998412034763221,0.4071709872304548,0.07694808380660281,0.35555525251880343,0.6512770365726948,,,,descriptive_only
extension56,reach-wall,fixed_rank4,final_mean_delta_l2,28,5.5560325189086806,4.548962142545189,0.8596730394730088,3.9346105562118185,7.240193678088598,,,,descriptive_only
extension56,reach-wall,fixed_rank4,final_mean_delta_rms,28,0.507194056806422,0.4152615297848385,0.078477052633066,0.3591791594391935,0.6609362330325705,,,,descriptive_only
extension56,reach-wall,matched_random_fixed_rank4,selected_prefix_delta_l2,28,1.681860481152551,2.9209501833228524,0.5520076983629137,0.7186595145028363,2.8199920558707285,,,,descriptive_only
extension56,reach-wall,matched_random_fixed_rank4,selected_prefix_delta_rms,28,0.21712725447160747,0.3770930471703636,0.07126388742459508,0.09277854437543306,0.3640594089608182,,,,descriptive_only
extension56,reach-wall,matched_random_fixed_rank4,final_mean_delta_l2,28,2.640218298955795,4.429559341047022,0.8371080310009688,1.1624094180566524,4.335795436319636,,,,descriptive_only
extension56,reach-wall,matched_random_fixed_rank4,final_mean_delta_rms,28,0.24101785317933455,0.40436159514986225,0.07641715860799408,0.10611297655434693,0.39580216086670306,,,,descriptive_only
initial8,reach,fixed_rank4,selected_prefix_delta_l2,4,3.8925522689381555,3.7749707027376544,1.8874853513688272,0.7301959331350099,7.054908604741302,,,,descriptive_only
initial8,reach,fixed_rank4,selected_prefix_delta_rms,4,0.5025263370613124,0.48734662213746155,0.24367331106873077,0.09426788961667593,0.9107847845059489,,,,descriptive_only
initial8,reach,fixed_rank4,final_mean_delta_l2,4,5.502514364852541,5.037788598696408,2.518894299348204,1.186392019986469,9.818636709718612,,,,descriptive_only
initial8,reach,fixed_rank4,final_mean_delta_rms,4,0.5023085401043247,0.45988507590806055,0.22994253795403027,0.10830227856511815,0.8963148016435312,,,,descriptive_only
initial8,reach,matched_random_fixed_rank4,selected_prefix_delta_l2,4,2.4081540013500042,2.4059421323252232,1.2029710661626116,0.5359138360150676,4.739779989158448,,,,descriptive_only
initial8,reach,matched_random_fixed_rank4,selected_prefix_delta_rms,4,0.3108913447443773,0.31060579368114505,0.15530289684057252,0.06918617872961631,0.6119029654232613,,,,descriptive_only
initial8,reach,matched_random_fixed_rank4,final_mean_delta_l2,4,3.7081235491668485,3.7397964277679465,1.8698982138839733,0.9344454929476204,7.184488484985119,,,,descriptive_only
initial8,reach,matched_random_fixed_rank4,final_mean_delta_rms,4,0.3385038189824666,0.34139514399429066,0.17069757199714533,0.08530281254107439,0.6558510678937443,,,,descriptive_only
initial8,reach-wall,fixed_rank4,selected_prefix_delta_l2,4,1.909891327677096,0.4523463496013936,0.2261731748006968,1.5885837793168245,2.3206325791687874,,,,descriptive_only
initial8,reach-wall,fixed_rank4,selected_prefix_delta_rms,4,0.24656591017197887,0.0583976626241305,0.02919883131206525,0.20508528404497667,0.299592377726236,,,,descriptive_only
initial8,reach-wall,fixed_rank4,final_mean_delta_l2,4,3.1024107093984457,0.511854906394727,0.2559274531973635,2.6907368068430064,3.5140846119538844,,,,descriptive_only
initial8,reach-wall,fixed_rank4,final_mean_delta_rms,4,0.28321005469718885,0.0467257464003479,0.02336287320017395,0.24562954090288924,0.32079056849148846,,,,descriptive_only
