source_id,task,precision,lineage_group,modality,horizon,native_mse,visual_only_mse,action_condition_only_mse,joint_mse,joint_equal_standardized_energy_mse,matched_random_equal_standardized_energy_mse,factorial_from_arm_losses,output_interaction_mse,additive_quadratic_cross,factorial_mse_interaction,nonadditive_mse_remainder
S02,reach,float32,metaworld:state-action:4314f16e9f2e4b8ac40d0546b2c253087fd0ebfde3b54469c2b9d8c1a415330a,visual,1,0.11983673895398776,0.11983673895398776,0.11983673895398776,0.11983673895398776,0.11983673895398776,0.11983673895398776,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:46c833b37dac81c4c1b42c4f4e965649bee001e5f9e372653d4716f0151683f7,visual,1,0.10642445981502532,0.10642445981502532,0.10642445981502532,0.10642445981502532,0.10642445981502532,0.10642445981502532,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:472a17d50dbe37b1acd5b2ac713d744c4ab3a3d825c6d69e798d55db3de5ed4f,visual,1,0.1494074989731113,0.1494074989731113,0.1494074989731113,0.1494074989731113,0.1494074989731113,0.1494074989731113,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:4a976af7854ebbb206bd770ebd5572c7eed74b9106e08d1191de6105b35a2764,visual,1,0.129307571798563,0.129307571798563,0.129307571798563,0.129307571798563,0.129307571798563,0.129307571798563,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:4dda3594296b3449b362c8b3403f3d7f5639e69294aeef03114a373be0cbeaf8,visual,1,0.0923543651898702,0.0923543651898702,0.0923543651898702,0.0923543651898702,0.0923543651898702,0.0923543651898702,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:523f56ece5e404d49865d0e6637f371de3a753f1ba023110771b44bc7f02b62a,visual,1,0.12326607673118511,0.12326607673118511,0.12326607673118511,0.12326607673118511,0.12326607673118511,0.12326607673118511,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:5bac96e458878008c53b681c2ab7784e2c543bbaa7f79fba3ee87ae9781c6ef7,visual,1,0.11076103610297044,0.11076103610297044,0.11076103610297044,0.11076103610297044,0.11076103610297044,0.11076103610297044,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:686e6a168e6145a5ef49a9f21e998cb683cba489718d0d97328ae33a7f78f6fa,visual,1,0.11418951973319054,0.11418951973319054,0.11418951973319054,0.11418951973319054,0.11418951973319054,0.11418951973319054,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:6b017f7a4198ecfcb46072f81b74c496de26d5c7a9385bb1cdecaa8df9656703,visual,1,0.11474407973388831,0.11474407973388831,0.11474407973388831,0.11474407973388831,0.11474407973388831,0.11474407973388831,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:6e279f2ab342c4972de8619e460da08fe06a2cb37d7b3f47ca9f4aef5cdc73be,visual,1,0.12446886207908392,0.12446886207908392,0.12446886207908392,0.12446886207908392,0.12446886207908392,0.12446886207908392,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:96cc797f7bf7c8358cae461d4781b577d19bc7bd2e7a9ac080c5f3556bdcfb6e,visual,1,0.10723120626062155,0.10723120626062155,0.10723120626062155,0.10723120626062155,0.10723120626062155,0.10723120626062155,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:99e81fac7791e06ed0bebf9816f250e7e8a4afba1e6d0b5e79fe883b9bd18224,visual,1,0.11850227657705545,0.11850227657705545,0.11850227657705545,0.11850227657705545,0.11850227657705545,0.11850227657705545,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:9c7760810b3124eef5cd4b3269cf86b8f07bf550f24254999ec5141a7db94bb2,visual,1,0.11864534951746464,0.11864534951746464,0.11864534951746464,0.11864534951746464,0.11864534951746464,0.11864534951746464,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:9d691303f8d5525d5f0eff5247ded6405a494633ee1ac7b8eb1da37e971b9e76,visual,1,0.1145570577432712,0.1145570577432712,0.1145570577432712,0.1145570577432712,0.1145570577432712,0.1145570577432712,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:9f074e9ac3e1805833223b1b9f9bae975a70360c4f2702c6d42e3f6a00c389a2,visual,1,0.11903177493562302,0.11903177493562302,0.11903177493562302,0.11903177493562302,0.11903177493562302,0.11903177493562302,0.0,0.0,0.0,0.0,0.0
S02,reach,float32,metaworld:state-action:a009d34506df089bee993a41a5e2c97e7e351f844ddf2438005072b5a2e5cb22,visual,1,0.12149110659956933,0.12149110659956933,0.12149110659956933,0.12149110659956933,0.12149110659956933,0.12149110659956933,0.0,0.0,0.0,0.0,0.0
