task,arm,iteration,metric,n,mean,marginal_95_low,marginal_95_high
reach,fixed_rank4,7,proposal_std_delta_l2,4,1.1696522069512036,9.125008715147125e-07,2.4640969087145645
reach,fixed_rank4,7,proposal_std_delta_rms,4,0.10677414969714587,8.329955184528856e-08,0.22494024346361916
reach,fixed_rank4,7,best_runnerup_margin_delta,4,0.005004525184631348,0.00042808055877685547,0.00958096981048584
reach,fixed_rank4,7,elite_boundary_margin_delta,4,-0.001552388072013855,-0.0038333088159561157,-8.442997932434082e-05
reach,fixed_rank4,8,proposal_entropy_delta_nats,4,1.5038007463104002,-1.014583475011932e-07,4.298871176314492
reach,fixed_rank4,8,proposal_mean_delta_l2,4,2.221571789425408,2.2036867773858146e-06,4.443141375164039
reach,fixed_rank4,8,proposal_mean_delta_rms,4,0.20280083036423552,2.0116815960834598e-07,0.4056014595603114
reach,fixed_rank4,8,proposal_std_delta_l2,4,1.5837243901944478,1.0148882161427734e-06,3.1674477655006794
reach,fixed_rank4,8,proposal_std_delta_rms,4,0.14457359556343544,9.264619488792927e-08,0.289147098480676
reach,fixed_rank4,8,best_runnerup_margin_delta,4,-0.0005599707365036011,-0.007247060537338257,0.005942478775978088
reach,fixed_rank4,8,elite_boundary_margin_delta,4,-0.00013688206672668457,-0.0006208419799804688,0.0002435743808746338
reach,fixed_rank4,9,proposal_entropy_delta_nats,4,0.10970027142894168,-1.2434962876346844,1.5725982190136492
reach,fixed_rank4,9,proposal_mean_delta_l2,4,2.821225893871434,2.599271009801372e-06,5.642449188471858
reach,fixed_rank4,9,proposal_mean_delta_rms,4,0.25754151031517664,2.3727989418957384e-07,0.5150827833504591
reach,fixed_rank4,9,proposal_std_delta_l2,4,1.8729730331009795,1.1564309481461552e-06,3.745944909771011
reach,fixed_rank4,9,proposal_std_delta_rms,4,0.1709782633047128,1.055672194161227e-07,0.3419564210422062
reach,fixed_rank4,9,best_runnerup_margin_delta,4,0.005082637071609497,1.946091651916504e-05,0.011514067649841309
reach,fixed_rank4,9,elite_boundary_margin_delta,4,-0.0007637590169906616,-0.001535370945930481,-0.00010037422180175781
reach,fixed_rank4,10,proposal_entropy_delta_nats,4,0.3731996022481958,-4.363058466794826,5.4826599712416915
reach,fixed_rank4,10,proposal_mean_delta_l2,4,3.565093274749305,2.8074519868004067e-06,7.130183742046624
reach,fixed_rank4,10,proposal_mean_delta_rms,4,0.32544700103169294,2.5628413038054645e-07,0.6508937457792555
reach,fixed_rank4,10,proposal_std_delta_l2,4,1.9570705891597528,1.2986077950691756e-06,3.9141398797117106
reach,fixed_rank4,10,proposal_std_delta_rms,4,0.17865528471878706,1.1854613045190558e-07,0.35731045089144364
reach,fixed_rank4,10,best_runnerup_margin_delta,4,0.0004627704620361328,-0.0014104396104812622,0.002826377749443054
reach,fixed_rank4,10,elite_boundary_margin_delta,4,-0.000201299786567688,-0.0010092705488204956,0.0005538463592529297
reach,fixed_rank4,11,proposal_entropy_delta_nats,4,-1.011795589182741,-4.202210645550373,1.166827412912868
reach,fixed_rank4,11,proposal_mean_delta_l2,4,3.8875951012625944,3.0973944285195733e-06,7.775187105130761
reach,fixed_rank4,11,proposal_mean_delta_rms,4,0.35488725523468395,2.827521329984988e-07,0.7097742277172349
reach,fixed_rank4,11,proposal_std_delta_l2,4,1.9167251444344586,1.3731491804324011e-06,3.8334489157197367
reach,fixed_rank4,11,proposal_std_delta_rms,4,0.1749722663573501,1.2535079682375958e-07,0.34994440736390336
reach,fixed_rank4,11,best_runnerup_margin_delta,4,-0.0022044405341148376,-0.004189044237136841,-0.00021983683109283447
reach,fixed_rank4,11,elite_boundary_margin_delta,4,-0.00032132863998413086,-0.001031339168548584,0.00038868188858032227
reach,fixed_rank4,12,proposal_entropy_delta_nats,4,-0.016027716961001914,-6.663846608478625,6.6157663631950285
reach,fixed_rank4,12,proposal_mean_delta_l2,4,3.9227588733859524,3.703864412991609e-06,7.845514042907492
reach,fixed_rank4,12,proposal_mean_delta_rms,4,0.35809725376783963,3.3811501482268915e-07,0.7161941694206644
reach,fixed_rank4,12,proposal_std_delta_l2,4,2.113033137414704,1.4110555077899976e-06,4.226064863773901
reach,fixed_rank4,12,proposal_std_delta_rms,4,0.19289265235299116,1.288111552514147e-07,0.3857851758948271
reach,fixed_rank4,12,best_runnerup_margin_delta,4,-0.0005549341440200806,-0.0008992478251457214,-0.00030718743801116943
reach,fixed_rank4,12,elite_boundary_margin_delta,4,0.0005868375301361084,0.00014001131057739258,0.0010336637496948242
reach,fixed_rank4,13,proposal_entropy_delta_nats,4,-0.6426726326997549,-7.46034199651649,5.532327552463901
reach,fixed_rank4,13,proposal_mean_delta_l2,4,4.043915562369227,4.1739983732933225e-06,8.08782695074008
reach,fixed_rank4,13,proposal_mean_delta_rms,4,0.36915729569263583,3.81032177340437e-07,0.7383142103530944
reach,fixed_rank4,13,proposal_std_delta_l2,4,2.1023066661271694,1.4078741195317202e-06,4.204611924380219
reach,fixed_rank4,13,proposal_std_delta_rms,4,0.19191346397188877,1.285207355658746e-07,0.383826799423042
reach,fixed_rank4,13,best_runnerup_margin_delta,4,-0.0018073245882987976,-0.003992773592472076,0.00022168457508087158
reach,fixed_rank4,13,elite_boundary_margin_delta,4,-0.0001897364854812622,-0.00029556453227996826,-8.390843868255615e-05
