source_id,task,category,precision,candidate,control,endpoint,error_reduction_percent_of_native,simultaneous_95_lower,simultaneous_95_upper,statistical_result,beats_control_by_frozen_minimum,independent_lineages,source,source_sha256
S01,reach,vision_action_coupling,bfloat16,visual_only,native,proprio_mse_h6,2.261927164351419,1.256148619732435,3.2677057089704036,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,action_condition_only,native,visual_mse_h6,0.022371490549232632,-0.016426314106884235,0.0611692952053495,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,action_condition_only,native,proprio_mse_h6,0.6790233353746622,0.48065926554258837,0.877387405206736,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,joint,native,visual_mse_h6,0.6096953471471699,0.10480017090117545,1.1145905233931643,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,joint,native,proprio_mse_h6,2.8772400616902423,1.871712033672947,3.882768089707538,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,native,visual_mse_h6,0.45315956926609874,0.08505737339905041,0.821261765133147,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,joint_equal_standardized_energy,native,proprio_mse_h6,2.035287014348654,1.2976060244129737,2.7729680042843348,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,permuted_visual,native,visual_mse_h6,-0.01615568176697029,-0.06874503409998994,0.03643367056604936,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,permuted_visual,native,proprio_mse_h6,0.2027912938799547,0.05295536909145532,0.3526272186684541,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
S01,reach,vision_action_coupling,bfloat16,permuted_joint,native,visual_mse_h6,0.022452858793779902,-0.02570625072550258,0.07061196831306238,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/vision_action_coupling/report.json,f81678b12eceb087500dce093b2898a943ceadcc25a787501119dcffe3b94015
