task,arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
reach,fixed_rank4,predicted_H3_own_minus_native,28,0.002456279345122817,0.050712088078682355,0.009583683822928344,-0.014828025356068126,0.021710473033433184,,,,descriptive_only
reach,fixed_rank4,actual_H3_own_minus_native,28,-0.00372923234743732,0.05725365246636573,0.010819923291151683,-0.025185042010354073,0.01651833022944621,,,,descriptive_only
reach,fixed_rank4,preference_reversal,28,0.21428571428571427,0.41785544701867255,0.07896725691322382,0.07142857142857142,0.35714285714285715,,,,descriptive_only
reach,fixed_rank4,predicted_tie,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach,fixed_rank4,actual_tie,28,0.03571428571428571,0.18898223650461365,0.03571428571428572,0.0,0.10714285714285714,,,,descriptive_only
reach,fixed_rank4,either_tie,28,0.03571428571428571,0.18898223650461365,0.03571428571428572,0.0,0.10714285714285714,,,,descriptive_only
reach,fixed_rank4,reverse_direction_disagreement,28,0.17857142857142858,0.3900210277874798,0.07370704611510599,0.03571428571428571,0.3214285714285714,,,,descriptive_only
reach,fixed_rank4,non_tied_agreement,28,0.5714285714285714,0.5039526306789697,0.09523809523809525,0.3928571428571428,0.75,,,,descriptive_only
reach,matched_random_fixed_rank4,predicted_H3_own_minus_native,28,0.002888620954139942,0.05476845369416681,0.010350264869023011,-0.015028439876956089,0.024458351823684197,,,,descriptive_only
reach,matched_random_fixed_rank4,actual_H3_own_minus_native,28,0.005773988339517803,0.05580728988380929,0.010546586455503578,-0.013788450861216639,0.026479502471962166,,,,descriptive_only
reach,matched_random_fixed_rank4,preference_reversal,28,0.21428571428571427,0.4178554470186725,0.0789672569132238,0.07142857142857142,0.3928571428571428,,,,descriptive_only
reach,matched_random_fixed_rank4,predicted_tie,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach,matched_random_fixed_rank4,actual_tie,28,0.10714285714285714,0.314970394174356,0.05952380952380952,0.0,0.2142857142857143,,,,descriptive_only
reach,matched_random_fixed_rank4,either_tie,28,0.10714285714285714,0.314970394174356,0.05952380952380952,0.0,0.2142857142857143,,,,descriptive_only
reach,matched_random_fixed_rank4,reverse_direction_disagreement,28,0.17857142857142858,0.3900210277874798,0.07370704611510599,0.03571428571428571,0.3214285714285714,,,,descriptive_only
reach,matched_random_fixed_rank4,non_tied_agreement,28,0.5,0.5091750772173156,0.09622504486493763,0.3214285714285714,0.6785714285714285,,,,descriptive_only
reach-wall,fixed_rank4,predicted_H3_own_minus_native,28,-0.0012079765454733168,0.038229193192597204,0.007224638429303969,-0.015981078705351256,0.012179187712026727,,,,descriptive_only
reach-wall,fixed_rank4,actual_H3_own_minus_native,28,0.0012262964887278674,0.045854075462477405,0.008665605733750305,-0.015578037709263765,0.01789639652440592,,,,descriptive_only
reach-wall,fixed_rank4,preference_reversal,28,0.2857142857142857,0.4600437062282362,0.08694008849288351,0.14285714285714285,0.46428571428571425,,,,descriptive_only
reach-wall,fixed_rank4,predicted_tie,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach-wall,fixed_rank4,actual_tie,28,0.07142857142857142,0.262265264156481,0.049563476177765055,0.0,0.17857142857142855,,,,descriptive_only
reach-wall,fixed_rank4,either_tie,28,0.07142857142857142,0.262265264156481,0.049563476177765055,0.0,0.17857142857142855,,,,descriptive_only
reach-wall,fixed_rank4,reverse_direction_disagreement,28,0.2857142857142857,0.46004370622823615,0.08694008849288351,0.14285714285714285,0.46428571428571425,,,,descriptive_only
reach-wall,fixed_rank4,non_tied_agreement,28,0.35714285714285715,0.4879500364742666,0.09221388919541469,0.17857142857142855,0.5357142857142857,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,predicted_H3_own_minus_native,28,0.0007039116928354096,0.02067677703096107,0.003907543567018248,-0.006192886553970799,0.008929278290847196,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,actual_H3_own_minus_native,28,-0.0027922754575099135,0.015909222002753833,0.003006560355128827,-0.008863035116477704,0.0028915570031053392,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,preference_reversal,28,0.14285714285714285,0.35634832254989923,0.06734350297014739,0.03571428571428571,0.2857142857142857,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,predicted_tie,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,actual_tie,28,0.5,0.5091750772173156,0.09622504486493763,0.3214285714285714,0.6785714285714286,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,either_tie,28,0.5,0.5091750772173156,0.09622504486493763,0.3214285714285714,0.6785714285714286,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,reverse_direction_disagreement,28,0.14285714285714285,0.3563483225498992,0.06734350297014738,0.03571428571428571,0.2857142857142857,,,,descriptive_only
reach-wall,matched_random_fixed_rank4,non_tied_agreement,28,0.21428571428571427,0.4178554470186725,0.0789672569132238,0.07142857142857142,0.3928571428571428,,,,descriptive_only
