kind,task,metric,modality,horizon,bfloat16_mean,float32_mean,sign_agreement,pearson,spearman,n,arm
coupling,reach-wall,factorial_from_arm_losses,visual,3.0,-6.092143371517108e-05,-5.862359647398125e-05,0.9259259259259259,0.6122051987264566,0.6172161172161172,27,
coupling,reach-wall,output_interaction_mse,visual,3.0,0.0001252279506405574,7.412404874231044e-08,1.0,0.15254492805930023,-0.06776556776556776,27,
coupling,reach-wall,factorial_from_arm_losses,visual,4.0,-2.805423451427075e-05,-3.0068871507671962e-05,0.6296296296296297,0.09532722732093742,0.2045177045177045,27,
coupling,reach-wall,factorial_from_arm_losses,visual,5.0,-1.6230153908701422e-05,-9.407137555109648e-06,0.6666666666666666,0.17883731446651918,0.07875457875457875,27,
coupling,reach-wall,factorial_from_arm_losses,visual,6.0,-1.0983487246217042e-05,-5.308511080565893e-06,0.48148148148148145,-0.18604250993780344,-0.10989010989010989,27,
coupling,reach-wall,output_interaction_mse,visual,6.0,0.00019807881280153926,2.865259061619594e-08,1.0,0.24294936454293928,-0.06288156288156288,27,
geometry,pointmaze,omitted_activation_mse,,,0.004798835878161194,1.7850402627143754e-09,1.0,0.16639959098753634,0.3229235730893273,200,cubic
geometry,pointmaze,recorded_proprio_mse_h6,,,0.0032034482494629223,0.003244364753242761,1.0,0.9982825879042543,0.9976029400735019,200,cubic
geometry,pointmaze,recorded_visual_mse_h6,,,0.04300857516266138,0.049354775769132206,1.0,0.9979345260160614,0.9975879396984926,200,cubic
geometry,pointmaze,omitted_activation_mse,,,0.0033742924390616448,1.2530549439379197e-05,1.0,0.4741127216400548,0.4516027900697518,200,equal_anchor_linear
geometry,pointmaze,recorded_proprio_mse_h6,,,0.0032039583351797583,0.003243908223125651,1.0,0.9982843689041804,0.9976089402235057,200,equal_anchor_linear
geometry,pointmaze,recorded_visual_mse_h6,,,0.043000129853417245,0.04935129321817705,1.0,0.9979336006373504,0.9975504387609693,200,equal_anchor_linear
geometry,pointmaze,omitted_activation_mse,,,0.004316541861950756,3.010181838632076e-05,1.0,0.545498473339963,0.5186979674491863,200,projected_cubic
geometry,pointmaze,recorded_proprio_mse_h6,,,0.003205474690261285,0.0032438526234421926,1.0,0.998214872799913,0.9976014400360012,200,projected_cubic
geometry,pointmaze,recorded_visual_mse_h6,,,0.04299448750106824,0.04935128756502994,1.0,0.9979178226421095,0.9975174379359485,200,projected_cubic
geometry,pointmaze,omitted_activation_mse,,,0.013319886030827755,0.00012008152031055898,1.0,0.5739605051503643,0.5483162079051976,200,reflected_curvature
geometry,pointmaze,recorded_proprio_mse_h6,,,0.0032067828812525332,0.003243851738890234,1.0,0.9981298343678064,0.9975234380859522,200,reflected_curvature
geometry,pointmaze,recorded_visual_mse_h6,,,0.04299859170797643,0.04935128617098509,1.0,0.9979193263151396,0.997623940598515,200,reflected_curvature
geometry,pusht,omitted_activation_mse,,,0.007588737815391198,5.498445774218614e-08,1.0,0.011357340926925216,0.03766233766233767,21,cubic
geometry,pusht,recorded_proprio_mse_h6,,,0.00021918030829206665,0.00017906441176014694,1.0,0.8423388879622351,0.8584415584415584,21,cubic
geometry,pusht,recorded_visual_mse_h6,,,0.11168214067727368,0.114045858205018,1.0,0.9883269786396385,0.9844155844155844,21,cubic
geometry,pusht,omitted_activation_mse,,,0.005615198959105331,6.551584172419676e-05,1.0,0.4045469142228657,0.24675324675324672,21,equal_anchor_linear
