cohort,task,episode,metric,learned,random,effect
extension56,reach-wall,14,mean_proposal_entropy_delta_learned_minus_random,2.2525625595636702,1.0622328531439963e-06,2.252561497330817
extension56,reach-wall,15,selected_prefix_rms_learned_minus_random,1.1091016580468493,3.240486009139081e-07,1.1091013339982485
extension56,reach-wall,15,mean_proposal_mean_rms_learned_minus_random,0.5370475842163498,1.110532594855954e-07,0.5370474731630903
extension56,reach-wall,15,mean_proposal_entropy_delta_learned_minus_random,5.468743916872489,-1.231444271354576e-06,5.46874514831676
extension56,reach-wall,16,selected_prefix_rms_learned_minus_random,0.3969556456986142,4.6864290147515963e-07,0.3969551770557127
extension56,reach-wall,16,mean_proposal_mean_rms_learned_minus_random,0.07867590383074878,1.4941864260609881e-07,0.07867575441210617
extension56,reach-wall,16,mean_proposal_entropy_delta_learned_minus_random,1.5877944845220204,-1.725741016104602e-06,1.5877962102630365
extension56,reach-wall,17,selected_prefix_rms_learned_minus_random,0.396794541681521,2.1252283244376954e-07,0.39679432915868856
extension56,reach-wall,17,mean_proposal_mean_rms_learned_minus_random,0.0509155815381893,1.1288355015148764e-07,0.05091546865463915
extension56,reach-wall,17,mean_proposal_entropy_delta_learned_minus_random,0.9528766359798145,-6.024850662811332e-07,0.9528772384648808
extension56,reach-wall,18,selected_prefix_rms_learned_minus_random,0.4021324494453522,2.186574047822117e-07,0.4021322307879474
extension56,reach-wall,18,mean_proposal_mean_rms_learned_minus_random,0.0211249086660989,1.1086886965545964e-07,0.021124797797229245
extension56,reach-wall,18,mean_proposal_entropy_delta_learned_minus_random,-0.14037784153950195,-1.3883641590458257e-07,-0.14037770270308605
extension56,reach-wall,19,selected_prefix_rms_learned_minus_random,3.3382703076362433e-07,1.4919438843397603,-1.4919435505127296
extension56,reach-wall,19,mean_proposal_mean_rms_learned_minus_random,1.289918521919474e-07,0.8139773179950158,-0.8139771890031636
extension56,reach-wall,19,mean_proposal_entropy_delta_learned_minus_random,-3.2749316432045815e-07,-0.0028746767121144027,0.002874349218950082
extension56,reach-wall,20,selected_prefix_rms_learned_minus_random,0.3471659419076013,1.561249638262926e-07,0.34716578578263746
extension56,reach-wall,20,mean_proposal_mean_rms_learned_minus_random,0.11155736569738914,1.4436233250784399e-08,0.11155735126115589
extension56,reach-wall,20,mean_proposal_entropy_delta_learned_minus_random,-0.24145754972652375,-8.81410282242238e-08,-0.24145746158549553
extension56,reach-wall,21,selected_prefix_rms_learned_minus_random,0.8324568350281119,0.7906482001781143,0.04180863484999753
extension56,reach-wall,21,mean_proposal_mean_rms_learned_minus_random,0.4357451300900054,0.4482004119133848,-0.012455281823379405
extension56,reach-wall,21,mean_proposal_entropy_delta_learned_minus_random,2.7532861975141634,0.809094758965091,1.9441914385490724
extension56,reach-wall,22,selected_prefix_rms_learned_minus_random,6.18350769083471e-07,3.7369884663299446e-07,2.446519224504765e-07
extension56,reach-wall,22,mean_proposal_mean_rms_learned_minus_random,1.04888583659817e-07,7.779797469597941e-08,2.7090608963837595e-08
extension56,reach-wall,22,mean_proposal_entropy_delta_learned_minus_random,1.360506037902572e-06,-2.5604529317509637e-07,1.6165513310776683e-06
