population,task,arm,iteration,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
extension56,reach,fixed_rank4,0,proposal_mean_delta_l2,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
extension56,reach,fixed_rank4,0,proposal_mean_delta_rms,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
extension56,reach,fixed_rank4,0,proposal_std_delta_l2,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
extension56,reach,fixed_rank4,0,proposal_std_delta_rms,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
extension56,reach,fixed_rank4,0,native_proposal_entropy_nats,28,170.27262398456074,0.0,0.0,170.27262398456068,170.27262398456074,,,,descriptive_only
extension56,reach,fixed_rank4,0,arm_proposal_entropy_nats,28,170.27262398456074,0.0,0.0,170.27262398456068,170.27262398456074,,,,descriptive_only
extension56,reach,fixed_rank4,0,proposal_entropy_delta_nats,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
extension56,reach,fixed_rank4,0,native_best_runnerup_margin,28,0.058891241039548604,0.052315183301322385,0.00988664034343272,0.04178849884441921,0.07987904069679119,,,,descriptive_only
extension56,reach,fixed_rank4,0,arm_best_runnerup_margin,28,0.05885629143033709,0.052322501752113254,0.009888023400630927,0.04171825200319291,0.07989918419292995,,,,descriptive_only
extension56,reach,fixed_rank4,0,best_runnerup_margin_delta,28,-3.4949609211512976e-05,0.0009187084426385343,0.00017361957618550073,-0.00038841781871659404,0.0002850597458226339,,,,descriptive_only
extension56,reach,fixed_rank4,0,native_elite_boundary_margin,28,0.006755249840872628,0.009385999626257855,0.0017737872012016768,0.0036420617784772608,0.010445715806313923,,,,descriptive_only
extension56,reach,fixed_rank4,0,arm_elite_boundary_margin,28,0.0067050329276493615,0.009318928751994466,0.0017611119973790618,0.0036085211804934908,0.010362552745001656,,,,descriptive_only
extension56,reach,fixed_rank4,0,elite_boundary_margin_delta,28,-5.02169132232666e-05,0.00034783537209900315,6.57347065546841e-05,-0.000171835720539093,8.042369570050919e-05,,,,descriptive_only
extension56,reach,fixed_rank4,1,proposal_mean_delta_l2,28,0.17125312071427942,0.5037731939820195,0.0952041848897946,3.178976735851805e-08,0.3573737331778857,,,,descriptive_only
extension56,reach,fixed_rank4,1,proposal_mean_delta_rms,28,0.015633199543061017,0.04598799036839632,0.008690913272172167,2.9019954466836256e-09,0.032623609186893394,,,,descriptive_only
extension56,reach,fixed_rank4,1,proposal_std_delta_l2,28,0.1289133993976549,0.3828838483940941,0.07235824599100932,7.163123452998484e-08,0.28007858507859157,,,,descriptive_only
extension56,reach,fixed_rank4,1,proposal_std_delta_rms,28,0.011768129469128077,0.03495235344497225,0.006605373925130592,6.5390071623359435e-09,0.025567559820279067,,,,descriptive_only
extension56,reach,fixed_rank4,1,native_proposal_entropy_nats,28,164.56979630759633,3.1865721314562347,0.6022055281858728,163.37282109965057,165.6795815307121,,,,descriptive_only
extension56,reach,fixed_rank4,1,arm_proposal_entropy_nats,28,164.51832360220826,3.1223611919574417,0.5900708012313285,163.3259401147835,165.59750096017032,,,,descriptive_only
extension56,reach,fixed_rank4,1,proposal_entropy_delta_nats,28,-0.05147270538807395,0.47944467329813495,0.09060652664010534,-0.23148037063107957,0.11059347329438347,,,,descriptive_only
extension56,reach,fixed_rank4,1,native_best_runnerup_margin,28,0.039171612688473294,0.04151188555437982,0.00784500897359026,0.02536595735166754,0.055222670680710226,,,,descriptive_only
extension56,reach,fixed_rank4,1,arm_best_runnerup_margin,28,0.040432265826634,0.04317829929916854,0.00815993157002246,0.026112606642501698,0.05709249473043846,,,,descriptive_only
extension56,reach,fixed_rank4,1,best_runnerup_margin_delta,28,0.0012606531381607056,0.019170128407412973,0.00362281374051353,-0.00562531394617898,0.00908572668475764,,,,descriptive_only
extension56,reach,fixed_rank4,1,native_elite_boundary_margin,28,0.010405563882419042,0.012044963823280066,0.0022762842019406282,0.006421274212854248,0.0151624639651605,,,,descriptive_only
extension56,reach,fixed_rank4,1,arm_elite_boundary_margin,28,0.010889155524117606,0.011577089117397635,0.0021878641936190282,0.007026189459221703,0.015438277327588618,,,,descriptive_only
extension56,reach,fixed_rank4,1,elite_boundary_margin_delta,28,0.0004835916416985648,0.003023016510536795,0.0005712964211516163,-0.00045048158083643225,0.0017002951885972694,,,,descriptive_only
extension56,reach,fixed_rank4,2,proposal_mean_delta_l2,28,0.2940649664487373,0.7486346792021619,0.1414786560005385,0.04993830227896817,0.5881298224685654,,,,descriptive_only
extension56,reach,fixed_rank4,2,proposal_mean_delta_rms,28,0.02684433591599555,0.06834068352161128,0.012915175216168093,0.0045587224402837525,0.053688661751256986,,,,descriptive_only
extension56,reach,fixed_rank4,2,proposal_std_delta_l2,28,0.21435850838000842,0.5520422664062665,0.10432618215053197,0.03451812064083998,0.4309798125453757,,,,descriptive_only
