task,bank,arm,modality,horizon,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fresh,all_blocks_h3_donor,visual,3,spearman_loss,8,8,0.063747056432570157,0.05615141648101514,0.071265902954477281
reach,fresh,all_blocks_h3_donor,visual,3,native_top10_overlap,8,8,6.875,6,7.75
reach,fresh,all_blocks_h3_donor,visual,3,centered_cost_change_rms,8,8,0.0509487886330212,0.041567592013222757,0.062673882941020581
reach,fresh,all_blocks_h3_donor,visual,4,donor_reconstruction,8,8,0.46746312531115441,0.45548755121548223,0.47820130741798378
reach,fresh,all_blocks_h3_donor,visual,4,numerator_mse_mean,8,8,0.083570949998999874,0.07816555526954061,0.088932692757546117
reach,fresh,all_blocks_h3_donor,visual,4,denominator_mse_mean,8,8,0.15698773467208402,0.14714847610893883,0.16735377387360129
reach,fresh,all_blocks_h3_donor,visual,4,native_spearman,8,8,0.93625294356742983,0.92873409704552279,0.94384858351898493
reach,fresh,all_blocks_h3_donor,visual,4,spearman_loss,8,8,0.063747056432570157,0.05615141648101514,0.071265902954477281
reach,fresh,all_blocks_h3_donor,visual,4,native_top10_overlap,8,8,6.875,6,7.75
reach,fresh,all_blocks_h3_donor,visual,4,centered_cost_change_rms,8,8,0.0509487886330212,0.041567592013222757,0.062673882941020581
reach,fresh,all_blocks_h3_donor,visual,6,donor_reconstruction,8,8,0.50263871652473135,0.48723286476752636,0.51498045535272596
reach,fresh,all_blocks_h3_donor,visual,6,numerator_mse_mean,8,8,0.086761178733445785,0.081356657189949277,0.092985616496042256
reach,fresh,all_blocks_h3_donor,visual,6,denominator_mse_mean,8,8,0.17446333220155236,0.16417999203502295,0.18571190346666477
reach,fresh,all_blocks_h3_donor,visual,6,native_spearman,8,8,0.93625294356742983,0.92873409704552279,0.94384858351898493
reach,fresh,all_blocks_h3_donor,visual,6,spearman_loss,8,8,0.063747056432570157,0.05615141648101514,0.071265902954477281
reach,fresh,all_blocks_h3_donor,visual,6,native_top10_overlap,8,8,6.875,6,7.75
reach,fresh,all_blocks_h3_donor,visual,6,centered_cost_change_rms,8,8,0.0509487886330212,0.041567592013222757,0.062673882941020581
reach,fresh,all_blocks_persistent_donor,official,3,donor_reconstruction,8,8,1,1,1
reach,fresh,all_blocks_persistent_donor,official,3,numerator_mse_mean,8,8,0,0,0
reach,fresh,all_blocks_persistent_donor,official,3,denominator_mse_mean,8,8,0.045206001291607442,0.042550810582946914,0.047850867946738089
