task,iteration,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,13,proposal_entropy_nats,32,32,38.743972023332574,31.06293889378618,46.05625449268544
reach,13,proposal_std_mean,32,32,0.45804139133542776,0.4311862633563578,0.4844015704235062
reach,13,best_cost,32,32,0.5139895277097821,0.4482421316206455,0.5872182679129765
reach,13,best_runnerup_margin,32,32,0.0027188900858163834,0.0018361637135967611,0.003736754739657044
reach,13,elite_boundary_margin,32,32,0.0004927776753902435,0.00035053440369665624,0.0006553203798830507
reach,14,proposal_entropy_nats,32,32,24.891741096928143,16.685804088064287,32.83264041408466
reach,14,proposal_std_mean,32,32,0.41270443983376026,0.3871871035778895,0.4385450055124238
reach,14,best_cost,32,32,0.5063398275524378,0.44237027170602233,0.5779253618326038
reach,14,best_runnerup_margin,32,32,0.0024475054815411568,0.0014530171640217305,0.0036142145283520216
reach,14,elite_boundary_margin,32,32,0.0004099821671843529,0.00024237327743321658,0.0006393860094249242
reach-wall,0,proposal_entropy_nats,32,32,170.2726239845607,170.2726239845607,170.2726239845607
reach-wall,0,proposal_std_mean,32,32,1.0,1.0,1.0
reach-wall,0,best_cost,32,32,2.1242801062762737,2.051216786261648,2.194633529987186
reach-wall,0,best_runnerup_margin,32,32,0.06542275846004486,0.043063818383961915,0.09431327385827898
reach-wall,0,elite_boundary_margin,32,32,0.0048454031348228455,0.003161961957812309,0.006801837868988512
reach-wall,1,proposal_entropy_nats,32,32,163.10031631360062,162.04594877071384,164.11842457608353
reach-wall,1,proposal_std_mean,32,32,0.970846988260746,0.9625713979359716,0.9790684667881578
reach-wall,1,best_cost,32,32,1.79631582275033,1.6995161516591906,1.892147348821163
reach-wall,1,best_runnerup_margin,32,32,0.04565740376710892,0.03248308701440692,0.05959543893113729
reach-wall,1,elite_boundary_margin,32,32,0.007804889231920242,0.005410051625221968,0.010441636387258767
reach-wall,2,proposal_entropy_nats,32,32,156.74004242906253,155.23341628408554,158.24172540849466
reach-wall,2,proposal_std_mean,32,32,0.9488324709236622,0.9378095111344009,0.9599221734795719
reach-wall,2,best_cost,32,32,1.4748716801404953,1.3709032030776143,1.5799902781378474
reach-wall,2,best_runnerup_margin,32,32,0.054772570729255676,0.03629344878718257,0.07531058532185851
reach-wall,2,elite_boundary_margin,32,32,0.006353780627250671,0.004429194983094931,0.008511007018387313
reach-wall,3,proposal_entropy_nats,32,32,148.0103568298856,146.0444386498543,149.91052359741985
reach-wall,3,proposal_std_mean,32,32,0.9088285155594349,0.8947213859297335,0.9225205860566348
reach-wall,3,best_cost,32,32,1.2255996838212013,1.1171030772849917,1.3368890996091067
reach-wall,3,best_runnerup_margin,32,32,0.036846255883574486,0.024889243207871913,0.050084276637062414
reach-wall,3,elite_boundary_margin,32,32,0.00473329983651638,0.0033727700356394053,0.006243259320035577
reach-wall,4,proposal_entropy_nats,32,32,140.55822472410802,138.3911702303928,142.70707127605397
reach-wall,4,proposal_std_mean,32,32,0.8777081314474344,0.862883805995807,0.8922695130575449
reach-wall,4,best_cost,32,32,1.0633638426661491,0.9593534584157168,1.1707264186348765
reach-wall,4,best_runnerup_margin,32,32,0.028275879099965096,0.019024816714227198,0.038347793463617545
reach-wall,4,elite_boundary_margin,32,32,0.005227360874414444,0.0036338902544230224,0.007005694089457392
reach-wall,5,proposal_entropy_nats,32,32,132.1633578999727,129.8283879462085,134.63278733047872
reach-wall,5,proposal_std_mean,32,32,0.8388515263795853,0.8237100315280259,0.8543954842723906
reach-wall,5,best_cost,32,32,0.9173163333907723,0.8146988021908328,1.0227902637561783
reach-wall,5,best_runnerup_margin,32,32,0.024070614017546177,0.015516077657230199,0.03439709965605287
reach-wall,5,elite_boundary_margin,32,32,0.0028895512223243713,0.0019711580593138934,0.004169445671141147
reach-wall,6,proposal_entropy_nats,32,32,123.71619524473516,121.28604315428925,126.46361039315784
reach-wall,6,proposal_std_mean,32,32,0.8008060436695814,0.7854891796596348,0.8180041166488081
reach-wall,6,best_cost,32,32,0.8208961170166731,0.7245113701093941,0.9210661368677392
reach-wall,6,best_runnerup_margin,32,32,0.01722392626106739,0.011421087454073131,0.025067961774766438
reach-wall,6,elite_boundary_margin,32,32,0.002619761973619461,0.0017500759102404117,0.003633870230987668
reach-wall,7,proposal_entropy_nats,32,32,115.90670469276685,113.14395941269737,118.97054390513617
reach-wall,7,proposal_std_mean,32,32,0.7671586666256189,0.750137114385143,0.7855033150874078
reach-wall,7,best_cost,32,32,0.7554403161630034,0.667270686570555,0.8465796661330387
reach-wall,7,best_runnerup_margin,32,32,0.013964427635073662,0.010183029249310494,0.018094911449588833
reach-wall,7,elite_boundary_margin,32,32,0.0017909035086631775,0.001257148920558393,0.0024341847514733664
reach-wall,8,proposal_entropy_nats,32,32,106.7569559372667,103.8974511257085,109.94896402025785
reach-wall,8,proposal_std_mean,32,32,0.7249006517231464,0.7081868214067072,0.7430502100382
reach-wall,8,best_cost,32,32,0.7141934167593718,0.6309723624959588,0.7995997775811702
reach-wall,8,best_runnerup_margin,32,32,0.01042517926543951,0.007356201228685677,0.013836122490465627
reach-wall,8,elite_boundary_margin,32,32,0.0017238939180970192,0.0010777162155136467,0.0024618005380034444
reach-wall,9,proposal_entropy_nats,32,32,96.41874472853942,93.24493863137647,99.8002878186261
reach-wall,9,proposal_std_mean,32,32,0.6793789565563202,0.6613276751246303,0.6979582878760994
reach-wall,9,best_cost,32,32,0.6837746500968933,0.6071096385829151,0.7627768620150163
reach-wall,9,best_runnerup_margin,32,32,0.009799402207136154,0.006594147672876716,0.013410337665118266
reach-wall,9,elite_boundary_margin,32,32,0.0012357141822576523,0.0007964808959513902,0.0017572302604094146
reach-wall,10,proposal_entropy_nats,32,32,84.13506761922766,80.42721677526613,88.03060364437792
reach-wall,10,proposal_std_mean,32,32,0.6229606978595257,0.602503309911117,0.6445296372286975
reach-wall,10,best_cost,32,32,0.6596169779077172,0.5869605223182589,0.735068411938846
reach-wall,10,best_runnerup_margin,32,32,0.007359372451901436,0.005070798215456307,0.009941658447496591
reach-wall,10,elite_boundary_margin,32,32,0.0009986814111471176,0.0006343106972053647,0.0014151824172586199
reach-wall,11,proposal_entropy_nats,32,32,71.42976829001495,66.85052574315635,76.03625594501945
reach-wall,11,proposal_std_mean,32,32,0.5704746302217245,0.5465093432925642,0.594998697633855
reach-wall,11,best_cost,32,32,0.6431137388572097,0.5729945340659469,0.7158816155511885
reach-wall,11,best_runnerup_margin,32,32,0.0039806608110666275,0.002722222008742392,0.005537000438198441
reach-wall,11,elite_boundary_margin,32,32,0.0006778137758374214,0.0004966256441548466,0.0008821936557069421
reach-wall,12,proposal_entropy_nats,32,32,59.18576725874544,53.611160982757916,64.64757096210695
reach-wall,12,proposal_std_mean,32,32,0.5243758801370859,0.4986876755952835,0.5505302784498781
reach-wall,12,best_cost,32,32,0.6262684818357229,0.5582580662565306,0.6963116329396143
reach-wall,12,best_runnerup_margin,32,32,0.0047192759811878204,0.003201292594894767,0.006412242329679428
reach-wall,12,elite_boundary_margin,32,32,0.0006965193897485733,0.00047657971736043693,0.0009456147672608495
reach-wall,13,proposal_entropy_nats,32,32,46.369786895436405,40.04036142982956,52.569911914690096
reach-wall,13,proposal_std_mean,32,32,0.4797190735116601,0.4541078926762566,0.5055092414375394
reach-wall,13,best_cost,32,32,0.6136598093435168,0.5481755304848775,0.6818000979255885
reach-wall,13,best_runnerup_margin,32,32,0.004750147461891174,0.0027918236330151556,0.0074358626967296
reach-wall,13,elite_boundary_margin,32,32,0.0006360579282045364,0.0003933170344680548,0.0009159806417301294
reach-wall,14,proposal_entropy_nats,32,32,32.55243928288602,25.682112682082277,39.337680285617246
reach-wall,14,proposal_std_mean,32,32,0.43627285957336426,0.41162318754941224,0.46139903718139974
reach-wall,14,best_cost,32,32,0.6043231105431914,0.5403058531926945,0.6714060180587693
reach-wall,14,best_runnerup_margin,32,32,0.0033885203301906586,0.00238874820061028,0.004498660168610512
reach-wall,14,elite_boundary_margin,32,32,0.000555514357984066,0.000344263412989676,0.0008197620743885636
