source_id,task,precision,control,intervention,metric,control_mean,intervention_mean,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high
S03,reach,bfloat16,equal_anchor_linear,cubic,omitted_activation_mse,0.0005573343276648872,0.000816098366119673,-0.0002587640384547859,-0.0002673956061252366,-0.0002500972510833982,33,-46.428871435024,-46.856634731549015,-46.01828732192583
S03,reach,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h1,0.00022758262881380326,0.00022758262881380326,0.0,0.0,0.0,33,0.0,0.0,0.0
S03,reach,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h2,0.0003022944126691201,0.0003022944126691201,0.0,0.0,0.0,33,0.0,0.0,0.0
S03,reach,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h3,0.0004139891132507902,0.00041389314342314264,9.596982764755622e-08,-1.926538213106957e-08,2.1113385568554132e-07,33,0.023179437774705252,-0.004678666679333013,0.05130034989168663
S03,reach,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h4,0.0005329564669235042,0.0005328913854155513,6.508150795296095e-08,-1.2064822716307712e-07,2.4326145653549376e-07,33,0.012210401899221283,-0.022444205325657274,0.04646192372334046
S03,reach,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h5,0.00068456131239972,0.0006845637694024129,-2.4570026928732746e-09,-2.653536251851988e-07,2.541077435925238e-07,33,-0.0003588462726869604,-0.038519702599012065,0.03680288231658676
S03,reach,bfloat16,equal_anchor_linear,cubic,recorded_proprio_mse_h6,0.0008584252419339721,0.0008583424922640787,8.27496698933845e-08,-2.9042588317277697e-07,4.523412866491686e-07,33,0.009638077176998855,-0.03414243198747754,0.051321999728066045
S03,reach,bfloat16,equal_anchor_linear,cubic,raw_native_proprio_fidelity_mse_h3,1.2927626682833971e-06,1.3632034498879299e-06,-7.044078160453235e-08,-8.002043042679066e-08,-6.17927793153927e-08,33,-5.448856416782794,-5.976182972506353,-4.919514928541549
S03,reach,bfloat16,equal_anchor_linear,cubic,delivered_native_proprio_fidelity_mse_h3,1.2842318814607712e-06,1.264523783931975e-06,1.9708097528796364e-08,1.3883569672408725e-08,2.5708974887726922e-08,33,1.5346214194884384,1.0785086241984634,1.9995530301072746
S03,reach,bfloat16,equal_anchor_linear,cubic,raw_native_proprio_fidelity_mse_h6,1.7670048425093274e-06,1.7706318040713903e-06,-3.6269615620629624e-09,-1.5265942395007708e-08,7.983628964210504e-09,33,-0.20526042005138515,-0.8715508360915042,0.4500386343328521
