candidate_centered_fraction,between_call_fraction,scenario_mean_fraction,common_to_candidates_fraction,total_coefficient_energy,calls,task,arm,scenario,max_relative_coefficient_vs_requested_norm_error,first_iteration_fraction,last_first_plan_iteration_fraction
0.005423068352281729,0.3679919664162531,0.6265849652314652,0.9945769316477182,812707.6844914858,75,reach,fixed_rank4,scenario-000,1.553643598533655e-07,0.005060065226378331,0.0020626525218441676
0.0012519951162581915,0.06690144563953349,0.931846559244208,0.9987480048837416,812707.6481154043,75,reach,matched_random_fixed_rank4,scenario-000,1.960320532635996e-07,0.0017866329375482287,0.0007453266217114529
0.007954116186111386,0.13194526999237235,0.8601006138215161,0.9920458838138885,812707.6929553146,75,reach,fixed_rank4,scenario-001,1.4253908627111544e-07,0.004878393754221432,0.007601469278226051
0.0017602755370409791,0.09052941057528417,0.9077103138876746,0.9982397244629588,812707.6093894683,75,reach,matched_random_fixed_rank4,scenario-001,2.188192071013102e-07,0.001856026096340111,0.0009809327873727671
0.021612366127468412,0.25134453090894415,0.7270431029635874,0.9783876338725315,812707.7104920063,75,reach,fixed_rank4,scenario-002,1.5071069155475713e-07,0.005383729100157545,0.009103114818938779
0.003897824172674932,0.11680005128696859,0.8793021245403569,0.9961021758273254,812707.6231640726,75,reach,matched_random_fixed_rank4,scenario-002,2.2638008429037317e-07,0.0027620731042263145,0.004642851525670739
0.01670447139456511,0.41671659159058144,0.5665789370148532,0.9832955286054347,812707.6921674808,75,reach,fixed_rank4,scenario-003,1.5039595578037912e-07,0.004138240800369431,0.004003729755333916
0.004123566253876376,0.08567380781591484,0.9102026259302083,0.995876433746123,812707.634840939,75,reach,matched_random_fixed_rank4,scenario-003,2.2041868872139198e-07,0.0018940617375138096,0.0011713935349117978
0.024161992602234606,0.3389871914495727,0.6368508159481928,0.9758380073977656,812707.7014785958,75,reach,fixed_rank4,scenario-004,1.570726156060542e-07,0.004234107784877974,0.008110140386235046
0.005742392923681012,0.15031073863317615,0.8439468684431427,0.9942576070763188,812707.6156752596,75,reach,matched_random_fixed_rank4,scenario-004,2.3460219096982702e-07,0.002380427527925943,0.003816310700273438
0.005876551555784052,0.4108908208510954,0.5832326275931206,0.9941234484442159,812707.6857947061,75,reach,fixed_rank4,scenario-005,1.373254597287705e-07,0.004585164972401157,0.0013135487545654777
0.0013719783945833068,0.0670605555492391,0.9315674660561775,0.9986280216054165,812707.6493922697,75,reach,matched_random_fixed_rank4,scenario-005,1.984948069753254e-07,0.0019448495030658097,0.00038297431570211154
0.01735279349563715,0.1042690525193857,0.8783781539849769,0.9826472065043627,812707.7339811579,75,reach,fixed_rank4,scenario-006,1.425512392080108e-07,0.004210885776000808,0.005051131533325134
0.007436654012496413,0.09536921979578701,0.8971941261917167,0.9925633459875038,812707.5780440898,75,reach,matched_random_fixed_rank4,scenario-006,2.41908222161901e-07,0.0031223232209958178,0.002455390546548771
0.016149409483899757,0.11906738447432622,0.8647832060417745,0.9838505905161008,812707.7259361636,75,reach,fixed_rank4,scenario-007,1.402195082714615e-07,0.004224608234791421,0.007429774506678555
0.008753991209503858,0.07887390744770538,0.9123721013427906,0.991246008790496,812707.581232452,75,reach,matched_random_fixed_rank4,scenario-007,2.2598734130728838e-07,0.0030699414425733288,0.001972751453605811
0.006802840774717036,0.3070673382399463,0.6861298209853365,0.9931971592252828,812707.6819216897,75,reach,fixed_rank4,scenario-008,1.5489342896970905e-07,0.005967167933086087,0.0032450573790134044
0.0014321764256805523,0.08468174004205604,0.9138860835322634,0.9985678235743195,812707.6384179189,75,reach,matched_random_fixed_rank4,scenario-008,1.9638701584147178e-07,0.0018266206516543142,0.0011421404865861692
0.017762272331658353,0.11637071565059107,0.8658670120177507,0.9822377276683417,812707.734815229,75,reach,fixed_rank4,scenario-009,1.3420107138681244e-07,0.003963838921480019,0.0082485662276172
0.0074125213413101,0.12253016742773928,0.8700573112309503,0.9925874786586896,812707.5951152632,75,reach,matched_random_fixed_rank4,scenario-009,2.321582048153482e-07,0.0028601563666466557,0.005619426647849745
0.011463216022339014,0.3733815557165281,0.6151552282611329,0.9885367839776609,812707.6996547816,75,reach,fixed_rank4,scenario-010,1.4298787311470057e-07,0.005227691574208734,0.00595007098544363
0.0023821469936508486,0.10007405399724786,0.8975437990091016,0.9976178530063494,812707.6436789617,75,reach,matched_random_fixed_rank4,scenario-010,2.0735883578032157e-07,0.0023736157659323977,0.0037611624616293014
0.009959989443563907,0.24911147971867012,0.7409285308377657,0.9900400105564358,812707.6799979641,75,reach,fixed_rank4,scenario-011,1.6150581884816664e-07,0.004672172695505301,0.0015330966492569157
0.0027025685616143057,0.07822626417892058,0.9190711672594651,0.9972974314383858,812707.637031098,75,reach,matched_random_fixed_rank4,scenario-011,2.090209884376911e-07,0.0025298314364904954,0.0016723820498430108
0.011632414661240636,0.4361688046297368,0.5521987807090221,0.9883675853387589,812707.6983054247,75,reach,fixed_rank4,scenario-012,1.4215494203661185e-07,0.003866653214338037,0.004279059956777279
0.0026597442357590238,0.11488304622517961,0.8824572095390616,0.9973402557642412,812707.6395612382,75,reach,matched_random_fixed_rank4,scenario-012,2.1513758473138696e-07,0.0028317394775198754,0.003245145440974728
0.005389168577258929,0.3161614539608148,0.6784493774619265,0.9946108314227412,812707.6766914512,75,reach,fixed_rank4,scenario-013,1.574156667336489e-07,0.002760964470163714,0.0011583660314630792
0.0016702636714470683,0.060276635058787074,0.9380531012697663,0.9983297363285533,812707.6447522005,75,reach,matched_random_fixed_rank4,scenario-013,2.1549935064327458e-07,0.0015976823387523977,0.0014275028063491524
0.022994074590319012,0.09507474182156107,0.8819311835881192,0.9770059254096803,812707.7341290852,75,reach,fixed_rank4,scenario-014,1.3796604125495154e-07,0.006080312312645982,0.01212074945250058
0.011008268104258331,0.113987101292609,0.8750046306031324,0.9889917318957414,812707.5834788408,75,reach,matched_random_fixed_rank4,scenario-014,2.3603573382567244e-07,0.002937420578496539,0.006569257886442554
0.005354118091563034,0.2927254840433797,0.7019203978650572,0.994645881908437,812707.6770035155,75,reach,fixed_rank4,scenario-015,1.7444800349001307e-07,0.004344721289989867,0.0007366236014498995
0.0011179961677373286,0.06714980228045629,0.9317322015518065,0.9988820038322628,812707.6442976481,75,reach,matched_random_fixed_rank4,scenario-015,2.115615551713808e-07,0.0018011629373907868,0.0008165991512485331
0.005841974476833962,0.05583264622497114,0.9383253792981938,0.9941580255231649,812707.6826901009,75,reach,fixed_rank4,scenario-016,1.6086765337863574e-07,0.003806707000184181,0.0009989730482901614
0.005220687663892882,0.034184757730036694,0.96059455460607,0.9947793123361067,812707.5115869156,75,reach,matched_random_fixed_rank4,scenario-016,2.4553592608512634e-07,0.0021152411040870796,0.00117569808020354
0.006040318794391478,0.3482397240585877,0.6457199571470207,0.9939596812056085,812707.6835997214,75,reach,fixed_rank4,scenario-017,1.4824571223241632e-07,0.007752280677508972,0.001045337577518053
0.001610638308110875,0.07024571798477688,0.928143643707113,0.9983893616918897,812707.6445799,75,reach,matched_random_fixed_rank4,scenario-017,2.078655651992265e-07,0.0021837321919517907,0.0011030193877248876
0.00668299900641731,0.26775215338346003,0.7255648476101231,0.9933170009935831,812707.6753381429,75,reach,fixed_rank4,scenario-018,1.4650176602041923e-07,0.007726611291425249,0.0008806254240178172
0.0015552236711586485,0.06941521059645445,0.9290295657323869,0.9984447763288413,812707.6409701798,75,reach,matched_random_fixed_rank4,scenario-018,1.9400951956798607e-07,0.0024150865404137154,0.0007549242433238357
0.008884628541965214,0.128608999334563,0.8625063721234716,0.9911153714580345,812707.6835437843,75,reach,fixed_rank4,scenario-019,1.462046620771743e-07,0.0033545974333231,0.0024520351130170362
0.0032532750990548675,0.09546737427354345,0.9012793506274022,0.9967467249009455,812707.6219829601,75,reach,matched_random_fixed_rank4,scenario-019,2.2094104751300813e-07,0.0022132520861512235,0.001499894276906528
0.01602770670822526,0.08693200482018851,0.8970402884715863,0.9839722932917749,812707.7333942502,75,reach,fixed_rank4,scenario-020,1.348749482599732e-07,0.0032162850203628092,0.007497575486857343
0.009189957947159329,0.07336310258369255,0.9174469394691477,0.9908100420528402,812707.5784452766,75,reach,matched_random_fixed_rank4,scenario-020,2.4764959528419987e-07,0.0021867866041387217,0.003301897952298367
0.01905392507203532,0.14372446606346537,0.8372216088644997,0.980946074927965,812707.7101807786,75,reach,fixed_rank4,scenario-021,1.5599728375866712e-07,0.006438862461750482,0.008517057171873284
0.004935449585695513,0.12790419701888345,0.867160353395421,0.9950645504143044,812707.6159189751,75,reach,matched_random_fixed_rank4,scenario-021,2.1970334259296633e-07,0.003297496029483228,0.004164001803336848
0.004774731765324763,0.264425959078965,0.7307993091557101,0.995225268234675,812707.6724481364,75,reach,fixed_rank4,scenario-022,1.5454447061702797e-07,0.007909772595109506,0.000512735323291738
0.001481614409581105,0.06198827157028904,0.9365301140201298,0.9985183855904188,812707.6408759961,75,reach,matched_random_fixed_rank4,scenario-022,2.035802428465451e-07,0.0023102876410574045,0.001353982301679382
0.006998145251171059,0.12735806134712097,0.8656437934017078,0.9930018547488287,812707.6601763294,75,reach,fixed_rank4,scenario-023,1.620174754970526e-07,0.004914504977703134,0.0021541773478643603
0.0019128790540010208,0.07278486177145929,0.9253022591745399,0.9980871209459992,812707.6325984104,75,reach,matched_random_fixed_rank4,scenario-023,2.0175923139410547e-07,0.002213433106837579,0.0014447118674534715
0.024505560402451308,0.24671062157794224,0.7287838180196062,0.9754944395975484,812707.7143085762,75,reach,fixed_rank4,scenario-024,1.260195548801917e-07,0.003824334127417898,0.0024340095436627637
0.004466839294175179,0.11783721376894689,0.8776959469368781,0.9955331607058251,812707.6279643298,75,reach,matched_random_fixed_rank4,scenario-024,2.1345862575821606e-07,0.00302285909566458,0.001387676053173961
0.012407949017912479,0.35116687437330824,0.6364251766087792,0.9875920509820874,812707.6912744347,75,reach,fixed_rank4,scenario-025,1.4087366628140282e-07,0.003919835741104851,0.002259958765494646
0.002463363971578044,0.10597889703700783,0.8915577389914138,0.9975366360284217,812707.6354233006,75,reach,matched_random_fixed_rank4,scenario-025,2.1521619356431778e-07,0.002469255971025022,0.002257339738450342
0.010945120000223666,0.41068560833708373,0.5783692716626928,0.9890548799997766,812707.6891825293,75,reach,fixed_rank4,scenario-026,1.6156330876443507e-07,0.0035890587821370756,0.002351674656810878
0.002478033297875953,0.09259634662292196,0.9049256200792014,0.9975219667021235,812707.6453443582,75,reach,matched_random_fixed_rank4,scenario-026,2.0854739401602588e-07,0.002486721541679096,0.001180037295464908
0.019160677579580294,0.31925446220969805,0.6615848602107223,0.9808393224204204,812707.7068094974,75,reach,fixed_rank4,scenario-027,1.5106405662949668e-07,0.004007838270312142,0.012354350226052488
0.004431836036135662,0.11077031652582742,0.8847978474380375,0.9955681639638648,812707.6272930981,75,reach,matched_random_fixed_rank4,scenario-027,2.139468789144438e-07,0.0020885740075036858,0.003947768814970328
0.006169139131935962,0.14864316423961108,0.8451876966284528,0.9938308608680639,812707.6739147215,75,reach,fixed_rank4,scenario-028,1.3900574262221527e-07,0.005285708508572459,0.00313089466874862
0.0016157345762065143,0.06568278744980309,0.9327014779739901,0.9983842654237931,812707.6317861829,75,reach,matched_random_fixed_rank4,scenario-028,2.0976011209731856e-07,0.002197931182823466,0.0005556732062214796
0.014161792146381871,0.03743711377595757,0.9484010940776613,0.9858382078536188,812707.7000186067,75,reach,fixed_rank4,scenario-029,1.5497401612581417e-07,0.00469603827974615,0.012755414986698153
0.012560019539571268,0.026161360506077744,0.961278619954351,0.9874399804604287,812707.5275133462,75,reach,matched_random_fixed_rank4,scenario-029,2.4353229936412203e-07,0.0018265978061694438,0.003755557718132139
0.014355191825268275,0.174712579325594,0.8109322288491381,0.985644808174732,812707.6897224654,75,reach,fixed_rank4,scenario-030,1.3401689884281793e-07,0.0036577185396443695,0.0028086160693831437
0.0035516298854626,0.0932106054955828,0.9032377646189543,0.9964483701145371,812707.6296605236,75,reach,matched_random_fixed_rank4,scenario-030,2.0392352067312276e-07,0.0019285816235148335,0.002819479175218408
0.008455809572299553,0.04641475662545502,0.945129433802246,0.991544190427701,812707.6784368143,75,reach,fixed_rank4,scenario-031,1.5317730432159513e-07,0.004336971012470721,0.0017801850930864005
0.009023013061690139,0.10198952958127457,0.8889874573570352,0.9909769869383098,812707.5318229775,75,reach,matched_random_fixed_rank4,scenario-031,2.4387916602611945e-07,0.0030504302808724297,0.0011067916602207405
0.011970561474008814,0.22014205176699173,0.7678873867589994,0.9880294385259911,812707.6923686088,75,reach,fixed_rank4,scenario-032,1.5886678273635691e-07,0.0031500861210275424,0.0035886233862765047
0.003267964677226557,0.09483946681089625,0.901892568511877,0.9967320353227732,812707.6286265998,75,reach,matched_random_fixed_rank4,scenario-032,2.3371315146456206e-07,0.002108890275951598,0.0019343766715632777
0.01339560590904399,0.09462154091518567,0.8919828531757705,0.9866043940909561,812707.7118090703,75,reach,fixed_rank4,scenario-033,1.3223195779703195e-07,0.003949258565256512,0.0043112596010262206
0.004319103283591634,0.07149581886368989,0.9241850778527182,0.995680896716408,812707.5983174792,75,reach,matched_random_fixed_rank4,scenario-033,2.2439590543214098e-07,0.0022283007893051207,0.002506614122880551
0.005886252262620109,0.3783980735052724,0.6157156742321078,0.9941137477373801,812707.6825335326,75,reach,fixed_rank4,scenario-034,1.5794418934223008e-07,0.0035840946167121548,0.0006197665554529289
0.0010879132136528528,0.07160774129641936,0.927304345489928,0.9989120867863475,812707.64474041,75,reach,matched_random_fixed_rank4,scenario-034,2.116510754076415e-07,0.0016273607423177756,0.0007321513296878258
0.006189523914123811,0.3197553774786764,0.6740550986072003,0.9938104760858767,812707.6892723996,75,reach,fixed_rank4,scenario-035,1.4223945908247605e-07,0.005626594303720779,0.0038062104699135802
0.001118479826431898,0.05162049966216054,0.947261020511408,0.9988815201735686,812707.6540179531,75,reach,matched_random_fixed_rank4,scenario-035,1.9817874292815804e-07,0.0016678461219518349,0.0006045962110172258
0.005890573734393007,0.27967424975894095,0.7144351765066665,0.9941094262656074,812707.6784206568,75,reach,fixed_rank4,scenario-036,1.571507871493562e-07,0.005903156938688462,0.0003071446896089034
0.0012557694074663507,0.04884594977506781,0.9498982808174661,0.9987442305925339,812707.6483059768,75,reach,matched_random_fixed_rank4,scenario-036,2.025318194590776e-07,0.001955958282310895,0.0001686514272570899
0.005449485424913312,0.35733092228647717,0.6372195922886096,0.9945505145750868,812707.6885444429,75,reach,fixed_rank4,scenario-037,1.4543470706029826e-07,0.006259438707856691,0.0015458985720256445
0.001344051106064453,0.06652157871104589,0.9321343701828899,0.9986559488939358,812707.6492884483,75,reach,matched_random_fixed_rank4,scenario-037,1.976138720181373e-07,0.002575227384486692,0.0012893534640329002
0.0049066676205532615,0.28182046677666733,0.7132728656027796,0.995093332379447,812707.6889150547,75,reach,fixed_rank4,scenario-038,1.457797302030355e-07,0.00564653504730197,0.0005162031142954366
0.0008565338350627207,0.05136820709949867,0.9477752590654386,0.9991434661649372,812707.6503098201,75,reach,matched_random_fixed_rank4,scenario-038,1.956133207347256e-07,0.0016650376223336278,0.0004967374802168598
0.004915991067264742,0.3699230871345141,0.6251609217982219,0.9950840089327361,812707.6858976916,75,reach,fixed_rank4,scenario-039,1.4986309302291424e-07,0.005155273195564445,0.0010986285316642221
0.001350923298858861,0.07198887760495232,0.9266601990961886,0.9986490767011409,812707.6478993567,75,reach,matched_random_fixed_rank4,scenario-039,2.069777066127348e-07,0.0020744556685203764,0.0009623585194249531
0.00859511018762561,0.16163176617942174,0.829773123632952,0.9914048898123736,812707.6824232384,75,reach,fixed_rank4,scenario-040,1.493306716929996e-07,0.004350053059224523,0.003425561773501459
0.002488640067539544,0.09617861478604957,0.9013327451464113,0.9975113599324609,812707.6210518053,75,reach,matched_random_fixed_rank4,scenario-040,2.025973641350379e-07,0.003154870863576957,0.0008764996950399063
0.006458499998530909,0.415310825174056,0.5782306748274134,0.9935415000014693,812707.6912716049,75,reach,fixed_rank4,scenario-041,1.4787951697116932e-07,0.006701034388993053,0.002585518553980592
0.0015356725457111493,0.07047595630204552,0.9279883711522431,0.9984643274542887,812707.6474300383,75,reach,matched_random_fixed_rank4,scenario-041,2.245355128431743e-07,0.0021817559430323315,0.0005627798600146746
0.01429245218003654,0.17692076404461768,0.8087867837753463,0.9857075478199641,812707.6904201013,75,reach,fixed_rank4,scenario-042,1.5754013082995987e-07,0.0037220676186770236,0.004928576998375551
0.0037357702530956115,0.1245781388707485,0.8716860908761557,0.9962642297469041,812707.6114344257,75,reach,matched_random_fixed_rank4,scenario-042,2.338508125887773e-07,0.0020928412877260125,0.0034106785394184195
