source_id,task,precision,modality,horizon,pearson,spearman,n
S03,reach,bfloat16,proprio,3,-0.10804069174375656,-0.16143048128342247,33
S03,reach,bfloat16,proprio,6,-0.3368624342189967,-0.2964572192513369,33
S03,reach,bfloat16,visual,3,-0.21150913890897535,-0.11497326203208558,33
S03,reach,bfloat16,visual,6,-0.18764763559886613,-0.13335561497326204,33
S04,reach,float32,proprio,3,0.3110725266412321,0.06417112299465241,33
S04,reach,float32,proprio,6,0.2346016041403476,0.16009358288770054,33
S04,reach,float32,visual,3,-0.47500325350804545,-0.30013368983957217,33
S04,reach,float32,visual,6,-0.22170160861881752,-0.24231283422459893,33
S17,reach-wall,bfloat16,proprio,3,0.3299408278830422,0.24297924297924298,27
S17,reach-wall,bfloat16,proprio,6,0.00104885373592909,0.0995115995115995,27
S17,reach-wall,bfloat16,visual,3,0.03469211157565701,0.03907203907203907,27
S17,reach-wall,bfloat16,visual,6,0.10402751088781363,0.10805860805860806,27
S18,reach-wall,float32,proprio,3,-0.26947897882717253,-0.3137973137973138,27
S18,reach-wall,float32,proprio,6,-0.5103159406162527,-0.3962148962148962,27
S18,reach-wall,float32,visual,3,-0.43937141415041686,-0.3162393162393162,27
S18,reach-wall,float32,visual,6,-0.5501754333278265,-0.35470085470085466,27
S29,pusht,bfloat16,proprio,3,0.005679085893289379,-0.1935064935064935,21
S29,pusht,bfloat16,proprio,6,-0.10639851205770658,-0.1064935064935065,21
S29,pusht,bfloat16,visual,3,-0.14813973786367302,0.062337662337662345,21
S29,pusht,bfloat16,visual,6,0.029950087887332312,-0.21038961038961035,21
S30,pusht,float32,proprio,3,-0.04069698541446694,-0.007792207792207793,21
S30,pusht,float32,proprio,6,0.31751555614720817,0.2922077922077922,21
S30,pusht,float32,visual,3,0.08254238617174434,0.22207792207792207,21
S30,pusht,float32,visual,6,0.18334416799568998,0.21038961038961035,21
S38,wall,bfloat16,proprio,3,0.08241643264549631,0.044897661611914386,192
S38,wall,bfloat16,proprio,6,-0.07760397372488385,-0.11001037625803653,192
S38,wall,bfloat16,visual,3,-0.1040531202388807,-0.062076133250142426,192
S38,wall,bfloat16,visual,6,0.08514269315008254,0.13264316523343192,192
S39,wall,float32,proprio,3,0.05430953209071845,0.012083593304939914,192
S39,wall,float32,proprio,6,-0.02691129037711867,-0.04055217969237447,192
S39,wall,float32,visual,3,0.022029625252964476,0.09013950302471313,192
S39,wall,float32,visual,6,-0.1340175371652352,-0.005593345631120636,192
S40,pointmaze,bfloat16,proprio,3,0.030579679384400607,0.04231005775144379,200
S40,pointmaze,bfloat16,proprio,6,-0.03851869169246727,0.03717692942323559,200
S40,pointmaze,bfloat16,visual,3,-0.09961184476838868,-0.12461561539038478,200
S40,pointmaze,bfloat16,visual,6,0.01895778279682173,0.04690017250431262,200
S41,pointmaze,float32,proprio,3,0.2975291405797973,0.3359123978099453,200
S41,pointmaze,float32,proprio,6,0.03730572933171342,-0.017088427210680268,200
S41,pointmaze,float32,visual,3,0.5091366225680877,0.5246771169279233,200
S41,pointmaze,float32,visual,6,0.1089693503277579,0.09411385284632118,200
